1: reward=-1.30 vs 3.90, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=100/100
2: reward=-1.25 vs 2.90, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=77/178
3: reward=1.20 vs 4.70, win=1 vs 2, recent_win=1 vs 2, draw=0, winner=red, time=155/333
4: reward=-0.10 vs 3.90, win=1 vs 3, recent_win=1 vs 3, draw=0, winner=blue, time=82/415
5: reward=-0.25 vs 2.90, win=1 vs 4, recent_win=1 vs 4, draw=0, winner=blue, time=76/491
6: reward=-0.75 vs 2.00, win=1 vs 4, recent_win=1 vs 4, draw=1, winner=draw, time=56/548
7: reward=0.70 vs 3.80, win=1 vs 5, recent_win=1 vs 5, draw=1, winner=blue, time=104/651
8: reward=-0.30 vs 2.80, win=1 vs 6, recent_win=1 vs 6, draw=1, winner=blue, time=81/732
9: reward=2.25 vs 4.70, win=1 vs 6, recent_win=1 vs 6, draw=2, winner=draw, time=149/881
10: reward=0.40 vs 4.70, win=1 vs 6, recent_win=1 vs 6, draw=3, winner=draw, time=44/925
11: reward=-0.80 vs 1.90, win=1 vs 6, recent_win=1 vs 6, draw=4, winner=draw, time=65/991
12: reward=-0.85 vs 2.00, win=1 vs 7, recent_win=1 vs 7, draw=4, winner=blue, time=65/1056
13: reward=-1.25 vs 4.00, win=1 vs 8, recent_win=1 vs 8, draw=4, winner=blue, time=82/1138
14: reward=1.55 vs 7.60, win=1 vs 9, recent_win=1 vs 9, draw=4, winner=blue, time=184/1322
15: reward=0.80 vs 7.60, win=2 vs 9, recent_win=2 vs 9, draw=4, winner=red, time=65/1387
16: reward=-0.40 vs 3.90, win=2 vs 10, recent_win=2 vs 10, draw=4, winner=blue, time=87/1474
17: reward=1.15 vs 3.90, win=2 vs 10, recent_win=2 vs 10, draw=5, winner=draw, time=57/1532
18: reward=-0.00 vs 2.80, win=2 vs 11, recent_win=2 vs 11, draw=5, winner=blue, time=85/1617
19: reward=-0.15 vs 3.90, win=2 vs 12, recent_win=2 vs 12, draw=5, winner=blue, time=88/1705
20: reward=1.15 vs 4.70, win=2 vs 12, recent_win=2 vs 12, draw=6, winner=draw, time=143/1848
21: reward=-0.20 vs 0.90, win=2 vs 13, recent_win=2 vs 13, draw=6, winner=blue, time=66/1915
22: reward=0.35 vs 3.90, win=2 vs 14, recent_win=2 vs 14, draw=6, winner=blue, time=86/2001
23: reward=0.25 vs 1.80, win=2 vs 15, recent_win=2 vs 15, draw=6, winner=blue, time=87/2088
24: reward=-0.70 vs 2.00, win=2 vs 15, recent_win=2 vs 15, draw=7, winner=draw, time=58/2147
25: reward=0.10 vs 2.80, win=2 vs 16, recent_win=2 vs 16, draw=7, winner=blue, time=81/2227
26: reward=0.10 vs 3.90, win=2 vs 17, recent_win=2 vs 17, draw=7, winner=blue, time=95/2322
27: reward=0.30 vs 3.90, win=2 vs 18, recent_win=2 vs 18, draw=7, winner=blue, time=104/2426
28: reward=1.25 vs 3.90, win=3 vs 18, recent_win=3 vs 18, draw=7, winner=red, time=62/2488
29: reward=0.45 vs 3.80, win=3 vs 18, recent_win=3 vs 18, draw=8, winner=draw, time=117/2605
30: reward=0.50 vs 2.90, win=3 vs 19, recent_win=3 vs 19, draw=8, winner=blue, time=76/2682
31: reward=2.70 vs 5.60, win=3 vs 20, recent_win=3 vs 20, draw=8, winner=blue, time=166/2848
