1: reward=-0.35 vs 2.00, win=0 vs 0, recent_win=0 vs 0, draw=1, winner=draw, time=63/63
2: reward=1.10 vs 0.90, win=0 vs 0, recent_win=0 vs 0, draw=2, winner=draw, time=60/123
3: reward=0.90 vs 0.90, win=0 vs 0, recent_win=0 vs 0, draw=3, winner=draw, time=65/189
4: reward=0.60 vs 0.90, win=0 vs 0, recent_win=0 vs 0, draw=4, winner=draw, time=44/233
5: reward=0.65 vs 2.90, win=0 vs 1, recent_win=0 vs 1, draw=4, winner=blue, time=81/314
6: reward=0.70 vs 2.90, win=0 vs 2, recent_win=0 vs 2, draw=4, winner=blue, time=78/392
7: reward=-0.90 vs 2.00, win=0 vs 2, recent_win=0 vs 2, draw=5, winner=draw, time=73/465
8: reward=1.25 vs 1.90, win=0 vs 2, recent_win=0 vs 2, draw=6, winner=draw, time=99/565
9: reward=4.20 vs 3.50, win=0 vs 2, recent_win=0 vs 2, draw=7, winner=draw, time=188/753
10: reward=-0.90 vs 3.00, win=0 vs 2, recent_win=0 vs 2, draw=8, winner=draw, time=76/829
11: reward=3.80 vs 4.50, win=0 vs 3, recent_win=0 vs 3, draw=8, winner=blue, time=197/1027
12: reward=0.45 vs 4.50, win=0 vs 3, recent_win=0 vs 3, draw=9, winner=draw, time=41/1068
13: reward=-0.60 vs 2.00, win=0 vs 4, recent_win=0 vs 4, draw=9, winner=blue, time=70/1137
14: reward=-0.90 vs 2.00, win=0 vs 4, recent_win=0 vs 4, draw=10, winner=draw, time=51/1189
15: reward=3.50 vs 3.60, win=0 vs 5, recent_win=0 vs 5, draw=10, winner=blue, time=175/1364
16: reward=-0.45 vs 3.60, win=0 vs 5, recent_win=0 vs 5, draw=11, winner=draw, time=41/1405
17: reward=-0.75 vs 2.00, win=0 vs 5, recent_win=0 vs 5, draw=12, winner=draw, time=51/1456
18: reward=0.65 vs 2.00, win=0 vs 5, recent_win=0 vs 5, draw=13, winner=draw, time=44/1501
19: reward=0.65 vs 1.00, win=0 vs 5, recent_win=0 vs 5, draw=14, winner=draw, time=45/1546
20: reward=-0.60 vs 2.00, win=0 vs 5, recent_win=0 vs 5, draw=15, winner=draw, time=53/1599
21: reward=-0.85 vs 2.00, win=0 vs 6, recent_win=0 vs 6, draw=15, winner=blue, time=82/1681
22: reward=0.20 vs 9.70, win=0 vs 7, recent_win=0 vs 7, draw=15, winner=blue, time=181/1862
23: reward=-0.00 vs 2.90, win=0 vs 8, recent_win=0 vs 8, draw=15, winner=blue, time=81/1942
24: reward=-0.00 vs 2.00, win=0 vs 9, recent_win=0 vs 9, draw=15, winner=blue, time=61/2003
25: reward=-0.45 vs 2.00, win=0 vs 9, recent_win=0 vs 9, draw=16, winner=draw, time=57/2061
26: reward=1.50 vs 3.80, win=0 vs 10, recent_win=0 vs 10, draw=16, winner=blue, time=103/2163
27: reward=0.95 vs 3.80, win=0 vs 10, recent_win=0 vs 10, draw=17, winner=draw, time=46/2210
28: reward=1.85 vs 2.80, win=0 vs 11, recent_win=0 vs 11, draw=17, winner=blue, time=91/2300
29: reward=0.10 vs 1.00, win=0 vs 11, recent_win=0 vs 11, draw=18, winner=draw, time=56/2356
30: reward=-1.35 vs 3.00, win=0 vs 11, recent_win=0 vs 11, draw=19, winner=draw, time=85/2441
31: reward=1.70 vs 2.80, win=0 vs 12, recent_win=0 vs 12, draw=19, winner=blue, time=91/2532
32: reward=-0.90 vs 2.00, win=0 vs 12, recent_win=0 vs 12, draw=20, winner=draw, time=58/2590
33: reward=0.40 vs 2.00, win=0 vs 12, recent_win=0 vs 12, draw=21, winner=draw, time=47/2637
34: reward=3.30 vs 3.60, win=0 vs 13, recent_win=0 vs 13, draw=21, winner=blue, time=180/2817
35: reward=1.75 vs 4.70, win=0 vs 13, recent_win=0 vs 13, draw=22, winner=draw, time=177/2995
36: reward=3.65 vs 3.50, win=0 vs 14, recent_win=0 vs 14, draw=22, winner=blue, time=197/3192
37: reward=0.25 vs 7.70, win=0 vs 15, recent_win=0 vs 15, draw=22, winner=blue, time=203/3395
38: reward=-0.85 vs 2.00, win=0 vs 15, recent_win=0 vs 15, draw=23, winner=draw, time=62/3457
39: reward=0.20 vs 2.80, win=0 vs 16, recent_win=0 vs 16, draw=23, winner=blue, time=87/3544
40: reward=-0.50 vs 2.00, win=0 vs 16, recent_win=0 vs 16, draw=24, winner=draw, time=62/3606
41: reward=-0.25 vs 2.00, win=0 vs 17, recent_win=0 vs 17, draw=24, winner=blue, time=61/3668
42: reward=-0.75 vs 2.00, win=0 vs 17, recent_win=0 vs 17, draw=25, winner=draw, time=54/3722
43: reward=0.35 vs 2.00, win=0 vs 17, recent_win=0 vs 17, draw=26, winner=draw, time=43/3765
44: reward=-0.05 vs 2.90, win=0 vs 17, recent_win=0 vs 17, draw=27, winner=draw, time=83/3848
45: reward=-0.75 vs 2.00, win=0 vs 17, recent_win=0 vs 17, draw=28, winner=draw, time=72/3920
46: reward=0.20 vs 2.80, win=0 vs 18, recent_win=0 vs 18, draw=28, winner=blue, time=87/4007
47: reward=-1.10 vs 3.00, win=0 vs 19, recent_win=0 vs 19, draw=28, winner=blue, time=75/4082
48: reward=-0.75 vs 2.00, win=0 vs 19, recent_win=0 vs 19, draw=29, winner=draw, time=73/4155
49: reward=-1.55 vs 3.00, win=0 vs 20, recent_win=0 vs 20, draw=29, winner=blue, time=98/4254
50: reward=-0.50 vs 2.00, win=0 vs 21, recent_win=0 vs 21, draw=29, winner=blue, time=68/4321
51: reward=4.40 vs 4.50, win=0 vs 21, recent_win=0 vs 21, draw=30, winner=draw, time=188/4510
52: reward=0.75 vs 4.50, win=0 vs 21, recent_win=0 vs 21, draw=31, winner=draw, time=59/4569
53: reward=-0.65 vs 2.00, win=0 vs 21, recent_win=0 vs 21, draw=32, winner=draw, time=59/4628
54: reward=0.20 vs 2.80, win=0 vs 22, recent_win=0 vs 22, draw=32, winner=blue, time=83/4711
55: reward=0.20 vs 3.90, win=0 vs 23, recent_win=0 vs 22, draw=32, winner=blue, time=80/4791
56: reward=-0.85 vs 2.00, win=0 vs 23, recent_win=0 vs 21, draw=33, winner=draw, time=63/4854
57: reward=-1.00 vs 2.00, win=0 vs 23, recent_win=0 vs 21, draw=34, winner=draw, time=62/4916
58: reward=-0.00 vs 3.90, win=0 vs 24, recent_win=0 vs 22, draw=34, winner=blue, time=80/4996
59: reward=-0.90 vs 3.00, win=0 vs 25, recent_win=0 vs 23, draw=34, winner=blue, time=76/5072
60: reward=3.35 vs 5.40, win=0 vs 25, recent_win=0 vs 23, draw=35, winner=draw, time=259/5330
61: reward=-1.00 vs 2.00, win=0 vs 25, recent_win=0 vs 22, draw=36, winner=draw, time=68/5398
62: reward=-1.00 vs 2.00, win=0 vs 25, recent_win=0 vs 22, draw=37, winner=draw, time=56/5454
63: reward=-1.65 vs 1.00, win=0 vs 25, recent_win=0 vs 21, draw=38, winner=draw, time=63/5517
64: reward=-0.90 vs 2.00, win=0 vs 25, recent_win=0 vs 21, draw=39, winner=draw, time=74/5591
65: reward=1.65 vs 2.80, win=0 vs 26, recent_win=0 vs 21, draw=39, winner=blue, time=92/5683
66: reward=-0.05 vs 1.00, win=0 vs 26, recent_win=0 vs 21, draw=40, winner=draw, time=59/5742
67: reward=3.55 vs 3.60, win=0 vs 27, recent_win=0 vs 22, draw=40, winner=blue, time=172/5914
68: reward=-0.55 vs 2.00, win=0 vs 27, recent_win=0 vs 22, draw=41, winner=draw, time=54/5969
69: reward=0.15 vs 1.90, win=0 vs 27, recent_win=0 vs 22, draw=42, winner=draw, time=71/6039
70: reward=0.35 vs 2.90, win=0 vs 28, recent_win=0 vs 23, draw=42, winner=blue, time=76/6116
71: reward=-0.95 vs 3.80, win=0 vs 29, recent_win=0 vs 23, draw=42, winner=blue, time=87/6203
72: reward=1.60 vs 3.80, win=1 vs 29, recent_win=1 vs 22, draw=42, winner=red, time=61/6264
73: reward=-0.10 vs 2.00, win=1 vs 30, recent_win=1 vs 22, draw=42, winner=blue, time=61/6325
74: reward=4.50 vs 9.30, win=1 vs 31, recent_win=1 vs 22, draw=42, winner=blue, time=281/6606
75: reward=3.10 vs 3.60, win=1 vs 32, recent_win=1 vs 23, draw=42, winner=blue, time=185/6791
76: reward=3.55 vs 3.60, win=1 vs 33, recent_win=1 vs 23, draw=42, winner=blue, time=174/6965
77: reward=-1.45 vs 2.00, win=1 vs 33, recent_win=1 vs 23, draw=43, winner=draw, time=58/7024
78: reward=-0.40 vs 2.00, win=1 vs 33, recent_win=1 vs 22, draw=44, winner=draw, time=61/7085
79: reward=-0.30 vs 2.90, win=1 vs 34, recent_win=1 vs 23, draw=44, winner=blue, time=89/7174
80: reward=1.10 vs 0.90, win=1 vs 34, recent_win=1 vs 23, draw=45, winner=draw, time=68/7242
81: reward=-0.90 vs 2.00, win=1 vs 34, recent_win=1 vs 22, draw=46, winner=draw, time=61/7303
82: reward=-0.40 vs 2.00, win=1 vs 34, recent_win=1 vs 22, draw=47, winner=draw, time=58/7361
83: reward=-0.10 vs 2.00, win=1 vs 35, recent_win=1 vs 23, draw=47, winner=blue, time=63/7424
84: reward=-0.50 vs 2.00, win=1 vs 35, recent_win=1 vs 22, draw=48, winner=draw, time=66/7491
85: reward=-0.45 vs 2.00, win=1 vs 36, recent_win=1 vs 23, draw=48, winner=blue, time=65/7556
86: reward=-1.05 vs 2.00, win=1 vs 36, recent_win=1 vs 22, draw=49, winner=draw, time=73/7629
87: reward=1.45 vs 2.80, win=1 vs 37, recent_win=1 vs 22, draw=49, winner=blue, time=92/7721
88: reward=2.05 vs 0.90, win=1 vs 37, recent_win=1 vs 22, draw=50, winner=draw, time=74/7795
89: reward=-0.05 vs 1.00, win=1 vs 37, recent_win=1 vs 21, draw=51, winner=draw, time=43/7838
90: reward=0.65 vs 1.00, win=1 vs 37, recent_win=1 vs 21, draw=52, winner=draw, time=70/7908
91: reward=-1.00 vs 2.00, win=1 vs 37, recent_win=1 vs 20, draw=53, winner=draw, time=68/7975
92: reward=-0.70 vs 2.00, win=1 vs 37, recent_win=1 vs 20, draw=54, winner=draw, time=69/8044
93: reward=-0.55 vs 2.00, win=1 vs 37, recent_win=1 vs 20, draw=55, winner=draw, time=52/8096
94: reward=3.60 vs 6.40, win=1 vs 38, recent_win=1 vs 21, draw=55, winner=blue, time=258/8354
95: reward=1.85 vs 1.90, win=1 vs 38, recent_win=1 vs 21, draw=56, winner=draw, time=92/8445
96: reward=-0.35 vs 2.00, win=1 vs 39, recent_win=1 vs 21, draw=56, winner=blue, time=64/8510
97: reward=-0.40 vs 2.00, win=1 vs 40, recent_win=1 vs 21, draw=56, winner=blue, time=64/8574
