1: reward=2.20 vs 4.60, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=122/122
2: reward=-0.25 vs 8.70, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=161/283
3: reward=-0.20 vs 2.80, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=80/363
4: reward=1.05 vs 2.80, win=0 vs 3, recent_win=0 vs 3, draw=1, winner=draw, time=57/420
5: reward=2.00 vs 4.70, win=0 vs 3, recent_win=0 vs 3, draw=2, winner=draw, time=157/577
6: reward=1.60 vs 4.70, win=1 vs 3, recent_win=1 vs 3, draw=2, winner=red, time=66/643
7: reward=-1.05 vs 2.00, win=1 vs 3, recent_win=1 vs 3, draw=3, winner=draw, time=54/697
8: reward=-0.50 vs 2.80, win=1 vs 4, recent_win=1 vs 4, draw=3, winner=blue, time=82/779
9: reward=0.05 vs 3.90, win=1 vs 5, recent_win=1 vs 5, draw=3, winner=blue, time=83/862
10: reward=0.30 vs 8.50, win=1 vs 6, recent_win=1 vs 6, draw=3, winner=blue, time=185/1047
11: reward=2.50 vs 7.40, win=2 vs 6, recent_win=2 vs 6, draw=3, winner=red, time=231/1279
12: reward=-0.30 vs 2.80, win=2 vs 7, recent_win=2 vs 7, draw=3, winner=blue, time=85/1364
13: reward=-0.65 vs 6.70, win=2 vs 8, recent_win=2 vs 8, draw=3, winner=blue, time=209/1573
14: reward=-0.05 vs 6.70, win=2 vs 8, recent_win=2 vs 8, draw=4, winner=draw, time=48/1621
15: reward=-1.05 vs 1.90, win=2 vs 9, recent_win=2 vs 9, draw=4, winner=blue, time=62/1684
16: reward=-0.25 vs 3.90, win=2 vs 10, recent_win=2 vs 10, draw=4, winner=blue, time=83/1767
17: reward=-1.55 vs 4.00, win=2 vs 11, recent_win=2 vs 11, draw=4, winner=blue, time=96/1863
18: reward=-0.85 vs 1.00, win=2 vs 11, recent_win=2 vs 11, draw=5, winner=draw, time=45/1908
19: reward=-1.30 vs 2.00, win=2 vs 11, recent_win=2 vs 11, draw=6, winner=draw, time=55/1963
20: reward=-1.05 vs 4.00, win=2 vs 12, recent_win=2 vs 12, draw=6, winner=blue, time=78/2042
21: reward=-1.00 vs 2.00, win=2 vs 12, recent_win=2 vs 12, draw=7, winner=draw, time=53/2095
22: reward=-0.05 vs 8.50, win=2 vs 13, recent_win=2 vs 13, draw=7, winner=blue, time=195/2290
23: reward=1.05 vs 8.50, win=2 vs 13, recent_win=2 vs 13, draw=8, winner=draw, time=57/2347
24: reward=1.20 vs 5.70, win=2 vs 13, recent_win=2 vs 13, draw=9, winner=draw, time=203/2550
25: reward=-1.05 vs 2.90, win=2 vs 14, recent_win=2 vs 14, draw=9, winner=blue, time=86/2636
26: reward=0.85 vs 6.70, win=2 vs 15, recent_win=2 vs 15, draw=9, winner=blue, time=168/2804
27: reward=1.35 vs 3.70, win=2 vs 15, recent_win=2 vs 15, draw=10, winner=draw, time=144/2948
28: reward=-0.45 vs 3.90, win=2 vs 16, recent_win=2 vs 16, draw=10, winner=blue, time=98/3046
29: reward=1.00 vs 3.80, win=2 vs 16, recent_win=2 vs 16, draw=11, winner=draw, time=97/3144
30: reward=1.40 vs 3.70, win=2 vs 16, recent_win=2 vs 16, draw=12, winner=draw, time=140/3284
31: reward=0.25 vs 3.70, win=3 vs 16, recent_win=3 vs 16, draw=12, winner=red, time=69/3352
32: reward=1.15 vs 4.70, win=3 vs 16, recent_win=3 vs 16, draw=13, winner=draw, time=154/3507
33: reward=-0.50 vs 1.90, win=3 vs 17, recent_win=3 vs 17, draw=13, winner=blue, time=75/3582
34: reward=-1.05 vs 1.90, win=3 vs 17, recent_win=3 vs 17, draw=14, winner=draw, time=43/3625
35: reward=1.90 vs 7.50, win=3 vs 18, recent_win=3 vs 18, draw=14, winner=blue, time=190/3815
36: reward=1.55 vs 5.50, win=3 vs 19, recent_win=3 vs 19, draw=14, winner=blue, time=190/4004
37: reward=0.85 vs 4.70, win=3 vs 19, recent_win=3 vs 19, draw=15, winner=draw, time=135/4139
38: reward=-0.40 vs 3.90, win=3 vs 20, recent_win=3 vs 20, draw=15, winner=blue, time=85/4224
39: reward=-0.40 vs 3.90, win=3 vs 20, recent_win=3 vs 20, draw=16, winner=draw, time=96/4320
40: reward=-0.10 vs 2.80, win=3 vs 21, recent_win=3 vs 21, draw=16, winner=blue, time=83/4403
41: reward=0.05 vs 2.80, win=3 vs 22, recent_win=3 vs 22, draw=16, winner=blue, time=82/4485
42: reward=0.25 vs 2.90, win=3 vs 23, recent_win=3 vs 23, draw=16, winner=blue, time=76/4561
43: reward=-0.50 vs 3.90, win=3 vs 24, recent_win=3 vs 24, draw=16, winner=blue, time=91/4652
44: reward=1.85 vs 3.70, win=3 vs 24, recent_win=3 vs 24, draw=17, winner=draw, time=146/4797
45: reward=-1.25 vs 2.90, win=3 vs 24, recent_win=3 vs 24, draw=18, winner=draw, time=72/4869
46: reward=-0.80 vs 1.00, win=3 vs 24, recent_win=3 vs 24, draw=19, winner=draw, time=52/4921
47: reward=0.60 vs 3.80, win=3 vs 24, recent_win=3 vs 24, draw=20, winner=draw, time=104/5025
48: reward=1.85 vs 3.80, win=4 vs 24, recent_win=4 vs 24, draw=20, winner=red, time=72/5097
49: reward=-1.20 vs 4.00, win=4 vs 25, recent_win=4 vs 25, draw=20, winner=blue, time=87/5184
50: reward=-0.95 vs 8.60, win=4 vs 26, recent_win=4 vs 26, draw=20, winner=blue, time=228/5413
51: reward=1.10 vs 5.70, win=4 vs 26, recent_win=4 vs 25, draw=21, winner=draw, time=152/5565
52: reward=0.60 vs 3.80, win=4 vs 27, recent_win=4 vs 25, draw=21, winner=blue, time=99/5664
53: reward=-0.20 vs 3.90, win=4 vs 28, recent_win=4 vs 25, draw=21, winner=blue, time=85/5749
54: reward=0.45 vs 3.90, win=4 vs 28, recent_win=4 vs 25, draw=22, winner=draw, time=66/5816
55: reward=1.55 vs 3.70, win=4 vs 28, recent_win=4 vs 25, draw=23, winner=draw, time=151/5967
56: reward=2.45 vs 3.70, win=5 vs 28, recent_win=4 vs 25, draw=23, winner=red, time=162/6129
57: reward=-0.30 vs 2.90, win=5 vs 29, recent_win=4 vs 26, draw=23, winner=blue, time=78/6207
58: reward=0.05 vs 2.90, win=5 vs 29, recent_win=4 vs 25, draw=24, winner=draw, time=52/6260
59: reward=-0.10 vs 2.90, win=5 vs 29, recent_win=4 vs 24, draw=25, winner=draw, time=40/6300
60: reward=0.10 vs 2.90, win=6 vs 29, recent_win=5 vs 23, draw=25, winner=red, time=71/6371
61: reward=-1.25 vs 2.80, win=6 vs 30, recent_win=4 vs 24, draw=25, winner=blue, time=77/6448
62: reward=-0.05 vs 5.70, win=6 vs 30, recent_win=4 vs 23, draw=26, winner=draw, time=170/6618
