1: reward=-1.10 vs 7.80, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=151/151
2: reward=-1.35 vs 7.80, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=157/308
3: reward=-0.50 vs 10.60, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=405/712
4: reward=-1.10 vs 6.90, win=0 vs 4, recent_win=0 vs 4, draw=0, winner=blue, time=144/857
5: reward=-1.45 vs 11.50, win=0 vs 5, recent_win=0 vs 5, draw=0, winner=blue, time=388/1244
6: reward=0.05 vs 4.80, win=0 vs 6, recent_win=0 vs 6, draw=0, winner=blue, time=143/1388
7: reward=-3.55 vs 14.60, win=0 vs 7, recent_win=0 vs 7, draw=0, winner=blue, time=440/1827
8: reward=-1.05 vs 4.00, win=0 vs 8, recent_win=0 vs 8, draw=0, winner=blue, time=85/1913
9: reward=-4.15 vs 14.60, win=0 vs 9, recent_win=0 vs 9, draw=0, winner=blue, time=482/2394
10: reward=0.45 vs 5.80, win=0 vs 10, recent_win=0 vs 10, draw=0, winner=blue, time=150/2544
11: reward=-5.10 vs 23.20, win=0 vs 11, recent_win=0 vs 11, draw=0, winner=blue, time=701/3245
12: reward=-5.65 vs 21.40, win=0 vs 11, recent_win=0 vs 11, draw=1, winner=draw, time=694/3938
13: reward=-0.70 vs 12.50, win=0 vs 12, recent_win=0 vs 12, draw=1, winner=blue, time=396/4334
14: reward=-0.80 vs 8.70, win=0 vs 12, recent_win=0 vs 12, draw=2, winner=draw, time=356/4690
15: reward=-1.45 vs 6.70, win=1 vs 12, recent_win=1 vs 12, draw=2, winner=red, time=338/5027
16: reward=-0.05 vs 1.00, win=1 vs 12, recent_win=1 vs 12, draw=3, winner=draw, time=64/5091
17: reward=-4.75 vs 24.20, win=1 vs 13, recent_win=1 vs 13, draw=3, winner=blue, time=772/5863
18: reward=-2.20 vs 11.60, win=1 vs 14, recent_win=1 vs 14, draw=3, winner=blue, time=428/6291
19: reward=-4.35 vs 22.20, win=1 vs 15, recent_win=1 vs 15, draw=3, winner=blue, time=752/7042
20: reward=-2.40 vs 6.00, win=1 vs 16, recent_win=1 vs 16, draw=3, winner=blue, time=124/7166
21: reward=-2.20 vs 13.50, win=1 vs 17, recent_win=1 vs 17, draw=3, winner=blue, time=454/7619
22: reward=-5.60 vs 30.90, win=1 vs 18, recent_win=1 vs 18, draw=3, winner=blue, time=1049/8668
23: reward=-8.35 vs 34.90, win=1 vs 19, recent_win=1 vs 19, draw=3, winner=blue, time=1097/9766
24: reward=-6.65 vs 25.20, win=1 vs 20, recent_win=1 vs 20, draw=3, winner=blue, time=790/10555
25: reward=-2.30 vs 11.70, win=1 vs 20, recent_win=1 vs 20, draw=4, winner=draw, time=417/10972
26: reward=-1.05 vs 4.00, win=1 vs 21, recent_win=1 vs 21, draw=4, winner=blue, time=83/11055
27: reward=-5.15 vs 29.10, win=2 vs 21, recent_win=2 vs 21, draw=4, winner=red, time=1086/12141
28: reward=-3.65 vs 44.20, win=2 vs 21, recent_win=2 vs 21, draw=5, winner=draw, time=1800/13941
29: reward=-0.30 vs 2.00, win=3 vs 21, recent_win=3 vs 21, draw=5, winner=red, time=74/14015
30: reward=-5.35 vs 40.70, win=3 vs 22, recent_win=3 vs 22, draw=5, winner=blue, time=1421/15436
31: reward=0.55 vs 8.40, win=3 vs 23, recent_win=3 vs 23, draw=5, winner=blue, time=392/15828
32: reward=0.90 vs 42.50, win=3 vs 23, recent_win=3 vs 23, draw=6, winner=draw, time=1800/17628
33: reward=0.50 vs 15.40, win=3 vs 24, recent_win=3 vs 24, draw=6, winner=blue, time=769/18396
34: reward=0.65 vs 2.80, win=3 vs 25, recent_win=3 vs 25, draw=6, winner=blue, time=135/18531
35: reward=0.45 vs 3.90, win=3 vs 26, recent_win=3 vs 26, draw=6, winner=blue, time=130/18661
