1: reward=-2.35 vs 2.90, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=120/120
2: reward=-2.50 vs 3.90, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=139/259
3: reward=-3.50 vs 2.70, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=258/517
4: reward=-7.85 vs 3.30, win=0 vs 4, recent_win=0 vs 4, draw=0, winner=blue, time=587/1104
5: reward=-2.10 vs 3.90, win=0 vs 5, recent_win=0 vs 5, draw=0, winner=blue, time=116/1219
6: reward=-1.70 vs 2.00, win=0 vs 5, recent_win=0 vs 5, draw=1, winner=draw, time=74/1294
7: reward=-1.20 vs 2.80, win=0 vs 6, recent_win=0 vs 6, draw=1, winner=blue, time=124/1417
8: reward=-1.90 vs 3.90, win=0 vs 7, recent_win=0 vs 7, draw=1, winner=blue, time=130/1547
9: reward=-1.65 vs 4.00, win=0 vs 8, recent_win=0 vs 8, draw=1, winner=blue, time=86/1634
10: reward=-1.35 vs 3.90, win=0 vs 9, recent_win=0 vs 9, draw=1, winner=blue, time=128/1762
11: reward=-0.90 vs 2.80, win=0 vs 10, recent_win=0 vs 10, draw=1, winner=blue, time=102/1863
12: reward=-2.70 vs 4.00, win=0 vs 11, recent_win=0 vs 11, draw=1, winner=blue, time=132/1996
13: reward=-7.95 vs 3.70, win=0 vs 12, recent_win=0 vs 12, draw=1, winner=blue, time=467/2462
14: reward=-4.65 vs 2.70, win=0 vs 13, recent_win=0 vs 13, draw=1, winner=blue, time=314/2776
15: reward=-1.85 vs 3.90, win=0 vs 14, recent_win=0 vs 14, draw=1, winner=blue, time=133/2909
16: reward=-1.45 vs 3.90, win=0 vs 15, recent_win=0 vs 15, draw=1, winner=blue, time=113/3022
17: reward=-0.90 vs 3.90, win=0 vs 16, recent_win=0 vs 16, draw=1, winner=blue, time=98/3120
18: reward=-0.80 vs 2.80, win=0 vs 17, recent_win=0 vs 17, draw=1, winner=blue, time=100/3221
19: reward=-1.95 vs 3.90, win=0 vs 18, recent_win=0 vs 18, draw=1, winner=blue, time=147/3367
20: reward=-2.30 vs 7.90, win=0 vs 19, recent_win=0 vs 19, draw=1, winner=blue, time=162/3529
21: reward=-1.70 vs 3.90, win=0 vs 20, recent_win=0 vs 20, draw=1, winner=blue, time=136/3665
22: reward=-1.65 vs 3.90, win=0 vs 21, recent_win=0 vs 21, draw=1, winner=blue, time=120/3785
23: reward=-3.60 vs 3.60, win=0 vs 22, recent_win=0 vs 22, draw=1, winner=blue, time=393/4178
24: reward=-0.60 vs 1.00, win=0 vs 22, recent_win=0 vs 22, draw=2, winner=draw, time=71/4249
25: reward=-2.10 vs 3.90, win=0 vs 23, recent_win=0 vs 23, draw=2, winner=blue, time=161/4410
26: reward=-1.30 vs 3.90, win=0 vs 24, recent_win=0 vs 24, draw=2, winner=blue, time=110/4520
27: reward=-2.45 vs 4.90, win=0 vs 25, recent_win=0 vs 25, draw=2, winner=blue, time=119/4639
28: reward=-2.60 vs 4.00, win=0 vs 26, recent_win=0 vs 26, draw=2, winner=blue, time=133/4773
29: reward=-2.60 vs 3.90, win=0 vs 27, recent_win=0 vs 27, draw=2, winner=blue, time=138/4911
30: reward=-2.05 vs 4.00, win=0 vs 28, recent_win=0 vs 28, draw=2, winner=blue, time=89/5000
31: reward=-1.50 vs 3.90, win=0 vs 29, recent_win=0 vs 29, draw=2, winner=blue, time=110/5111
32: reward=0.10 vs 2.00, win=0 vs 29, recent_win=0 vs 29, draw=3, winner=draw, time=87/5198
33: reward=-0.65 vs 2.00, win=0 vs 29, recent_win=0 vs 29, draw=4, winner=draw, time=65/5263
34: reward=-2.25 vs 3.90, win=0 vs 30, recent_win=0 vs 30, draw=4, winner=blue, time=139/5402
35: reward=-2.70 vs 3.30, win=0 vs 31, recent_win=0 vs 31, draw=4, winner=blue, time=435/5837
36: reward=-1.00 vs 2.50, win=0 vs 32, recent_win=0 vs 32, draw=4, winner=blue, time=272/6109
