1: reward=0.00 vs 92.21, recent_win=0 vs 1, winner=blue, win=0 vs 1, draw=0, time=102/102
2: reward=0.00 vs 89.23, recent_win=0 vs 2, winner=blue, win=0 vs 2, draw=0, time=146/247
3: reward=0.00 vs 90.54, recent_win=0 vs 3, winner=blue, win=0 vs 3, draw=0, time=126/373
4: reward=0.00 vs 93.55, recent_win=0 vs 4, winner=blue, win=0 vs 4, draw=0, time=83/456
5: reward=0.00 vs 89.52, recent_win=0 vs 5, winner=blue, win=0 vs 5, draw=0, time=141/597
6: reward=0.00 vs 89.81, recent_win=0 vs 6, winner=blue, win=0 vs 6, draw=0, time=137/734
7: reward=0.00 vs 93.23, recent_win=0 vs 7, winner=blue, win=0 vs 7, draw=0, time=87/821
8: reward=0.00 vs 90.92, recent_win=0 vs 8, winner=blue, win=0 vs 8, draw=0, time=120/941
9: reward=0.00 vs 88.23, recent_win=0 vs 9, winner=blue, win=0 vs 9, draw=0, time=161/1102
10: reward=0.00 vs 90.62, recent_win=0 vs 10, winner=blue, win=0 vs 10, draw=0, time=125/1227
11: reward=0.00 vs 90.92, recent_win=0 vs 11, winner=blue, win=0 vs 11, draw=0, time=120/1347
12: reward=0.00 vs 92.84, recent_win=0 vs 12, winner=blue, win=0 vs 12, draw=0, time=93/1440
13: reward=0.00 vs 90.10, recent_win=0 vs 13, winner=blue, win=0 vs 13, draw=0, time=132/1573
14: reward=0.00 vs 93.71, recent_win=0 vs 14, winner=blue, win=0 vs 14, draw=0, time=81/1653
15: reward=0.00 vs 86.86, recent_win=0 vs 15, winner=blue, win=0 vs 15, draw=0, time=183/1836
16: reward=0.00 vs 91.22, recent_win=0 vs 16, winner=blue, win=0 vs 16, draw=0, time=116/1952
17: reward=0.00 vs 90.77, recent_win=0 vs 17, winner=blue, win=0 vs 17, draw=0, time=122/2075
18: reward=0.00 vs 85.92, recent_win=0 vs 18, winner=blue, win=0 vs 18, draw=0, time=198/2273
19: reward=0.00 vs 89.44, recent_win=0 vs 19, winner=blue, win=0 vs 19, draw=0, time=142/2415
20: reward=0.00 vs 88.66, recent_win=0 vs 20, winner=blue, win=0 vs 20, draw=0, time=154/2570
21: reward=0.00 vs 90.32, recent_win=0 vs 21, winner=blue, win=0 vs 21, draw=0, time=129/2699
22: reward=0.00 vs 90.62, recent_win=0 vs 22, winner=blue, win=0 vs 22, draw=0, time=125/2824
23: reward=0.00 vs 88.66, recent_win=0 vs 23, winner=blue, win=0 vs 23, draw=0, time=154/2978
24: reward=0.00 vs 91.29, recent_win=0 vs 24, winner=blue, win=0 vs 24, draw=0, time=115/3093
25: reward=0.00 vs 91.07, recent_win=0 vs 25, winner=blue, win=0 vs 25, draw=0, time=118/3211
26: reward=0.00 vs 89.30, recent_win=0 vs 26, winner=blue, win=0 vs 26, draw=0, time=144/3355
27: reward=0.00 vs 91.29, recent_win=0 vs 27, winner=blue, win=0 vs 27, draw=0, time=115/3470
28: reward=0.00 vs 91.44, recent_win=0 vs 28, winner=blue, win=0 vs 28, draw=0, time=113/3583
29: reward=0.00 vs 91.52, recent_win=0 vs 29, winner=blue, win=0 vs 29, draw=0, time=111/3694
30: reward=0.00 vs 90.77, recent_win=0 vs 30, winner=blue, win=0 vs 30, draw=0, time=122/3817
31: reward=0.00 vs 89.01, recent_win=0 vs 31, winner=blue, win=0 vs 31, draw=0, time=149/3966
32: reward=0.00 vs 89.81, recent_win=0 vs 32, winner=blue, win=0 vs 32, draw=0, time=137/4103
33: reward=0.00 vs 92.60, recent_win=0 vs 33, winner=blue, win=0 vs 33, draw=0, time=96/4199
34: reward=0.00 vs 91.44, recent_win=0 vs 34, winner=blue, win=0 vs 34, draw=0, time=113/4311
35: reward=0.00 vs 92.37, recent_win=0 vs 35, winner=blue, win=0 vs 35, draw=0, time=99/4411
36: reward=0.00 vs 90.39, recent_win=0 vs 36, winner=blue, win=0 vs 36, draw=0, time=128/4539
37: reward=0.00 vs 92.52, recent_win=0 vs 37, winner=blue, win=0 vs 37, draw=0, time=97/4636
38: reward=0.00 vs 89.37, recent_win=0 vs 38, winner=blue, win=0 vs 38, draw=0, time=143/4779
39: reward=0.00 vs 90.62, recent_win=0 vs 39, winner=blue, win=0 vs 39, draw=0, time=125/4904
40: reward=0.00 vs 90.25, recent_win=0 vs 40, winner=blue, win=0 vs 40, draw=0, time=130/5034
41: reward=0.00 vs 86.39, recent_win=0 vs 41, winner=blue, win=0 vs 41, draw=0, time=191/5225
42: reward=0.00 vs 92.68, recent_win=0 vs 42, winner=blue, win=0 vs 42, draw=0, time=95/5320
43: reward=0.00 vs 93.15, recent_win=0 vs 43, winner=blue, win=0 vs 43, draw=0, time=88/5408
44: reward=0.00 vs 90.92, recent_win=0 vs 44, winner=blue, win=0 vs 44, draw=0, time=120/5529
45: reward=0.00 vs 90.84, recent_win=0 vs 45, winner=blue, win=0 vs 45, draw=0, time=121/5650
46: reward=0.00 vs 89.66, recent_win=0 vs 46, winner=blue, win=0 vs 46, draw=0, time=139/5789
47: reward=0.00 vs 87.81, recent_win=0 vs 47, winner=blue, win=0 vs 47, draw=0, time=168/5957
48: reward=0.00 vs 85.66, recent_win=0 vs 48, winner=blue, win=0 vs 48, draw=0, time=203/6159
49: reward=0.00 vs 89.95, recent_win=0 vs 49, winner=blue, win=0 vs 49, draw=0, time=135/6294
50: reward=0.00 vs 91.22, recent_win=0 vs 50, winner=blue, win=0 vs 50, draw=0, time=116/6410
51: reward=0.00 vs 90.47, recent_win=0 vs 50, winner=blue, win=0 vs 51, draw=0, time=127/6537
52: reward=0.00 vs 91.52, recent_win=0 vs 50, winner=blue, win=0 vs 52, draw=0, time=111/6648
53: reward=0.00 vs 90.32, recent_win=0 vs 50, winner=blue, win=0 vs 53, draw=0, time=129/6777
54: reward=0.00 vs 88.16, recent_win=0 vs 50, winner=blue, win=0 vs 54, draw=0, time=162/6939
55: reward=0.00 vs 88.44, recent_win=0 vs 50, winner=blue, win=0 vs 55, draw=0, time=158/7097
56: reward=0.00 vs 84.95, recent_win=0 vs 50, winner=blue, win=0 vs 56, draw=0, time=215/7312
57: reward=0.00 vs 88.87, recent_win=0 vs 50, winner=blue, win=0 vs 57, draw=0, time=151/7463
58: reward=0.00 vs 89.15, recent_win=0 vs 50, winner=blue, win=0 vs 58, draw=0, time=147/7610
59: reward=0.00 vs 89.44, recent_win=0 vs 50, winner=blue, win=0 vs 59, draw=0, time=142/7752
60: reward=0.00 vs 89.01, recent_win=0 vs 50, winner=blue, win=0 vs 60, draw=0, time=149/7901
61: reward=0.00 vs 91.60, recent_win=0 vs 50, winner=blue, win=0 vs 61, draw=0, time=110/8011
62: reward=0.00 vs 89.52, recent_win=0 vs 50, winner=blue, win=0 vs 62, draw=0, time=141/8153
63: reward=0.00 vs 91.75, recent_win=0 vs 50, winner=blue, win=0 vs 63, draw=0, time=108/8261
64: reward=0.00 vs 88.44, recent_win=0 vs 50, winner=blue, win=0 vs 64, draw=0, time=158/8419
65: reward=0.00 vs 93.71, recent_win=0 vs 50, winner=blue, win=0 vs 65, draw=0, time=81/8499
66: reward=0.00 vs 90.92, recent_win=0 vs 50, winner=blue, win=0 vs 66, draw=0, time=120/8620
67: reward=0.00 vs 90.77, recent_win=0 vs 50, winner=blue, win=0 vs 67, draw=0, time=122/8742
68: reward=0.00 vs 91.83, recent_win=0 vs 50, winner=blue, win=0 vs 68, draw=0, time=107/8849
69: reward=0.00 vs 94.11, recent_win=0 vs 50, winner=blue, win=0 vs 69, draw=0, time=75/8924
70: reward=0.00 vs 92.13, recent_win=0 vs 50, winner=blue, win=0 vs 70, draw=0, time=103/9027
71: reward=0.00 vs 89.66, recent_win=0 vs 50, winner=blue, win=0 vs 71, draw=0, time=139/9166
72: reward=0.00 vs 91.29, recent_win=0 vs 50, winner=blue, win=0 vs 72, draw=0, time=115/9281
73: reward=0.00 vs 91.37, recent_win=0 vs 50, winner=blue, win=0 vs 73, draw=0, time=114/9395
74: reward=0.00 vs 93.47, recent_win=0 vs 50, winner=blue, win=0 vs 74, draw=0, time=84/9479
75: reward=0.00 vs 90.62, recent_win=0 vs 50, winner=blue, win=0 vs 75, draw=0, time=125/9603
76: reward=0.00 vs 90.69, recent_win=0 vs 50, winner=blue, win=0 vs 76, draw=0, time=124/9727
77: reward=0.00 vs 90.92, recent_win=0 vs 50, winner=blue, win=0 vs 77, draw=0, time=120/9847
78: reward=0.00 vs 88.80, recent_win=0 vs 50, winner=blue, win=0 vs 78, draw=0, time=152/9999
79: reward=0.00 vs 91.37, recent_win=0 vs 50, winner=blue, win=0 vs 79, draw=0, time=114/10113
80: reward=0.00 vs 89.81, recent_win=0 vs 50, winner=blue, win=0 vs 80, draw=0, time=137/10250
81: reward=0.00 vs 91.44, recent_win=0 vs 50, winner=blue, win=0 vs 81, draw=0, time=113/10362
82: reward=0.00 vs 90.54, recent_win=0 vs 50, winner=blue, win=0 vs 82, draw=0, time=126/10488
83: reward=0.00 vs 93.79, recent_win=0 vs 50, winner=blue, win=0 vs 83, draw=0, time=80/10568
84: reward=0.00 vs 91.29, recent_win=0 vs 50, winner=blue, win=0 vs 84, draw=0, time=115/10683
85: reward=0.00 vs 91.83, recent_win=0 vs 50, winner=blue, win=0 vs 85, draw=0, time=107/10790
86: reward=0.00 vs 89.01, recent_win=0 vs 50, winner=blue, win=0 vs 86, draw=0, time=149/10939
87: reward=0.00 vs 85.21, recent_win=0 vs 50, winner=blue, win=0 vs 87, draw=0, time=210/11149
88: reward=0.00 vs 90.62, recent_win=0 vs 50, winner=blue, win=0 vs 88, draw=0, time=125/11274
89: reward=0.00 vs 88.02, recent_win=0 vs 50, winner=blue, win=0 vs 89, draw=0, time=164/11438
90: reward=0.00 vs 88.87, recent_win=0 vs 50, winner=blue, win=0 vs 90, draw=0, time=151/11589
91: reward=85.92 vs 0.00, recent_win=1 vs 49, winner=red, win=1 vs 90, draw=0, time=198/11788
92: reward=0.00 vs 89.59, recent_win=1 vs 49, winner=blue, win=1 vs 91, draw=0, time=140/11928
93: reward=0.00 vs 92.68, recent_win=1 vs 49, winner=blue, win=1 vs 92, draw=0, time=95/12023
94: reward=0.00 vs 93.07, recent_win=1 vs 49, winner=blue, win=1 vs 93, draw=0, time=89/12112
95: reward=0.00 vs 89.23, recent_win=1 vs 49, winner=blue, win=1 vs 94, draw=0, time=146/12258
96: reward=0.00 vs 92.21, recent_win=1 vs 49, winner=blue, win=1 vs 95, draw=0, time=102/12359
97: reward=0.00 vs 92.52, recent_win=1 vs 49, winner=blue, win=1 vs 96, draw=0, time=97/12457
98: reward=0.00 vs 89.73, recent_win=1 vs 49, winner=blue, win=1 vs 97, draw=0, time=138/12595
99: reward=0.00 vs 91.44, recent_win=1 vs 49, winner=blue, win=1 vs 98, draw=0, time=113/12707
100: reward=0.00 vs 92.68, recent_win=1 vs 49, winner=blue, win=1 vs 99, draw=0, time=95/12802
101: reward=0.00 vs 91.90, recent_win=1 vs 49, winner=blue, win=1 vs 100, draw=0, time=106/12908
102: reward=0.00 vs 91.67, recent_win=1 vs 49, winner=blue, win=1 vs 101, draw=0, time=109/13017
103: reward=0.00 vs 90.32, recent_win=1 vs 49, winner=blue, win=1 vs 102, draw=0, time=129/13147
104: reward=0.00 vs 88.94, recent_win=1 vs 49, winner=blue, win=1 vs 103, draw=0, time=150/13297
105: reward=0.00 vs 92.99, recent_win=1 vs 49, winner=blue, win=1 vs 104, draw=0, time=91/13387
106: reward=0.00 vs 87.68, recent_win=1 vs 49, winner=blue, win=1 vs 105, draw=0, time=170/13557
107: reward=0.00 vs 93.95, recent_win=1 vs 49, winner=blue, win=1 vs 106, draw=0, time=77/13634
