1: reward=1.00 vs 90.83, reward_evade=1.00 vs 0.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=133/133
2: reward=1.00 vs 94.09, reward_evade=1.00 vs 1.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=100/234
3: reward=1.00 vs 96.03, reward_evade=1.00 vs 1.00, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=76/310
4: reward=5.00 vs 87.94, reward_evade=5.00 vs 1.00, win=0 vs 4, recent_win=0 vs 4, draw=0, winner=blue, time=172/482
5: reward=4.00 vs 87.70, reward_evade=4.00 vs 1.00, win=0 vs 5, recent_win=0 vs 5, draw=0, winner=blue, time=177/660
6: reward=6.00 vs 86.99, reward_evade=6.00 vs 1.00, win=0 vs 6, recent_win=0 vs 6, draw=0, winner=blue, time=187/847
7: reward=1.00 vs 93.55, reward_evade=1.00 vs 1.00, win=0 vs 7, recent_win=0 vs 7, draw=0, winner=blue, time=108/955
8: reward=1.00 vs 91.64, reward_evade=1.00 vs 1.00, win=0 vs 8, recent_win=0 vs 8, draw=0, winner=blue, time=121/1077
9: reward=1.00 vs 93.27, reward_evade=1.00 vs 1.00, win=0 vs 9, recent_win=0 vs 9, draw=0, winner=blue, time=99/1176
10: reward=1.00 vs 90.17, reward_evade=1.00 vs 1.00, win=0 vs 10, recent_win=0 vs 10, draw=0, winner=blue, time=143/1320
11: reward=3.00 vs 89.93, reward_evade=3.00 vs 1.00, win=0 vs 11, recent_win=0 vs 11, draw=0, winner=blue, time=161/1481
12: reward=3.00 vs 91.65, reward_evade=3.00 vs 1.00, win=0 vs 12, recent_win=0 vs 12, draw=0, winner=blue, time=135/1615
13: reward=4.00 vs 90.48, reward_evade=4.00 vs 1.00, win=0 vs 13, recent_win=0 vs 13, draw=0, winner=blue, time=136/1751
14: reward=1.00 vs 90.68, reward_evade=1.00 vs 1.00, win=0 vs 14, recent_win=0 vs 14, draw=0, winner=blue, time=136/1887
15: reward=1.00 vs 91.05, reward_evade=1.00 vs 1.00, win=0 vs 15, recent_win=0 vs 15, draw=0, winner=blue, time=130/2017
16: reward=2.00 vs 91.32, reward_evade=2.00 vs 1.00, win=0 vs 16, recent_win=0 vs 16, draw=0, winner=blue, time=125/2141
17: reward=2.00 vs 95.55, reward_evade=2.00 vs 1.00, win=0 vs 17, recent_win=0 vs 17, draw=0, winner=blue, time=83/2224
18: reward=2.00 vs 96.03, reward_evade=2.00 vs 1.00, win=0 vs 18, recent_win=0 vs 18, draw=0, winner=blue, time=76/2301
19: reward=2.00 vs 93.96, reward_evade=2.00 vs 1.00, win=0 vs 19, recent_win=0 vs 19, draw=0, winner=blue, time=104/2404
20: reward=2.90 vs 90.00, reward_evade=3.00 vs 1.00, win=0 vs 20, recent_win=0 vs 20, draw=0, winner=blue, time=160/2564
21: reward=1.00 vs 90.61, reward_evade=1.00 vs 1.00, win=0 vs 21, recent_win=0 vs 21, draw=0, winner=blue, time=137/2701
