1: reward=0.00 vs 93.55, recent_win=0 vs 1, winner=blue, win=0 vs 1, draw=0, time=83/83
2: reward=0.00 vs 94.93, recent_win=0 vs 2, winner=blue, win=0 vs 2, draw=0, time=64/147
3: reward=0.00 vs 94.19, recent_win=0 vs 3, winner=blue, win=0 vs 3, draw=0, time=74/221
4: reward=0.00 vs 92.60, recent_win=0 vs 4, winner=blue, win=0 vs 4, draw=0, time=96/317
5: reward=0.00 vs 94.11, recent_win=0 vs 5, winner=blue, win=0 vs 5, draw=0, time=75/392
6: reward=0.00 vs 92.29, recent_win=0 vs 6, winner=blue, win=0 vs 6, draw=0, time=100/493
7: reward=0.00 vs 91.83, recent_win=0 vs 7, winner=blue, win=0 vs 7, draw=0, time=107/600
8: reward=0.00 vs 95.30, recent_win=0 vs 8, winner=blue, win=0 vs 8, draw=0, time=59/659
9: reward=0.00 vs 93.71, recent_win=0 vs 9, winner=blue, win=0 vs 9, draw=0, time=81/740
10: reward=0.00 vs 92.76, recent_win=0 vs 10, winner=blue, win=0 vs 10, draw=0, time=94/834
11: reward=0.00 vs 91.83, recent_win=0 vs 11, winner=blue, win=0 vs 11, draw=0, time=107/941
12: reward=0.00 vs 94.03, recent_win=0 vs 12, winner=blue, win=0 vs 12, draw=0, time=76/1017
13: reward=0.00 vs 94.27, recent_win=0 vs 13, winner=blue, win=0 vs 13, draw=0, time=73/1090
14: reward=0.00 vs 92.91, recent_win=0 vs 14, winner=blue, win=0 vs 14, draw=0, time=92/1182
15: reward=0.00 vs 93.63, recent_win=0 vs 15, winner=blue, win=0 vs 15, draw=0, time=82/1264
16: reward=0.00 vs 93.95, recent_win=0 vs 16, winner=blue, win=0 vs 16, draw=0, time=77/1341
17: reward=0.00 vs 91.22, recent_win=0 vs 17, winner=blue, win=0 vs 17, draw=0, time=116/1457
18: reward=0.00 vs 93.07, recent_win=0 vs 18, winner=blue, win=0 vs 18, draw=0, time=89/1547
19: reward=0.00 vs 93.07, recent_win=0 vs 19, winner=blue, win=0 vs 19, draw=0, time=89/1636
20: reward=0.00 vs 91.29, recent_win=0 vs 20, winner=blue, win=0 vs 20, draw=0, time=115/1751
21: reward=0.00 vs 94.11, recent_win=0 vs 21, winner=blue, win=0 vs 21, draw=0, time=75/1826
22: reward=0.00 vs 92.44, recent_win=0 vs 22, winner=blue, win=0 vs 22, draw=0, time=98/1924
23: reward=0.00 vs 93.47, recent_win=0 vs 23, winner=blue, win=0 vs 23, draw=0, time=84/2008
24: reward=89.73 vs 0.00, recent_win=1 vs 23, winner=red, win=1 vs 23, draw=0, time=138/2146
25: reward=0.00 vs 93.79, recent_win=1 vs 24, winner=blue, win=1 vs 24, draw=0, time=80/2226
26: reward=0.00 vs 94.03, recent_win=1 vs 25, winner=blue, win=1 vs 25, draw=0, time=76/2302
27: reward=0.00 vs 91.83, recent_win=1 vs 26, winner=blue, win=1 vs 26, draw=0, time=107/2409
28: reward=0.00 vs 91.90, recent_win=1 vs 27, winner=blue, win=1 vs 27, draw=0, time=106/2515
29: reward=0.00 vs 91.83, recent_win=1 vs 28, winner=blue, win=1 vs 28, draw=0, time=107/2622
30: reward=0.00 vs 95.76, recent_win=1 vs 29, winner=blue, win=1 vs 29, draw=0, time=53/2676
