1: reward=0.00 vs 94.19, recent_win=0 vs 1, winner=blue, win=0 vs 1, draw=0, time=74/74
2: reward=0.00 vs 94.03, recent_win=0 vs 2, winner=blue, win=0 vs 2, draw=0, time=76/150
3: reward=0.00 vs 91.60, recent_win=0 vs 3, winner=blue, win=0 vs 3, draw=0, time=110/261
4: reward=0.00 vs 94.03, recent_win=0 vs 4, winner=blue, win=0 vs 4, draw=0, time=76/337
5: reward=0.00 vs 91.75, recent_win=0 vs 5, winner=blue, win=0 vs 5, draw=0, time=108/445
6: reward=0.00 vs 94.19, recent_win=0 vs 6, winner=blue, win=0 vs 6, draw=0, time=74/519
7: reward=87.33 vs 0.00, recent_win=1 vs 6, winner=red, win=1 vs 6, draw=0, time=175/695
8: reward=0.00 vs 94.03, recent_win=1 vs 7, winner=blue, win=1 vs 7, draw=0, time=76/771
9: reward=0.00 vs 93.87, recent_win=1 vs 8, winner=blue, win=1 vs 8, draw=0, time=78/849
10: reward=0.00 vs 92.76, recent_win=1 vs 9, winner=blue, win=1 vs 9, draw=0, time=94/943
11: reward=0.00 vs 94.03, recent_win=1 vs 10, winner=blue, win=1 vs 10, draw=0, time=76/1020
12: reward=0.00 vs 93.95, recent_win=1 vs 11, winner=blue, win=1 vs 11, draw=0, time=77/1097
13: reward=0.00 vs 92.68, recent_win=1 vs 12, winner=blue, win=1 vs 12, draw=0, time=95/1192
14: reward=0.00 vs 91.52, recent_win=1 vs 13, winner=blue, win=1 vs 13, draw=0, time=111/1304
15: reward=0.00 vs 90.84, recent_win=1 vs 14, winner=blue, win=1 vs 14, draw=0, time=121/1425
16: reward=0.00 vs 95.08, recent_win=1 vs 15, winner=blue, win=1 vs 15, draw=0, time=62/1487
17: reward=0.00 vs 92.44, recent_win=1 vs 16, winner=blue, win=1 vs 16, draw=0, time=98/1585
18: reward=0.00 vs 91.14, recent_win=1 vs 17, winner=blue, win=1 vs 17, draw=0, time=117/1702
19: reward=0.00 vs 91.44, recent_win=1 vs 18, winner=blue, win=1 vs 18, draw=0, time=113/1815
20: reward=0.00 vs 92.06, recent_win=1 vs 19, winner=blue, win=1 vs 19, draw=0, time=104/1919
21: reward=0.00 vs 92.60, recent_win=1 vs 20, winner=blue, win=1 vs 20, draw=0, time=96/2015
22: reward=88.16 vs 0.00, recent_win=2 vs 20, winner=red, win=2 vs 20, draw=0, time=162/2177
23: reward=0.00 vs 92.13, recent_win=2 vs 21, winner=blue, win=2 vs 21, draw=0, time=103/2280
24: reward=0.00 vs 94.84, recent_win=2 vs 22, winner=blue, win=2 vs 22, draw=0, time=65/2345
