1: reward=0.00 vs 96.43, reward_evade=0.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=71/71
2: reward=0.00 vs 93.83, reward_evade=0.00 vs 1.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=107/178
3: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=76/254
4: reward=0.00 vs 95.79, reward_evade=0.00 vs 1.00, win=0 vs 4, recent_win=0 vs 4, draw=0, winner=blue, time=80/334
5: reward=0.00 vs 94.44, reward_evade=0.00 vs 1.00, win=0 vs 5, recent_win=0 vs 5, draw=0, winner=blue, time=98/432
6: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 6, recent_win=0 vs 6, draw=0, winner=blue, time=75/507
7: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 7, recent_win=0 vs 7, draw=0, winner=blue, time=76/584
8: reward=0.00 vs 97.00, reward_evade=0.00 vs 1.00, win=0 vs 8, recent_win=0 vs 8, draw=0, winner=blue, time=63/647
9: reward=0.00 vs 97.52, reward_evade=0.00 vs 2.00, win=0 vs 9, recent_win=0 vs 9, draw=0, winner=blue, time=70/716
10: reward=0.00 vs 97.08, reward_evade=0.00 vs 1.00, win=0 vs 10, recent_win=0 vs 10, draw=0, winner=blue, time=62/779
11: reward=0.00 vs 96.93, reward_evade=0.00 vs 1.00, win=0 vs 11, recent_win=0 vs 11, draw=0, winner=blue, time=64/843
12: reward=0.00 vs 94.52, reward_evade=0.00 vs 1.00, win=0 vs 12, recent_win=0 vs 12, draw=0, winner=blue, time=97/940
13: reward=0.00 vs 97.08, reward_evade=0.00 vs 1.00, win=0 vs 13, recent_win=0 vs 13, draw=0, winner=blue, time=62/1002
14: reward=0.00 vs 95.13, reward_evade=0.00 vs 2.00, win=0 vs 14, recent_win=0 vs 14, draw=0, winner=blue, time=103/1105
15: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 15, recent_win=0 vs 15, draw=0, winner=blue, time=74/1179
16: reward=0.00 vs 93.60, reward_evade=0.00 vs 1.00, win=0 vs 16, recent_win=0 vs 16, draw=0, winner=blue, time=110/1289
17: reward=0.00 vs 97.15, reward_evade=0.00 vs 1.00, win=0 vs 17, recent_win=0 vs 17, draw=0, winner=blue, time=61/1351
18: reward=0.00 vs 96.19, reward_evade=0.00 vs 1.00, win=0 vs 18, recent_win=0 vs 18, draw=0, winner=blue, time=74/1425
19: reward=92.31 vs 3.90, reward_evade=2.00 vs 4.00, win=1 vs 18, recent_win=1 vs 18, draw=0, winner=red, time=137/1562
20: reward=92.31 vs 94.68, reward_evade=2.00 vs 1.00, win=1 vs 19, recent_win=1 vs 19, draw=0, winner=blue, time=95/1657
21: reward=92.31 vs 97.03, reward_evade=2.00 vs 2.00, win=1 vs 20, recent_win=1 vs 20, draw=0, winner=blue, time=76/1733
