1: reward=0.00 vs 93.71, recent_win=0 vs 1, winner=blue, win=0 vs 1, draw=0, time=81/81
2: reward=86.92 vs 0.00, recent_win=1 vs 1, winner=red, win=1 vs 1, draw=0, time=182/263
3: reward=0.00 vs 92.91, recent_win=1 vs 2, winner=blue, win=1 vs 2, draw=0, time=92/354
4: reward=0.00 vs 92.68, recent_win=1 vs 3, winner=blue, win=1 vs 3, draw=0, time=95/449
5: reward=0.00 vs 94.03, recent_win=1 vs 4, winner=blue, win=1 vs 4, draw=0, time=76/526
6: reward=88.66 vs 0.00, recent_win=2 vs 4, winner=red, win=2 vs 4, draw=0, time=154/680
7: reward=0.00 vs 93.55, recent_win=2 vs 5, winner=blue, win=2 vs 5, draw=0, time=83/763
8: reward=90.03 vs 0.00, recent_win=3 vs 5, winner=red, win=3 vs 5, draw=0, time=133/896
9: reward=0.00 vs 92.06, recent_win=3 vs 6, winner=blue, win=3 vs 6, draw=0, time=104/1000
10: reward=0.00 vs 92.21, recent_win=3 vs 7, winner=blue, win=3 vs 7, draw=0, time=102/1102
11: reward=0.00 vs 94.84, recent_win=3 vs 8, winner=blue, win=3 vs 8, draw=0, time=65/1167
12: reward=0.00 vs 94.76, recent_win=3 vs 9, winner=blue, win=3 vs 9, draw=0, time=66/1233
13: reward=0.00 vs 92.84, recent_win=3 vs 10, winner=blue, win=3 vs 10, draw=0, time=93/1326
14: reward=0.00 vs 90.92, recent_win=3 vs 11, winner=blue, win=3 vs 11, draw=0, time=120/1447
15: reward=0.00 vs 93.15, recent_win=3 vs 12, winner=blue, win=3 vs 12, draw=0, time=88/1535
16: reward=0.00 vs 94.76, recent_win=3 vs 13, winner=blue, win=3 vs 13, draw=0, time=66/1601
17: reward=89.08 vs 0.00, recent_win=4 vs 13, winner=red, win=4 vs 13, draw=0, time=148/1749
18: reward=88.44 vs 0.00, recent_win=5 vs 13, winner=red, win=5 vs 13, draw=0, time=158/1907
19: reward=0.00 vs 85.46, recent_win=5 vs 14, winner=blue, win=5 vs 14, draw=0, time=206/2113
20: reward=0.00 vs 94.03, recent_win=5 vs 15, winner=blue, win=5 vs 15, draw=0, time=76/2189
