1: reward=0.00 vs 94.84, reward_evade=0.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=93/93
2: reward=0.00 vs 94.60, reward_evade=0.00 vs 1.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=96/189
3: reward=0.00 vs 94.29, reward_evade=0.00 vs 1.00, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=100/289
4: reward=0.00 vs 97.15, reward_evade=0.00 vs 1.00, win=0 vs 4, recent_win=0 vs 4, draw=0, winner=blue, time=61/351
5: reward=0.00 vs 94.06, reward_evade=0.00 vs 1.00, win=0 vs 5, recent_win=0 vs 5, draw=0, winner=blue, time=104/454
6: reward=0.00 vs 93.75, reward_evade=0.00 vs 1.00, win=0 vs 6, recent_win=0 vs 6, draw=0, winner=blue, time=108/563
7: reward=0.00 vs 96.47, reward_evade=0.00 vs 2.00, win=0 vs 7, recent_win=0 vs 7, draw=0, winner=blue, time=84/647
8: reward=0.00 vs 96.47, reward_evade=0.00 vs 2.00, win=0 vs 8, recent_win=0 vs 8, draw=0, winner=blue, time=84/731
9: reward=0.00 vs 94.13, reward_evade=0.00 vs 1.00, win=0 vs 9, recent_win=0 vs 9, draw=0, winner=blue, time=103/833
10: reward=0.00 vs 94.13, reward_evade=0.00 vs 1.00, win=0 vs 10, recent_win=0 vs 10, draw=0, winner=blue, time=103/936
11: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 11, recent_win=0 vs 11, draw=0, winner=blue, time=77/1013
12: reward=0.00 vs 97.45, reward_evade=0.00 vs 1.00, win=0 vs 12, recent_win=0 vs 12, draw=0, winner=blue, time=57/1071
13: reward=0.00 vs 97.27, reward_evade=0.00 vs 2.00, win=0 vs 13, recent_win=0 vs 13, draw=0, winner=blue, time=73/1144
14: reward=0.00 vs 96.71, reward_evade=0.00 vs 2.00, win=0 vs 14, recent_win=0 vs 14, draw=0, winner=blue, time=81/1224
15: reward=0.00 vs 97.45, reward_evade=0.00 vs 1.00, win=0 vs 15, recent_win=0 vs 15, draw=0, winner=blue, time=57/1281
16: reward=0.00 vs 93.90, reward_evade=0.00 vs 1.00, win=0 vs 16, recent_win=0 vs 16, draw=0, winner=blue, time=106/1387
17: reward=0.00 vs 94.60, reward_evade=0.00 vs 1.00, win=0 vs 17, recent_win=0 vs 17, draw=0, winner=blue, time=96/1484
18: reward=0.00 vs 96.93, reward_evade=0.00 vs 1.00, win=0 vs 18, recent_win=0 vs 18, draw=0, winner=blue, time=64/1548
19: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 19, recent_win=0 vs 19, draw=0, winner=blue, time=77/1625
20: reward=0.00 vs 94.52, reward_evade=0.00 vs 2.00, win=0 vs 20, recent_win=0 vs 20, draw=0, winner=blue, time=111/1737
21: reward=0.00 vs 96.63, reward_evade=0.00 vs 2.00, win=0 vs 21, recent_win=0 vs 21, draw=0, winner=blue, time=82/1818
22: reward=0.00 vs 96.27, reward_evade=0.00 vs 1.00, win=0 vs 22, recent_win=0 vs 22, draw=0, winner=blue, time=73/1891
23: reward=0.00 vs 93.83, reward_evade=0.00 vs 1.00, win=0 vs 23, recent_win=0 vs 23, draw=0, winner=blue, time=107/1999
24: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 24, recent_win=0 vs 24, draw=0, winner=blue, time=77/2076
25: reward=0.00 vs 94.67, reward_evade=0.00 vs 2.00, win=0 vs 25, recent_win=0 vs 25, draw=0, winner=blue, time=109/2185
26: reward=0.00 vs 95.87, reward_evade=0.00 vs 1.00, win=0 vs 26, recent_win=0 vs 26, draw=0, winner=blue, time=78/2264
27: reward=0.00 vs 97.60, reward_evade=0.00 vs 2.00, win=0 vs 27, recent_win=0 vs 27, draw=0, winner=blue, time=69/2332
28: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 28, recent_win=0 vs 28, draw=0, winner=blue, time=74/2406
29: reward=0.00 vs 94.76, reward_evade=0.00 vs 1.00, win=0 vs 29, recent_win=0 vs 29, draw=0, winner=blue, time=94/2500
30: reward=0.00 vs 94.84, reward_evade=0.00 vs 1.00, win=0 vs 30, recent_win=0 vs 30, draw=0, winner=blue, time=93/2593
31: reward=0.00 vs 97.68, reward_evade=0.00 vs 2.00, win=0 vs 31, recent_win=0 vs 31, draw=0, winner=blue, time=68/2661
32: reward=0.00 vs 94.68, reward_evade=0.00 vs 1.00, win=0 vs 32, recent_win=0 vs 32, draw=0, winner=blue, time=95/2756
33: reward=0.00 vs 92.92, reward_evade=0.00 vs 1.00, win=0 vs 33, recent_win=0 vs 33, draw=0, winner=blue, time=120/2876
34: reward=0.00 vs 97.15, reward_evade=0.00 vs 1.00, win=0 vs 34, recent_win=0 vs 34, draw=0, winner=blue, time=61/2937
35: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 35, recent_win=0 vs 35, draw=0, winner=blue, time=76/3013
36: reward=0.00 vs 96.79, reward_evade=0.00 vs 2.00, win=0 vs 36, recent_win=0 vs 36, draw=0, winner=blue, time=80/3093
37: reward=0.00 vs 93.60, reward_evade=0.00 vs 1.00, win=0 vs 37, recent_win=0 vs 37, draw=0, winner=blue, time=110/3203
38: reward=0.00 vs 94.76, reward_evade=0.00 vs 1.00, win=0 vs 38, recent_win=0 vs 38, draw=0, winner=blue, time=94/3297
39: reward=0.00 vs 96.03, reward_evade=0.00 vs 1.00, win=0 vs 39, recent_win=0 vs 39, draw=0, winner=blue, time=76/3374
40: reward=0.00 vs 97.45, reward_evade=0.00 vs 1.00, win=0 vs 40, recent_win=0 vs 40, draw=0, winner=blue, time=57/3431
41: reward=0.00 vs 94.06, reward_evade=0.00 vs 1.00, win=0 vs 41, recent_win=0 vs 41, draw=0, winner=blue, time=104/3535
42: reward=0.00 vs 94.44, reward_evade=0.00 vs 1.00, win=0 vs 42, recent_win=0 vs 42, draw=0, winner=blue, time=98/3633
43: reward=0.00 vs 94.44, reward_evade=0.00 vs 1.00, win=0 vs 43, recent_win=0 vs 43, draw=0, winner=blue, time=98/3731
44: reward=0.00 vs 96.84, reward_evade=0.00 vs 1.00, win=0 vs 44, recent_win=0 vs 44, draw=0, winner=blue, time=65/3797
45: reward=0.00 vs 97.68, reward_evade=0.00 vs 2.00, win=0 vs 45, recent_win=0 vs 45, draw=0, winner=blue, time=68/3864
46: reward=0.00 vs 94.84, reward_evade=0.00 vs 1.00, win=0 vs 46, recent_win=0 vs 46, draw=0, winner=blue, time=93/3957
47: reward=0.00 vs 97.43, reward_evade=0.00 vs 2.00, win=0 vs 47, recent_win=0 vs 47, draw=0, winner=blue, time=71/4028
48: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 48, recent_win=0 vs 48, draw=0, winner=blue, time=77/4105
49: reward=0.00 vs 94.67, reward_evade=0.00 vs 2.00, win=0 vs 49, recent_win=0 vs 49, draw=0, winner=blue, time=109/4214
50: reward=0.00 vs 95.39, reward_evade=0.00 vs 1.00, win=0 vs 50, recent_win=0 vs 50, draw=0, winner=blue, time=85/4299
51: reward=0.00 vs 97.68, reward_evade=0.00 vs 2.00, win=0 vs 51, recent_win=0 vs 50, draw=0, winner=blue, time=68/4367
52: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 52, recent_win=0 vs 50, draw=0, winner=blue, time=76/4443
53: reward=0.00 vs 93.83, reward_evade=0.00 vs 1.00, win=0 vs 53, recent_win=0 vs 50, draw=0, winner=blue, time=107/4550
54: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 54, recent_win=0 vs 50, draw=0, winner=blue, time=77/4628
55: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 55, recent_win=0 vs 50, draw=0, winner=blue, time=76/4704
56: reward=0.00 vs 94.29, reward_evade=0.00 vs 1.00, win=0 vs 56, recent_win=0 vs 50, draw=0, winner=blue, time=100/4805
57: reward=0.00 vs 93.90, reward_evade=0.00 vs 1.00, win=0 vs 57, recent_win=0 vs 50, draw=0, winner=blue, time=106/4911
58: reward=0.00 vs 97.08, reward_evade=0.00 vs 1.00, win=0 vs 58, recent_win=0 vs 50, draw=0, winner=blue, time=62/4973
59: reward=0.00 vs 96.87, reward_evade=0.00 vs 2.00, win=0 vs 59, recent_win=0 vs 50, draw=0, winner=blue, time=78/5051
60: reward=0.00 vs 95.47, reward_evade=0.00 vs 1.00, win=0 vs 60, recent_win=0 vs 50, draw=0, winner=blue, time=84/5135
61: reward=0.00 vs 96.11, reward_evade=0.00 vs 1.00, win=0 vs 61, recent_win=0 vs 50, draw=0, winner=blue, time=75/5210
62: reward=0.00 vs 94.75, reward_evade=0.00 vs 2.00, win=0 vs 62, recent_win=0 vs 50, draw=0, winner=blue, time=108/5319
63: reward=0.00 vs 96.63, reward_evade=0.00 vs 2.00, win=0 vs 63, recent_win=0 vs 50, draw=0, winner=blue, time=82/5400
64: reward=0.00 vs 95.37, reward_evade=0.00 vs 1.00, win=0 vs 64, recent_win=0 vs 50, draw=0, winner=blue, time=84/5484
65: reward=0.00 vs 93.67, reward_evade=0.00 vs 1.00, win=0 vs 65, recent_win=0 vs 50, draw=0, winner=blue, time=109/5594
66: reward=0.90 vs 92.71, reward_evade=1.00 vs 2.00, win=0 vs 66, recent_win=0 vs 50, draw=0, winner=blue, time=137/5731
67: reward=0.90 vs 97.19, reward_evade=1.00 vs 2.00, win=0 vs 67, recent_win=0 vs 50, draw=0, winner=blue, time=74/5805
68: reward=0.90 vs 97.11, reward_evade=1.00 vs 2.00, win=0 vs 68, recent_win=0 vs 50, draw=0, winner=blue, time=75/5880
69: reward=0.90 vs 94.60, reward_evade=1.00 vs 1.00, win=0 vs 69, recent_win=0 vs 50, draw=0, winner=blue, time=96/5976
70: reward=0.90 vs 96.71, reward_evade=1.00 vs 2.00, win=0 vs 70, recent_win=0 vs 50, draw=0, winner=blue, time=81/6057
71: reward=0.90 vs 96.87, reward_evade=1.00 vs 2.00, win=0 vs 71, recent_win=0 vs 50, draw=0, winner=blue, time=78/6135
72: reward=0.90 vs 96.79, reward_evade=1.00 vs 2.00, win=0 vs 72, recent_win=0 vs 50, draw=0, winner=blue, time=80/6215
73: reward=0.90 vs 97.15, reward_evade=1.00 vs 1.00, win=0 vs 73, recent_win=0 vs 50, draw=0, winner=blue, time=61/6276
74: reward=0.90 vs 95.47, reward_evade=1.00 vs 1.00, win=0 vs 74, recent_win=0 vs 50, draw=0, winner=blue, time=84/6360
75: reward=0.90 vs 97.00, reward_evade=1.00 vs 1.00, win=0 vs 75, recent_win=0 vs 50, draw=0, winner=blue, time=63/6423
76: reward=0.90 vs 93.84, reward_evade=1.00 vs 2.00, win=0 vs 76, recent_win=0 vs 50, draw=0, winner=blue, time=121/6545
77: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 77, recent_win=0 vs 50, draw=0, winner=blue, time=76/6621
78: reward=0.90 vs 97.19, reward_evade=1.00 vs 2.00, win=0 vs 78, recent_win=0 vs 50, draw=0, winner=blue, time=74/6695
79: reward=0.90 vs 97.45, reward_evade=1.00 vs 1.00, win=0 vs 79, recent_win=0 vs 50, draw=0, winner=blue, time=57/6752
80: reward=0.90 vs 95.31, reward_evade=1.00 vs 1.00, win=0 vs 80, recent_win=0 vs 50, draw=0, winner=blue, time=86/6838
81: reward=0.90 vs 94.29, reward_evade=1.00 vs 2.00, win=0 vs 81, recent_win=0 vs 50, draw=0, winner=blue, time=115/6953
82: reward=0.90 vs 94.97, reward_evade=1.00 vs 3.00, win=0 vs 82, recent_win=0 vs 50, draw=0, winner=blue, time=118/7071
83: reward=0.90 vs 97.35, reward_evade=1.00 vs 2.00, win=0 vs 83, recent_win=0 vs 50, draw=0, winner=blue, time=72/7143
84: reward=0.90 vs 97.35, reward_evade=1.00 vs 2.00, win=0 vs 84, recent_win=0 vs 50, draw=0, winner=blue, time=72/7215
85: reward=0.90 vs 94.52, reward_evade=1.00 vs 1.00, win=0 vs 85, recent_win=0 vs 50, draw=0, winner=blue, time=97/7312
86: reward=0.90 vs 96.95, reward_evade=1.00 vs 2.00, win=0 vs 86, recent_win=0 vs 50, draw=0, winner=blue, time=77/7390
87: reward=0.90 vs 96.13, reward_evade=1.00 vs 2.00, win=0 vs 87, recent_win=0 vs 50, draw=0, winner=blue, time=87/7477
88: reward=0.90 vs 93.98, reward_evade=1.00 vs 1.00, win=0 vs 88, recent_win=0 vs 50, draw=0, winner=blue, time=105/7582
89: reward=0.90 vs 97.23, reward_evade=1.00 vs 1.00, win=0 vs 89, recent_win=0 vs 50, draw=0, winner=blue, time=60/7642
90: reward=0.90 vs 97.43, reward_evade=1.00 vs 2.00, win=0 vs 90, recent_win=0 vs 50, draw=0, winner=blue, time=71/7713
91: reward=0.90 vs 93.90, reward_evade=1.00 vs 1.00, win=0 vs 91, recent_win=0 vs 50, draw=0, winner=blue, time=106/7819
92: reward=0.90 vs 97.68, reward_evade=1.00 vs 2.00, win=0 vs 92, recent_win=0 vs 50, draw=0, winner=blue, time=68/7886
93: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 93, recent_win=0 vs 50, draw=0, winner=blue, time=76/7963
94: reward=0.90 vs 93.90, reward_evade=1.00 vs 1.00, win=0 vs 94, recent_win=0 vs 50, draw=0, winner=blue, time=106/8069
95: reward=0.90 vs 95.79, reward_evade=1.00 vs 1.00, win=0 vs 95, recent_win=0 vs 50, draw=0, winner=blue, time=80/8148
96: reward=0.90 vs 93.37, reward_evade=1.00 vs 1.00, win=0 vs 96, recent_win=0 vs 50, draw=0, winner=blue, time=114/8262
97: reward=0.90 vs 94.52, reward_evade=1.00 vs 1.00, win=0 vs 97, recent_win=0 vs 50, draw=0, winner=blue, time=97/8359
98: reward=0.90 vs 93.83, reward_evade=1.00 vs 1.00, win=0 vs 98, recent_win=0 vs 50, draw=0, winner=blue, time=107/8466
99: reward=0.90 vs 93.67, reward_evade=1.00 vs 1.00, win=0 vs 99, recent_win=0 vs 50, draw=0, winner=blue, time=109/8576
100: reward=0.90 vs 97.19, reward_evade=1.00 vs 2.00, win=0 vs 100, recent_win=0 vs 50, draw=0, winner=blue, time=74/8650
101: reward=0.90 vs 93.90, reward_evade=1.00 vs 1.00, win=0 vs 101, recent_win=0 vs 50, draw=0, winner=blue, time=106/8756
102: reward=0.90 vs 94.21, reward_evade=1.00 vs 1.00, win=0 vs 102, recent_win=0 vs 50, draw=0, winner=blue, time=102/8857
103: reward=0.90 vs 93.75, reward_evade=1.00 vs 1.00, win=0 vs 103, recent_win=0 vs 50, draw=0, winner=blue, time=108/8965
104: reward=0.90 vs 94.68, reward_evade=1.00 vs 1.00, win=0 vs 104, recent_win=0 vs 50, draw=0, winner=blue, time=95/9060
105: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 105, recent_win=0 vs 50, draw=0, winner=blue, time=76/9137
106: reward=0.90 vs 94.44, reward_evade=1.00 vs 1.00, win=0 vs 106, recent_win=0 vs 50, draw=0, winner=blue, time=98/9235
107: reward=0.90 vs 97.43, reward_evade=1.00 vs 2.00, win=0 vs 107, recent_win=0 vs 50, draw=0, winner=blue, time=71/9306
108: reward=0.90 vs 93.75, reward_evade=1.00 vs 1.00, win=0 vs 108, recent_win=0 vs 50, draw=0, winner=blue, time=108/9414
109: reward=0.90 vs 96.87, reward_evade=1.00 vs 2.00, win=0 vs 109, recent_win=0 vs 50, draw=0, winner=blue, time=78/9493
110: reward=0.90 vs 93.92, reward_evade=1.00 vs 2.00, win=0 vs 110, recent_win=0 vs 50, draw=0, winner=blue, time=120/9613
111: reward=0.90 vs 94.91, reward_evade=1.00 vs 1.00, win=0 vs 111, recent_win=0 vs 50, draw=0, winner=blue, time=92/9705
112: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 112, recent_win=0 vs 50, draw=0, winner=blue, time=76/9781
113: reward=0.90 vs 97.19, reward_evade=1.00 vs 2.00, win=0 vs 113, recent_win=0 vs 50, draw=0, winner=blue, time=74/9855
114: reward=0.90 vs 94.76, reward_evade=1.00 vs 1.00, win=0 vs 114, recent_win=0 vs 50, draw=0, winner=blue, time=94/9949
115: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 115, recent_win=0 vs 50, draw=0, winner=blue, time=76/10025
116: reward=0.90 vs 97.76, reward_evade=1.00 vs 1.00, win=0 vs 116, recent_win=0 vs 50, draw=0, winner=blue, time=53/10078
117: reward=0.90 vs 93.32, reward_evade=1.00 vs 2.00, win=0 vs 117, recent_win=0 vs 50, draw=0, winner=blue, time=129/10207
118: reward=0.90 vs 96.35, reward_evade=1.00 vs 1.00, win=0 vs 118, recent_win=0 vs 50, draw=0, winner=blue, time=72/10279
119: reward=0.90 vs 93.52, reward_evade=1.00 vs 1.00, win=0 vs 119, recent_win=0 vs 50, draw=0, winner=blue, time=111/10391
120: reward=0.90 vs 94.27, reward_evade=1.00 vs 2.00, win=0 vs 120, recent_win=0 vs 50, draw=0, winner=blue, time=114/10505
121: reward=0.90 vs 96.27, reward_evade=1.00 vs 1.00, win=0 vs 121, recent_win=0 vs 50, draw=0, winner=blue, time=73/10578
122: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 122, recent_win=0 vs 50, draw=0, winner=blue, time=76/10654
123: reward=0.90 vs 94.60, reward_evade=1.00 vs 1.00, win=0 vs 123, recent_win=0 vs 50, draw=0, winner=blue, time=96/10750
124: reward=0.90 vs 96.87, reward_evade=1.00 vs 2.00, win=0 vs 124, recent_win=0 vs 50, draw=0, winner=blue, time=78/10828
125: reward=0.90 vs 96.03, reward_evade=1.00 vs 1.00, win=0 vs 125, recent_win=0 vs 50, draw=0, winner=blue, time=76/10905
126: reward=0.90 vs 96.55, reward_evade=1.00 vs 2.00, win=0 vs 126, recent_win=0 vs 50, draw=0, winner=blue, time=83/10988
127: reward=0.90 vs 97.03, reward_evade=1.00 vs 2.00, win=0 vs 127, recent_win=0 vs 50, draw=0, winner=blue, time=76/11064
128: reward=0.90 vs 97.23, reward_evade=1.00 vs 1.00, win=0 vs 128, recent_win=0 vs 50, draw=0, winner=blue, time=60/11124
