1: reward=1.80 vs 91.45, reward_evade=2.00 vs 4.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=186/186
2: reward=86.95 vs 91.45, reward_evade=1.00 vs 4.00, win=1 vs 1, recent_win=1 vs 1, draw=0, winner=red, time=215/401
3: reward=81.00 vs 7.00, reward_evade=1.00 vs 7.00, win=2 vs 1, recent_win=2 vs 1, draw=0, winner=red, time=293/694
4: reward=83.47 vs 6.80, reward_evade=2.00 vs 7.00, win=3 vs 1, recent_win=3 vs 1, draw=0, winner=red, time=284/977
5: reward=0.90 vs 87.72, reward_evade=1.00 vs 2.00, win=3 vs 2, recent_win=3 vs 2, draw=0, winner=blue, time=217/1194
6: reward=82.00 vs 6.80, reward_evade=2.00 vs 7.00, win=4 vs 2, recent_win=4 vs 2, draw=0, winner=red, time=313/1507
7: reward=83.32 vs 7.00, reward_evade=2.00 vs 7.00, win=5 vs 2, recent_win=5 vs 2, draw=0, winner=red, time=249/1756
8: reward=74.15 vs 8.00, reward_evade=2.00 vs 8.00, win=6 vs 2, recent_win=6 vs 2, draw=0, winner=red, time=442/2198
9: reward=1.30 vs 6.80, reward_evade=2.00 vs 7.00, win=6 vs 2, recent_win=6 vs 2, draw=1, winner=draw, time=275/2472
10: reward=0.90 vs 92.20, reward_evade=1.00 vs 2.00, win=6 vs 3, recent_win=6 vs 3, draw=1, winner=blue, time=144/2617
11: reward=0.90 vs 92.56, reward_evade=1.00 vs 2.00, win=6 vs 4, recent_win=6 vs 4, draw=1, winner=blue, time=139/2756
12: reward=87.33 vs 92.56, reward_evade=1.00 vs 2.00, win=7 vs 4, recent_win=7 vs 4, draw=1, winner=red, time=208/2964
13: reward=89.32 vs 0.80, reward_evade=2.00 vs 1.00, win=8 vs 4, recent_win=8 vs 4, draw=1, winner=red, time=188/3153
14: reward=77.71 vs 7.00, reward_evade=2.00 vs 7.00, win=9 vs 4, recent_win=9 vs 4, draw=1, winner=red, time=361/3513
15: reward=75.61 vs 7.00, reward_evade=2.00 vs 7.00, win=10 vs 4, recent_win=10 vs 4, draw=1, winner=red, time=409/3922
16: reward=85.13 vs 0.80, reward_evade=2.00 vs 1.00, win=11 vs 4, recent_win=11 vs 4, draw=1, winner=red, time=262/4183
17: reward=79.13 vs 6.80, reward_evade=2.00 vs 7.00, win=12 vs 4, recent_win=12 vs 4, draw=1, winner=red, time=374/4557
18: reward=1.40 vs 5.80, reward_evade=2.00 vs 6.00, win=12 vs 4, recent_win=12 vs 4, draw=2, winner=draw, time=276/4833
19: reward=83.99 vs 6.80, reward_evade=2.00 vs 7.00, win=13 vs 4, recent_win=13 vs 4, draw=2, winner=red, time=274/5106
20: reward=83.52 vs 7.80, reward_evade=2.00 vs 8.00, win=14 vs 4, recent_win=14 vs 4, draw=2, winner=red, time=281/5387
21: reward=-0.70 vs 7.00, reward_evade=2.00 vs 7.00, win=14 vs 4, recent_win=14 vs 4, draw=3, winner=draw, time=243/5630
22: reward=-0.70 vs 7.00, reward_evade=2.00 vs 7.00, win=14 vs 4, recent_win=14 vs 4, draw=4, winner=draw, time=259/5889
23: reward=89.05 vs 0.80, reward_evade=2.00 vs 1.00, win=15 vs 4, recent_win=15 vs 4, draw=4, winner=red, time=193/6082
24: reward=0.90 vs 87.71, reward_evade=1.00 vs 3.00, win=15 vs 5, recent_win=15 vs 5, draw=4, winner=blue, time=235/6316
25: reward=0.30 vs 6.90, reward_evade=1.00 vs 7.00, win=15 vs 5, recent_win=15 vs 5, draw=5, winner=draw, time=271/6587
26: reward=-0.10 vs 92.39, reward_evade=1.00 vs 1.00, win=15 vs 6, recent_win=15 vs 6, draw=5, winner=blue, time=128/6715
27: reward=0.30 vs 6.90, reward_evade=1.00 vs 7.00, win=15 vs 6, recent_win=15 vs 6, draw=6, winner=draw, time=258/6973
