1: reward=0.00 vs 95.31, reward_evade=0.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=86/86
2: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=76/162
3: reward=0.00 vs 97.27, reward_evade=0.00 vs 2.00, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=73/235
4: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 4, recent_win=0 vs 4, draw=0, winner=blue, time=75/311
5: reward=0.00 vs 93.75, reward_evade=0.00 vs 1.00, win=0 vs 5, recent_win=0 vs 5, draw=0, winner=blue, time=108/419
6: reward=0.00 vs 97.43, reward_evade=0.00 vs 2.00, win=0 vs 6, recent_win=0 vs 6, draw=0, winner=blue, time=71/490
7: reward=0.00 vs 94.60, reward_evade=0.00 vs 2.00, win=0 vs 7, recent_win=0 vs 7, draw=0, winner=blue, time=110/600
8: reward=0.00 vs 96.31, reward_evade=0.00 vs 2.00, win=0 vs 8, recent_win=0 vs 8, draw=0, winner=blue, time=86/686
9: reward=0.00 vs 97.27, reward_evade=0.00 vs 2.00, win=0 vs 9, recent_win=0 vs 9, draw=0, winner=blue, time=73/759
10: reward=0.00 vs 94.14, reward_evade=0.00 vs 2.00, win=0 vs 10, recent_win=0 vs 10, draw=0, winner=blue, time=117/876
11: reward=0.00 vs 93.37, reward_evade=0.00 vs 1.00, win=0 vs 11, recent_win=0 vs 11, draw=0, winner=blue, time=114/990
12: reward=0.00 vs 95.52, reward_evade=0.00 vs 2.00, win=0 vs 12, recent_win=0 vs 12, draw=0, winner=blue, time=97/1087
13: reward=0.00 vs 93.54, reward_evade=0.00 vs 2.00, win=0 vs 13, recent_win=0 vs 13, draw=0, winner=blue, time=126/1213
14: reward=0.00 vs 97.27, reward_evade=0.00 vs 2.00, win=0 vs 14, recent_win=0 vs 14, draw=0, winner=blue, time=73/1286
15: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 15, recent_win=0 vs 15, draw=0, winner=blue, time=77/1363
16: reward=0.00 vs 94.44, reward_evade=0.00 vs 1.00, win=0 vs 16, recent_win=0 vs 16, draw=0, winner=blue, time=98/1462
17: reward=0.00 vs 94.67, reward_evade=0.00 vs 2.00, win=0 vs 17, recent_win=0 vs 17, draw=0, winner=blue, time=109/1571
18: reward=0.00 vs 94.14, reward_evade=0.00 vs 2.00, win=0 vs 18, recent_win=0 vs 18, draw=0, winner=blue, time=117/1688
19: reward=0.00 vs 96.07, reward_evade=0.00 vs 2.00, win=0 vs 19, recent_win=0 vs 19, draw=0, winner=blue, time=89/1777
20: reward=0.00 vs 97.27, reward_evade=0.00 vs 2.00, win=0 vs 20, recent_win=0 vs 20, draw=0, winner=blue, time=73/1850
21: reward=0.00 vs 97.35, reward_evade=0.00 vs 2.00, win=0 vs 21, recent_win=0 vs 21, draw=0, winner=blue, time=72/1922
22: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 22, recent_win=0 vs 22, draw=0, winner=blue, time=75/1998
23: reward=0.00 vs 95.99, reward_evade=0.00 vs 2.00, win=0 vs 23, recent_win=0 vs 23, draw=0, winner=blue, time=91/2088
24: reward=0.00 vs 97.35, reward_evade=0.00 vs 2.00, win=0 vs 24, recent_win=0 vs 24, draw=0, winner=blue, time=72/2160
25: reward=0.00 vs 97.43, reward_evade=0.00 vs 2.00, win=0 vs 25, recent_win=0 vs 25, draw=0, winner=blue, time=71/2231
26: reward=0.00 vs 97.43, reward_evade=0.00 vs 2.00, win=0 vs 26, recent_win=0 vs 26, draw=0, winner=blue, time=71/2302
27: reward=0.00 vs 96.63, reward_evade=0.00 vs 2.00, win=0 vs 27, recent_win=0 vs 27, draw=0, winner=blue, time=82/2383
28: reward=0.00 vs 94.98, reward_evade=0.00 vs 2.00, win=0 vs 28, recent_win=0 vs 28, draw=0, winner=blue, time=105/2488
29: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 29, recent_win=0 vs 29, draw=0, winner=blue, time=76/2565
30: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 30, recent_win=0 vs 30, draw=0, winner=blue, time=74/2639
31: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 31, recent_win=0 vs 31, draw=0, winner=blue, time=75/2714
32: reward=0.00 vs 93.84, reward_evade=0.00 vs 2.00, win=0 vs 32, recent_win=0 vs 32, draw=0, winner=blue, time=121/2835
33: reward=0.00 vs 95.91, reward_evade=0.00 vs 2.00, win=0 vs 33, recent_win=0 vs 33, draw=0, winner=blue, time=92/2927
34: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 34, recent_win=0 vs 34, draw=0, winner=blue, time=74/3001
35: reward=0.00 vs 95.44, reward_evade=0.00 vs 2.00, win=0 vs 35, recent_win=0 vs 35, draw=0, winner=blue, time=98/3099
36: reward=0.00 vs 96.87, reward_evade=0.00 vs 2.00, win=0 vs 36, recent_win=0 vs 36, draw=0, winner=blue, time=78/3178
37: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 37, recent_win=0 vs 37, draw=0, winner=blue, time=74/3252
38: reward=0.00 vs 95.06, reward_evade=0.00 vs 2.00, win=0 vs 38, recent_win=0 vs 38, draw=0, winner=blue, time=104/3356
39: reward=0.00 vs 97.19, reward_evade=0.00 vs 2.00, win=0 vs 39, recent_win=0 vs 39, draw=0, winner=blue, time=74/3430
40: reward=0.00 vs 94.60, reward_evade=0.00 vs 2.00, win=0 vs 40, recent_win=0 vs 40, draw=0, winner=blue, time=110/3540
41: reward=0.00 vs 94.14, reward_evade=0.00 vs 2.00, win=0 vs 41, recent_win=0 vs 41, draw=0, winner=blue, time=117/3657
42: reward=0.00 vs 97.68, reward_evade=0.00 vs 2.00, win=0 vs 42, recent_win=0 vs 42, draw=0, winner=blue, time=68/3725
43: reward=0.00 vs 94.29, reward_evade=0.00 vs 2.00, win=0 vs 43, recent_win=0 vs 43, draw=0, winner=blue, time=115/3840
44: reward=0.00 vs 94.52, reward_evade=0.00 vs 2.00, win=0 vs 44, recent_win=0 vs 44, draw=0, winner=blue, time=111/3951
45: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 45, recent_win=0 vs 45, draw=0, winner=blue, time=76/4027
46: reward=0.00 vs 94.44, reward_evade=0.00 vs 1.00, win=0 vs 46, recent_win=0 vs 46, draw=0, winner=blue, time=98/4126
47: reward=0.00 vs 97.11, reward_evade=0.00 vs 2.00, win=0 vs 47, recent_win=0 vs 47, draw=0, winner=blue, time=75/4201
48: reward=0.00 vs 97.03, reward_evade=0.00 vs 2.00, win=0 vs 48, recent_win=0 vs 48, draw=0, winner=blue, time=76/4277
49: reward=0.00 vs 96.07, reward_evade=0.00 vs 2.00, win=0 vs 49, recent_win=0 vs 49, draw=0, winner=blue, time=89/4367
50: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 50, recent_win=0 vs 50, draw=0, winner=blue, time=77/4444
51: reward=0.00 vs 96.95, reward_evade=0.00 vs 2.00, win=0 vs 51, recent_win=0 vs 50, draw=0, winner=blue, time=77/4522
52: reward=0.00 vs 94.83, reward_evade=0.00 vs 2.00, win=0 vs 52, recent_win=0 vs 50, draw=0, winner=blue, time=107/4629
53: reward=0.00 vs 96.47, reward_evade=0.00 vs 2.00, win=0 vs 53, recent_win=0 vs 50, draw=0, winner=blue, time=84/4713
54: reward=0.00 vs 97.52, reward_evade=0.00 vs 2.00, win=0 vs 54, recent_win=0 vs 50, draw=0, winner=blue, time=70/4782
55: reward=0.00 vs 94.29, reward_evade=0.00 vs 2.00, win=0 vs 55, recent_win=0 vs 50, draw=0, winner=blue, time=115/4897
