1: reward=96.06 vs 0.00, reward_evade=6.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=0, winner=red, time=148/148
2: reward=3.90 vs 0.00, reward_evade=4.00 vs 0.00, win=1 vs 1, recent_win=1 vs 1, draw=0, winner=blue, time=165/313
3: reward=91.57 vs 0.00, reward_evade=6.00 vs 0.00, win=2 vs 1, recent_win=2 vs 1, draw=0, winner=red, time=218/531
4: reward=5.00 vs 0.00, reward_evade=5.00 vs 0.00, win=2 vs 2, recent_win=2 vs 2, draw=0, winner=blue, time=127/658
5: reward=7.00 vs 0.00, reward_evade=7.00 vs 0.00, win=2 vs 3, recent_win=2 vs 3, draw=0, winner=blue, time=151/809
6: reward=7.00 vs 0.00, reward_evade=7.00 vs 0.00, win=2 vs 4, recent_win=2 vs 4, draw=0, winner=blue, time=172/981
7: reward=94.82 vs 0.00, reward_evade=7.00 vs 0.00, win=3 vs 4, recent_win=3 vs 4, draw=0, winner=red, time=78/1059
8: reward=94.89 vs 0.00, reward_evade=7.00 vs 0.00, win=4 vs 4, recent_win=4 vs 4, draw=0, winner=red, time=77/1136
9: reward=94.92 vs 0.00, reward_evade=7.00 vs 0.00, win=5 vs 4, recent_win=5 vs 4, draw=0, winner=red, time=76/1212
10: reward=94.80 vs 0.00, reward_evade=7.00 vs 0.00, win=6 vs 4, recent_win=6 vs 4, draw=0, winner=red, time=78/1290
11: reward=95.03 vs 0.00, reward_evade=7.00 vs 0.00, win=7 vs 4, recent_win=7 vs 4, draw=0, winner=red, time=75/1365
12: reward=89.58 vs 0.00, reward_evade=7.00 vs 0.00, win=8 vs 4, recent_win=8 vs 4, draw=0, winner=red, time=149/1514
13: reward=89.87 vs 0.00, reward_evade=7.00 vs 0.00, win=9 vs 4, recent_win=9 vs 4, draw=0, winner=red, time=143/1658
14: reward=96.57 vs 0.00, reward_evade=7.00 vs 0.00, win=10 vs 4, recent_win=10 vs 4, draw=0, winner=red, time=56/1713
15: reward=94.88 vs 0.00, reward_evade=7.00 vs 0.00, win=11 vs 4, recent_win=11 vs 4, draw=0, winner=red, time=77/1790
16: reward=94.74 vs 0.00, reward_evade=7.00 vs 0.00, win=12 vs 4, recent_win=12 vs 4, draw=0, winner=red, time=79/1869
17: reward=91.56 vs 0.00, reward_evade=7.00 vs 0.00, win=13 vs 4, recent_win=13 vs 4, draw=0, winner=red, time=120/1989
18: reward=96.57 vs 0.00, reward_evade=7.00 vs 0.00, win=14 vs 4, recent_win=14 vs 4, draw=0, winner=red, time=56/2045
19: reward=92.13 vs 0.00, reward_evade=7.00 vs 0.00, win=15 vs 4, recent_win=15 vs 4, draw=0, winner=red, time=116/2160
20: reward=90.03 vs 0.00, reward_evade=7.00 vs 0.00, win=16 vs 4, recent_win=16 vs 4, draw=0, winner=red, time=141/2301
21: reward=92.08 vs 0.00, reward_evade=7.00 vs 0.00, win=17 vs 4, recent_win=17 vs 4, draw=0, winner=red, time=116/2418
22: reward=95.02 vs 0.00, reward_evade=7.00 vs 0.00, win=18 vs 4, recent_win=18 vs 4, draw=0, winner=red, time=75/2493
23: reward=94.40 vs 0.00, reward_evade=7.00 vs 0.00, win=19 vs 4, recent_win=19 vs 4, draw=0, winner=red, time=84/2577
24: reward=89.82 vs 0.00, reward_evade=7.00 vs 0.00, win=20 vs 4, recent_win=20 vs 4, draw=0, winner=red, time=144/2721
25: reward=94.78 vs 0.00, reward_evade=7.00 vs 0.00, win=21 vs 4, recent_win=21 vs 4, draw=0, winner=red, time=78/2799
26: reward=94.89 vs 0.00, reward_evade=7.00 vs 0.00, win=22 vs 4, recent_win=22 vs 4, draw=0, winner=red, time=77/2876
27: reward=89.53 vs 0.00, reward_evade=7.00 vs 0.00, win=23 vs 4, recent_win=23 vs 4, draw=0, winner=red, time=150/3026
28: reward=94.97 vs 0.00, reward_evade=7.00 vs 0.00, win=24 vs 4, recent_win=24 vs 4, draw=0, winner=red, time=76/3102
29: reward=94.81 vs 0.00, reward_evade=7.00 vs 0.00, win=25 vs 4, recent_win=25 vs 4, draw=0, winner=red, time=78/3180
30: reward=92.06 vs 0.00, reward_evade=7.00 vs 0.00, win=26 vs 4, recent_win=26 vs 4, draw=0, winner=red, time=117/3297
31: reward=94.17 vs 0.00, reward_evade=7.00 vs 0.00, win=27 vs 4, recent_win=27 vs 4, draw=0, winner=red, time=87/3383
32: reward=94.91 vs 0.00, reward_evade=7.00 vs 0.00, win=28 vs 4, recent_win=28 vs 4, draw=0, winner=red, time=77/3460
33: reward=94.53 vs 0.00, reward_evade=7.00 vs 0.00, win=29 vs 4, recent_win=29 vs 4, draw=0, winner=red, time=82/3542
34: reward=94.95 vs 0.00, reward_evade=7.00 vs 0.00, win=30 vs 4, recent_win=30 vs 4, draw=0, winner=red, time=76/3618
35: reward=88.19 vs 0.00, reward_evade=7.00 vs 0.00, win=31 vs 4, recent_win=31 vs 4, draw=0, winner=red, time=170/3787
36: reward=95.00 vs 0.00, reward_evade=7.00 vs 0.00, win=32 vs 4, recent_win=32 vs 4, draw=0, winner=red, time=75/3863
37: reward=88.26 vs 0.00, reward_evade=7.00 vs 0.00, win=33 vs 4, recent_win=33 vs 4, draw=0, winner=red, time=168/4031
38: reward=90.75 vs 0.00, reward_evade=7.00 vs 0.00, win=34 vs 4, recent_win=34 vs 4, draw=0, winner=red, time=132/4163
