1: reward=98.11 vs -0.30, reward_evade=3.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=0, winner=red, time=75/75
2: reward=98.11 vs 1.00, reward_evade=3.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=1, winner=draw, time=34/109
3: reward=3.80 vs 94.12, reward_evade=4.00 vs 2.00, win=1 vs 1, recent_win=1 vs 1, draw=1, winner=blue, time=111/221
4: reward=3.80 vs 1.00, reward_evade=4.00 vs 2.00, win=1 vs 1, recent_win=1 vs 1, draw=2, winner=draw, time=49/270
5: reward=3.80 vs 1.00, reward_evade=4.00 vs 2.00, win=1 vs 1, recent_win=1 vs 1, draw=3, winner=draw, time=33/303
6: reward=3.80 vs 1.00, reward_evade=4.00 vs 2.00, win=1 vs 1, recent_win=1 vs 1, draw=4, winner=draw, time=39/342
7: reward=3.80 vs 1.00, reward_evade=4.00 vs 2.00, win=1 vs 1, recent_win=1 vs 1, draw=5, winner=draw, time=60/403
8: reward=3.80 vs 91.37, reward_evade=4.00 vs 2.00, win=1 vs 2, recent_win=1 vs 2, draw=5, winner=blue, time=151/554
9: reward=3.80 vs 99.15, reward_evade=4.00 vs 1.00, win=1 vs 3, recent_win=1 vs 3, draw=5, winner=blue, time=35/589
10: reward=3.80 vs 99.15, reward_evade=4.00 vs 1.00, win=1 vs 3, recent_win=1 vs 3, draw=6, winner=draw, time=47/636
11: reward=3.80 vs 99.15, reward_evade=4.00 vs 1.00, win=1 vs 3, recent_win=1 vs 3, draw=7, winner=draw, time=29/665
12: reward=3.80 vs 99.15, reward_evade=4.00 vs 1.00, win=1 vs 3, recent_win=1 vs 3, draw=8, winner=draw, time=17/683
13: reward=3.80 vs 99.15, reward_evade=4.00 vs 1.00, win=1 vs 3, recent_win=1 vs 3, draw=9, winner=draw, time=42/725
14: reward=93.74 vs 3.90, reward_evade=2.00 vs 4.00, win=2 vs 3, recent_win=2 vs 3, draw=9, winner=red, time=117/842
15: reward=93.74 vs 1.00, reward_evade=2.00 vs 4.00, win=2 vs 3, recent_win=2 vs 3, draw=10, winner=draw, time=36/878
16: reward=93.74 vs 1.00, reward_evade=2.00 vs 4.00, win=2 vs 3, recent_win=2 vs 3, draw=11, winner=draw, time=58/936
17: reward=93.74 vs 99.15, reward_evade=2.00 vs 1.00, win=2 vs 4, recent_win=2 vs 4, draw=11, winner=blue, time=35/971
18: reward=97.43 vs 99.15, reward_evade=2.00 vs 1.00, win=3 vs 4, recent_win=3 vs 4, draw=11, winner=red, time=71/1042
19: reward=97.43 vs 99.15, reward_evade=2.00 vs 1.00, win=3 vs 4, recent_win=3 vs 4, draw=12, winner=draw, time=15/1057
20: reward=99.15 vs 99.15, reward_evade=1.00 vs 1.00, win=4 vs 4, recent_win=4 vs 4, draw=12, winner=red, time=35/1092
21: reward=1.00 vs 99.15, reward_evade=1.00 vs 1.00, win=4 vs 4, recent_win=4 vs 4, draw=13, winner=draw, time=28/1121
22: reward=1.00 vs 98.05, reward_evade=1.00 vs 1.00, win=4 vs 5, recent_win=4 vs 5, draw=13, winner=blue, time=35/1156
23: reward=1.00 vs 98.05, reward_evade=1.00 vs 1.00, win=4 vs 5, recent_win=4 vs 5, draw=14, winner=draw, time=42/1198
24: reward=1.00 vs 98.05, reward_evade=1.00 vs 1.00, win=4 vs 5, recent_win=4 vs 5, draw=15, winner=draw, time=45/1243
25: reward=3.60 vs 93.73, reward_evade=4.00 vs 6.00, win=4 vs 6, recent_win=4 vs 6, draw=15, winner=blue, time=179/1422
26: reward=3.60 vs 1.00, reward_evade=4.00 vs 6.00, win=4 vs 6, recent_win=4 vs 6, draw=16, winner=draw, time=49/1471
27: reward=93.82 vs 2.90, reward_evade=2.00 vs 3.00, win=5 vs 6, recent_win=5 vs 6, draw=16, winner=red, time=116/1587
28: reward=93.82 vs 98.76, reward_evade=2.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=16, winner=blue, time=40/1627
29: reward=93.82 vs 98.76, reward_evade=2.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=17, winner=draw, time=41/1668
30: reward=93.82 vs 98.76, reward_evade=2.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=18, winner=draw, time=46/1715
31: reward=1.00 vs 98.76, reward_evade=2.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=19, winner=draw, time=39/1754
32: reward=1.00 vs 97.03, reward_evade=2.00 vs 2.00, win=5 vs 8, recent_win=5 vs 8, draw=19, winner=blue, time=76/1830
33: reward=1.00 vs 97.03, reward_evade=2.00 vs 2.00, win=5 vs 8, recent_win=5 vs 8, draw=20, winner=draw, time=47/1877
34: reward=4.00 vs 93.99, reward_evade=4.00 vs 2.00, win=5 vs 9, recent_win=5 vs 9, draw=20, winner=blue, time=85/1962
35: reward=4.00 vs 93.99, reward_evade=4.00 vs 2.00, win=5 vs 9, recent_win=5 vs 9, draw=21, winner=draw, time=23/1986
36: reward=4.00 vs 98.99, reward_evade=4.00 vs 1.00, win=5 vs 10, recent_win=5 vs 10, draw=21, winner=blue, time=37/2023
37: reward=4.00 vs 97.76, reward_evade=4.00 vs 1.00, win=5 vs 11, recent_win=5 vs 11, draw=21, winner=blue, time=53/2076
