1: reward=0.00 vs 97.38, reward_evade=0.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=58/58
2: reward=0.00 vs 97.15, reward_evade=0.00 vs 1.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=61/119
3: reward=3.90 vs 88.79, reward_evade=4.00 vs 2.00, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=194/313
4: reward=1.80 vs 94.79, reward_evade=2.00 vs 3.00, win=0 vs 4, recent_win=0 vs 4, draw=0, winner=blue, time=119/433
5: reward=92.40 vs 3.80, reward_evade=3.00 vs 4.00, win=1 vs 4, recent_win=1 vs 4, draw=0, winner=red, time=152/585
6: reward=92.40 vs 97.38, reward_evade=3.00 vs 1.00, win=1 vs 5, recent_win=1 vs 5, draw=0, winner=blue, time=58/643
7: reward=3.80 vs 92.68, reward_evade=4.00 vs 3.00, win=1 vs 6, recent_win=1 vs 6, draw=0, winner=blue, time=148/791
8: reward=91.97 vs 3.90, reward_evade=2.00 vs 4.00, win=2 vs 6, recent_win=2 vs 6, draw=0, winner=red, time=143/934
9: reward=91.97 vs 93.83, reward_evade=2.00 vs 1.00, win=2 vs 7, recent_win=2 vs 7, draw=0, winner=blue, time=107/1041
10: reward=1.50 vs 3.90, reward_evade=1.00 vs 4.00, win=2 vs 7, recent_win=2 vs 7, draw=1, winner=draw, time=130/1171
11: reward=93.42 vs 0.80, reward_evade=3.00 vs 1.00, win=3 vs 7, recent_win=3 vs 7, draw=1, winner=red, time=141/1313
12: reward=94.24 vs 1.80, reward_evade=4.00 vs 2.00, win=4 vs 7, recent_win=4 vs 7, draw=1, winner=red, time=142/1455
13: reward=97.38 vs 1.80, reward_evade=1.00 vs 2.00, win=5 vs 7, recent_win=5 vs 7, draw=1, winner=red, time=58/1513
14: reward=91.11 vs 3.80, reward_evade=2.00 vs 4.00, win=6 vs 7, recent_win=6 vs 7, draw=1, winner=red, time=157/1670
15: reward=94.76 vs 3.80, reward_evade=1.00 vs 4.00, win=7 vs 7, recent_win=7 vs 7, draw=1, winner=red, time=94/1764
16: reward=93.98 vs 3.80, reward_evade=1.00 vs 4.00, win=8 vs 7, recent_win=8 vs 7, draw=1, winner=red, time=105/1869
17: reward=0.90 vs 93.42, reward_evade=1.00 vs 3.00, win=8 vs 8, recent_win=8 vs 8, draw=1, winner=blue, time=141/2010
18: reward=3.80 vs 90.25, reward_evade=4.00 vs 3.00, win=8 vs 9, recent_win=8 vs 9, draw=1, winner=blue, time=186/2196
19: reward=93.83 vs 90.25, reward_evade=1.00 vs 3.00, win=9 vs 9, recent_win=9 vs 9, draw=1, winner=red, time=107/2303
20: reward=92.12 vs 3.90, reward_evade=2.00 vs 4.00, win=10 vs 9, recent_win=10 vs 9, draw=1, winner=red, time=141/2444
21: reward=91.63 vs 4.70, reward_evade=4.00 vs 5.00, win=11 vs 9, recent_win=11 vs 9, draw=1, winner=red, time=179/2623
22: reward=96.05 vs 0.90, reward_evade=2.00 vs 1.00, win=12 vs 9, recent_win=12 vs 9, draw=1, winner=red, time=88/2711
23: reward=4.70 vs 88.94, reward_evade=5.00 vs 4.00, win=12 vs 10, recent_win=12 vs 10, draw=1, winner=blue, time=224/2935
24: reward=91.15 vs 88.94, reward_evade=1.00 vs 4.00, win=13 vs 10, recent_win=13 vs 10, draw=1, winner=red, time=147/3082
25: reward=4.70 vs 2.60, reward_evade=4.00 vs 3.00, win=13 vs 10, recent_win=13 vs 10, draw=2, winner=draw, time=144/3226
26: reward=0.90 vs 95.89, reward_evade=1.00 vs 2.00, win=13 vs 11, recent_win=13 vs 11, draw=2, winner=blue, time=91/3317
27: reward=0.90 vs 92.71, reward_evade=1.00 vs 2.00, win=13 vs 12, recent_win=13 vs 12, draw=2, winner=blue, time=137/3454
28: reward=4.70 vs 89.58, reward_evade=5.00 vs 4.00, win=13 vs 13, recent_win=13 vs 13, draw=2, winner=blue, time=213/3666
29: reward=3.80 vs 2.50, reward_evade=4.00 vs 2.00, win=13 vs 13, recent_win=13 vs 13, draw=3, winner=draw, time=152/3819
30: reward=3.80 vs 90.29, reward_evade=4.00 vs 3.00, win=13 vs 14, recent_win=13 vs 14, draw=3, winner=blue, time=184/4003
31: reward=4.80 vs 90.35, reward_evade=5.00 vs 2.00, win=13 vs 15, recent_win=13 vs 15, draw=3, winner=blue, time=165/4168
32: reward=92.26 vs 3.80, reward_evade=2.00 vs 4.00, win=14 vs 15, recent_win=14 vs 15, draw=3, winner=red, time=139/4307
33: reward=91.45 vs 3.80, reward_evade=3.00 vs 4.00, win=15 vs 15, recent_win=15 vs 15, draw=3, winner=red, time=165/4472
34: reward=89.15 vs 3.80, reward_evade=2.00 vs 4.00, win=16 vs 15, recent_win=16 vs 15, draw=3, winner=red, time=186/4659
35: reward=3.80 vs 90.05, reward_evade=4.00 vs 3.00, win=16 vs 16, recent_win=16 vs 16, draw=3, winner=blue, time=190/4848
36: reward=2.70 vs 3.70, reward_evade=3.00 vs 3.00, win=16 vs 16, recent_win=16 vs 16, draw=4, winner=draw, time=152/5001
37: reward=91.11 vs 3.80, reward_evade=3.00 vs 4.00, win=17 vs 16, recent_win=17 vs 16, draw=4, winner=red, time=171/5171
38: reward=1.80 vs 2.80, reward_evade=2.00 vs 2.00, win=17 vs 16, recent_win=17 vs 16, draw=5, winner=draw, time=113/5284
39: reward=96.05 vs 0.90, reward_evade=2.00 vs 1.00, win=18 vs 16, recent_win=18 vs 16, draw=5, winner=red, time=88/5372
40: reward=95.66 vs 0.90, reward_evade=2.00 vs 1.00, win=19 vs 16, recent_win=19 vs 16, draw=5, winner=red, time=94/5466
41: reward=91.66 vs 3.80, reward_evade=3.00 vs 4.00, win=20 vs 16, recent_win=20 vs 16, draw=5, winner=red, time=162/5628
42: reward=92.29 vs 3.90, reward_evade=1.00 vs 4.00, win=21 vs 16, recent_win=21 vs 16, draw=5, winner=red, time=124/5752
43: reward=3.90 vs 91.85, reward_evade=4.00 vs 1.00, win=21 vs 17, recent_win=21 vs 17, draw=5, winner=blue, time=130/5882
44: reward=3.90 vs 92.29, reward_evade=4.00 vs 1.00, win=21 vs 18, recent_win=21 vs 18, draw=5, winner=blue, time=124/6006
45: reward=92.90 vs 2.70, reward_evade=5.00 vs 3.00, win=22 vs 18, recent_win=22 vs 18, draw=5, winner=red, time=177/6183
46: reward=1.80 vs 94.97, reward_evade=2.00 vs 4.00, win=22 vs 19, recent_win=22 vs 19, draw=5, winner=blue, time=131/6315
47: reward=2.90 vs 93.14, reward_evade=3.00 vs 1.00, win=22 vs 20, recent_win=22 vs 20, draw=5, winner=blue, time=113/6427
48: reward=95.27 vs 0.90, reward_evade=3.00 vs 1.00, win=23 vs 20, recent_win=23 vs 20, draw=5, winner=red, time=114/6541
