1: reward=0.00 vs 0.00, reward_evade=0.00 vs 0.00, win=0 vs 0, recent_win=0 vs 0, draw=1, winner=draw, time=61/61
2: reward=0.00 vs 0.00, reward_evade=0.00 vs 0.00, win=0 vs 0, recent_win=0 vs 0, draw=2, winner=draw, time=16/77
3: reward=0.00 vs 97.15, reward_evade=0.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=2, winner=blue, time=61/139
4: reward=1.90 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=3, winner=draw, time=63/202
5: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=4, winner=draw, time=57/259
6: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=5, winner=draw, time=40/299
7: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=6, winner=draw, time=48/347
8: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=7, winner=draw, time=53/401
9: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=8, winner=draw, time=36/437
10: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=9, winner=draw, time=97/534
11: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=10, winner=draw, time=44/578
12: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=11, winner=draw, time=34/612
13: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=12, winner=draw, time=48/661
14: reward=96.95 vs 1.00, reward_evade=2.00 vs 1.00, win=1 vs 1, recent_win=1 vs 1, draw=12, winner=red, time=77/738
15: reward=92.09 vs 3.90, reward_evade=2.00 vs 4.00, win=2 vs 1, recent_win=2 vs 1, draw=12, winner=red, time=140/878
16: reward=92.09 vs 3.90, reward_evade=2.00 vs 4.00, win=2 vs 1, recent_win=2 vs 1, draw=13, winner=draw, time=49/927
17: reward=92.09 vs 97.51, reward_evade=2.00 vs 1.00, win=2 vs 2, recent_win=2 vs 2, draw=13, winner=blue, time=55/983
18: reward=92.09 vs 99.34, reward_evade=2.00 vs 1.00, win=2 vs 3, recent_win=2 vs 3, draw=13, winner=blue, time=20/1003
19: reward=92.09 vs 99.34, reward_evade=2.00 vs 1.00, win=2 vs 3, recent_win=2 vs 3, draw=14, winner=draw, time=52/1055
20: reward=1.00 vs 99.34, reward_evade=2.00 vs 1.00, win=2 vs 3, recent_win=2 vs 3, draw=15, winner=draw, time=95/1150
21: reward=1.00 vs 99.34, reward_evade=2.00 vs 1.00, win=2 vs 3, recent_win=2 vs 3, draw=16, winner=draw, time=62/1212
22: reward=98.39 vs 99.34, reward_evade=2.00 vs 1.00, win=3 vs 3, recent_win=3 vs 3, draw=16, winner=red, time=32/1244
23: reward=98.39 vs 99.34, reward_evade=2.00 vs 1.00, win=3 vs 3, recent_win=3 vs 3, draw=17, winner=draw, time=51/1296
24: reward=1.00 vs 99.34, reward_evade=2.00 vs 1.00, win=3 vs 3, recent_win=3 vs 3, draw=18, winner=draw, time=48/1344
25: reward=0.60 vs 3.90, reward_evade=1.00 vs 4.00, win=3 vs 3, recent_win=3 vs 3, draw=19, winner=draw, time=104/1448
26: reward=0.60 vs 98.99, reward_evade=1.00 vs 1.00, win=3 vs 4, recent_win=3 vs 4, draw=19, winner=blue, time=37/1485
27: reward=0.60 vs 1.00, reward_evade=1.00 vs 1.00, win=3 vs 4, recent_win=3 vs 4, draw=20, winner=draw, time=38/1523
