1: reward=99.15 vs 0.00, reward_evade=1.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=0, winner=red, time=35/35
2: reward=99.15 vs 0.00, reward_evade=1.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=1, winner=draw, time=57/92
3: reward=99.15 vs 0.00, reward_evade=1.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=2, winner=draw, time=46/139
4: reward=99.15 vs 0.00, reward_evade=1.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=3, winner=draw, time=46/185
5: reward=99.15 vs 0.00, reward_evade=1.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=4, winner=draw, time=41/226
6: reward=99.15 vs 0.00, reward_evade=1.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=5, winner=draw, time=50/276
7: reward=99.15 vs 0.00, reward_evade=1.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=6, winner=draw, time=54/330
8: reward=99.15 vs 96.30, reward_evade=1.00 vs 0.00, win=1 vs 1, recent_win=1 vs 1, draw=6, winner=blue, time=59/390
9: reward=99.15 vs 97.93, reward_evade=1.00 vs 2.00, win=1 vs 2, recent_win=1 vs 2, draw=6, winner=blue, time=64/454
10: reward=99.15 vs 1.00, reward_evade=1.00 vs 2.00, win=1 vs 2, recent_win=1 vs 2, draw=7, winner=draw, time=29/483
11: reward=2.00 vs 95.99, reward_evade=2.00 vs 1.00, win=1 vs 3, recent_win=1 vs 3, draw=7, winner=blue, time=74/557
12: reward=2.00 vs 95.99, reward_evade=2.00 vs 1.00, win=1 vs 3, recent_win=1 vs 3, draw=8, winner=draw, time=52/609
13: reward=2.00 vs 95.99, reward_evade=2.00 vs 1.00, win=1 vs 3, recent_win=1 vs 3, draw=9, winner=draw, time=17/627
14: reward=99.34 vs 95.99, reward_evade=2.00 vs 1.00, win=2 vs 3, recent_win=2 vs 3, draw=9, winner=red, time=20/647
15: reward=99.34 vs 98.05, reward_evade=2.00 vs 1.00, win=2 vs 4, recent_win=2 vs 4, draw=9, winner=blue, time=35/682
16: reward=92.37 vs 3.90, reward_evade=1.00 vs 4.00, win=3 vs 4, recent_win=3 vs 4, draw=9, winner=red, time=122/804
17: reward=3.90 vs 93.52, reward_evade=4.00 vs 2.00, win=3 vs 5, recent_win=3 vs 5, draw=9, winner=blue, time=120/925
18: reward=3.90 vs 93.52, reward_evade=4.00 vs 2.00, win=3 vs 5, recent_win=3 vs 5, draw=10, winner=draw, time=31/956
19: reward=3.90 vs 91.01, reward_evade=4.00 vs 1.00, win=3 vs 6, recent_win=3 vs 6, draw=10, winner=blue, time=149/1105
20: reward=1.00 vs 91.01, reward_evade=4.00 vs 1.00, win=3 vs 6, recent_win=3 vs 6, draw=11, winner=draw, time=27/1132
21: reward=1.00 vs 91.01, reward_evade=4.00 vs 1.00, win=3 vs 6, recent_win=3 vs 6, draw=12, winner=draw, time=94/1226
22: reward=1.00 vs 91.01, reward_evade=4.00 vs 1.00, win=3 vs 6, recent_win=3 vs 6, draw=13, winner=draw, time=24/1250
23: reward=98.14 vs 91.01, reward_evade=1.00 vs 1.00, win=4 vs 6, recent_win=4 vs 6, draw=13, winner=red, time=48/1298
24: reward=98.14 vs 1.00, reward_evade=1.00 vs 1.00, win=4 vs 6, recent_win=4 vs 6, draw=14, winner=draw, time=44/1342
25: reward=98.14 vs 99.43, reward_evade=1.00 vs 1.00, win=4 vs 7, recent_win=4 vs 7, draw=14, winner=blue, time=19/1362
26: reward=1.00 vs 99.43, reward_evade=1.00 vs 1.00, win=4 vs 7, recent_win=4 vs 7, draw=15, winner=draw, time=61/1423
27: reward=97.15 vs 99.43, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=15, winner=red, time=61/1484
28: reward=97.15 vs 99.43, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=16, winner=draw, time=52/1536
29: reward=97.15 vs 99.43, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=17, winner=draw, time=27/1563
30: reward=97.15 vs 99.43, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=18, winner=draw, time=46/1610
31: reward=1.00 vs 99.43, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=19, winner=draw, time=25/1635
32: reward=0.90 vs 1.90, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=20, winner=draw, time=85/1720
33: reward=0.90 vs 1.90, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=21, winner=draw, time=46/1766
34: reward=0.90 vs 1.90, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=22, winner=draw, time=50/1816
35: reward=0.90 vs 1.90, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=23, winner=draw, time=18/1835
36: reward=0.90 vs 1.90, reward_evade=1.00 vs 1.00, win=5 vs 7, recent_win=5 vs 7, draw=24, winner=draw, time=20/1855
37: reward=0.90 vs 96.50, reward_evade=1.00 vs 3.00, win=5 vs 8, recent_win=5 vs 8, draw=24, winner=blue, time=96/1951
38: reward=0.90 vs 96.50, reward_evade=1.00 vs 3.00, win=5 vs 8, recent_win=5 vs 8, draw=25, winner=draw, time=46/1997
39: reward=98.84 vs 96.50, reward_evade=1.00 vs 3.00, win=6 vs 8, recent_win=6 vs 8, draw=25, winner=red, time=39/2036
40: reward=1.00 vs 96.50, reward_evade=1.00 vs 3.00, win=6 vs 8, recent_win=6 vs 8, draw=26, winner=draw, time=52/2088
41: reward=94.00 vs 2.70, reward_evade=5.00 vs 3.00, win=7 vs 8, recent_win=7 vs 8, draw=26, winner=red, time=160/2248
42: reward=94.00 vs 2.70, reward_evade=5.00 vs 3.00, win=7 vs 8, recent_win=7 vs 8, draw=27, winner=draw, time=47/2296
43: reward=94.00 vs 2.70, reward_evade=5.00 vs 3.00, win=7 vs 8, recent_win=7 vs 8, draw=28, winner=draw, time=21/2317
44: reward=94.00 vs 2.70, reward_evade=5.00 vs 3.00, win=7 vs 8, recent_win=7 vs 8, draw=29, winner=draw, time=14/2331
45: reward=94.00 vs 1.00, reward_evade=5.00 vs 3.00, win=7 vs 8, recent_win=7 vs 8, draw=30, winner=draw, time=37/2368
46: reward=94.00 vs 1.00, reward_evade=5.00 vs 3.00, win=7 vs 8, recent_win=7 vs 8, draw=31, winner=draw, time=57/2425
47: reward=94.00 vs 1.00, reward_evade=5.00 vs 3.00, win=7 vs 8, recent_win=7 vs 8, draw=32, winner=draw, time=28/2453
48: reward=96.71 vs 1.00, reward_evade=2.00 vs 3.00, win=8 vs 8, recent_win=8 vs 8, draw=32, winner=red, time=81/2534
49: reward=96.71 vs 1.00, reward_evade=2.00 vs 3.00, win=8 vs 8, recent_win=8 vs 8, draw=33, winner=draw, time=38/2572
50: reward=96.71 vs 1.00, reward_evade=2.00 vs 3.00, win=8 vs 8, recent_win=8 vs 8, draw=34, winner=draw, time=44/2616
51: reward=96.71 vs 98.99, reward_evade=2.00 vs 1.00, win=8 vs 9, recent_win=7 vs 9, draw=34, winner=blue, time=37/2654
52: reward=96.71 vs 98.99, reward_evade=2.00 vs 1.00, win=8 vs 9, recent_win=7 vs 9, draw=35, winner=draw, time=52/2706
53: reward=96.71 vs 98.92, reward_evade=2.00 vs 1.00, win=8 vs 10, recent_win=7 vs 10, draw=35, winner=blue, time=38/2744
54: reward=96.71 vs 98.92, reward_evade=2.00 vs 1.00, win=8 vs 10, recent_win=7 vs 10, draw=36, winner=draw, time=52/2796
55: reward=99.15 vs 98.92, reward_evade=1.00 vs 1.00, win=9 vs 10, recent_win=8 vs 10, draw=36, winner=red, time=35/2831
56: reward=4.00 vs 93.66, reward_evade=4.00 vs 1.00, win=9 vs 11, recent_win=8 vs 11, draw=36, winner=blue, time=104/2935
57: reward=4.00 vs 99.15, reward_evade=4.00 vs 1.00, win=9 vs 12, recent_win=8 vs 12, draw=36, winner=blue, time=35/2970
58: reward=4.00 vs 98.83, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=8 vs 12, draw=36, winner=blue, time=52/3023
59: reward=4.00 vs 98.83, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=8 vs 11, draw=37, winner=draw, time=50/3073
60: reward=4.00 vs 98.83, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=8 vs 11, draw=38, winner=draw, time=49/3122
61: reward=4.00 vs 98.83, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=8 vs 10, draw=39, winner=draw, time=15/3137
62: reward=4.00 vs 1.00, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=8 vs 10, draw=40, winner=draw, time=27/3164
63: reward=1.00 vs 1.00, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=8 vs 10, draw=41, winner=draw, time=24/3189
64: reward=1.00 vs 1.00, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=7 vs 10, draw=42, winner=draw, time=49/3238
65: reward=1.00 vs 1.00, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=7 vs 9, draw=43, winner=draw, time=52/3290
66: reward=1.00 vs 1.00, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=6 vs 9, draw=44, winner=draw, time=37/3327
67: reward=1.00 vs 1.00, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=6 vs 8, draw=45, winner=draw, time=62/3389
68: reward=1.00 vs 1.00, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=6 vs 8, draw=46, winner=draw, time=25/3415
69: reward=1.00 vs 1.00, reward_evade=4.00 vs 2.00, win=9 vs 13, recent_win=6 vs 7, draw=47, winner=draw, time=34/3449
70: reward=98.76 vs 1.00, reward_evade=1.00 vs 2.00, win=10 vs 13, recent_win=7 vs 7, draw=47, winner=red, time=40/3489
71: reward=98.76 vs 1.00, reward_evade=1.00 vs 2.00, win=10 vs 13, recent_win=7 vs 7, draw=48, winner=draw, time=25/3514
72: reward=98.76 vs 1.00, reward_evade=1.00 vs 2.00, win=10 vs 13, recent_win=7 vs 7, draw=49, winner=draw, time=49/3563
73: reward=98.76 vs 98.29, reward_evade=1.00 vs 1.00, win=10 vs 14, recent_win=6 vs 8, draw=49, winner=blue, time=46/3610
74: reward=99.15 vs 98.29, reward_evade=1.00 vs 1.00, win=11 vs 14, recent_win=7 vs 8, draw=49, winner=red, time=35/3645
75: reward=99.15 vs 98.29, reward_evade=1.00 vs 1.00, win=11 vs 14, recent_win=7 vs 7, draw=50, winner=draw, time=50/3695
76: reward=99.15 vs 99.15, reward_evade=1.00 vs 1.00, win=11 vs 15, recent_win=7 vs 8, draw=50, winner=blue, time=35/3730
77: reward=99.15 vs 99.15, reward_evade=1.00 vs 1.00, win=11 vs 15, recent_win=6 vs 8, draw=51, winner=draw, time=36/3766
78: reward=99.15 vs 99.15, reward_evade=1.00 vs 1.00, win=11 vs 15, recent_win=6 vs 8, draw=52, winner=draw, time=53/3820
79: reward=99.34 vs 99.15, reward_evade=1.00 vs 1.00, win=12 vs 15, recent_win=7 vs 8, draw=52, winner=red, time=20/3840
80: reward=99.34 vs 99.15, reward_evade=1.00 vs 1.00, win=12 vs 15, recent_win=7 vs 8, draw=53, winner=draw, time=49/3889
81: reward=99.34 vs 99.15, reward_evade=1.00 vs 1.00, win=12 vs 15, recent_win=7 vs 8, draw=54, winner=draw, time=54/3943
82: reward=99.34 vs 99.15, reward_evade=1.00 vs 1.00, win=12 vs 15, recent_win=7 vs 8, draw=55, winner=draw, time=45/3988
83: reward=98.53 vs 99.15, reward_evade=2.00 vs 1.00, win=13 vs 15, recent_win=8 vs 8, draw=55, winner=red, time=56/4045
84: reward=98.53 vs 99.15, reward_evade=2.00 vs 1.00, win=13 vs 15, recent_win=8 vs 8, draw=56, winner=draw, time=38/4083
85: reward=98.53 vs 99.15, reward_evade=2.00 vs 1.00, win=13 vs 15, recent_win=8 vs 8, draw=57, winner=draw, time=32/4115
86: reward=1.80 vs 95.42, reward_evade=2.00 vs 4.00, win=13 vs 16, recent_win=8 vs 9, draw=57, winner=blue, time=125/4240
87: reward=2.90 vs 95.14, reward_evade=3.00 vs 2.00, win=13 vs 17, recent_win=8 vs 9, draw=57, winner=blue, time=98/4338
88: reward=98.84 vs 95.14, reward_evade=1.00 vs 2.00, win=14 vs 17, recent_win=9 vs 9, draw=57, winner=red, time=39/4377
89: reward=98.84 vs 1.00, reward_evade=1.00 vs 2.00, win=14 vs 17, recent_win=8 vs 9, draw=58, winner=draw, time=43/4420
90: reward=92.60 vs 4.80, reward_evade=2.00 vs 5.00, win=15 vs 17, recent_win=9 vs 9, draw=58, winner=red, time=132/4553
91: reward=92.60 vs 1.00, reward_evade=2.00 vs 5.00, win=15 vs 17, recent_win=8 vs 9, draw=59, winner=draw, time=36/4589
92: reward=92.60 vs 99.10, reward_evade=2.00 vs 5.00, win=15 vs 18, recent_win=8 vs 10, draw=59, winner=blue, time=23/4612
93: reward=1.00 vs 99.10, reward_evade=2.00 vs 5.00, win=15 vs 18, recent_win=8 vs 10, draw=60, winner=draw, time=51/4663
94: reward=1.00 vs 99.10, reward_evade=2.00 vs 5.00, win=15 vs 18, recent_win=8 vs 10, draw=61, winner=draw, time=56/4720
95: reward=1.00 vs 99.10, reward_evade=2.00 vs 5.00, win=15 vs 18, recent_win=8 vs 10, draw=62, winner=draw, time=61/4781
96: reward=0.90 vs 1.90, reward_evade=1.00 vs 1.00, win=15 vs 18, recent_win=8 vs 10, draw=63, winner=draw, time=65/4846
97: reward=0.90 vs 1.90, reward_evade=1.00 vs 1.00, win=15 vs 18, recent_win=8 vs 10, draw=64, winner=draw, time=20/4866
98: reward=0.90 vs 97.83, reward_evade=1.00 vs 1.00, win=15 vs 19, recent_win=7 vs 11, draw=64, winner=blue, time=52/4918
99: reward=99.15 vs 97.83, reward_evade=1.00 vs 1.00, win=16 vs 19, recent_win=8 vs 11, draw=64, winner=red, time=35/4954
100: reward=99.15 vs 1.00, reward_evade=1.00 vs 1.00, win=16 vs 19, recent_win=8 vs 11, draw=65, winner=draw, time=36/4990
101: reward=99.15 vs 1.00, reward_evade=1.00 vs 1.00, win=16 vs 19, recent_win=8 vs 10, draw=66, winner=draw, time=48/5038
102: reward=99.15 vs 1.00, reward_evade=1.00 vs 1.00, win=16 vs 19, recent_win=8 vs 10, draw=67, winner=draw, time=38/5076
103: reward=99.15 vs 1.00, reward_evade=1.00 vs 1.00, win=16 vs 19, recent_win=8 vs 9, draw=68, winner=draw, time=36/5112
104: reward=99.15 vs 1.00, reward_evade=1.00 vs 1.00, win=16 vs 19, recent_win=8 vs 9, draw=69, winner=draw, time=39/5152
105: reward=91.02 vs 3.90, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 9, draw=69, winner=red, time=141/5293
106: reward=1.00 vs 3.90, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 8, draw=70, winner=draw, time=56/5349
107: reward=1.00 vs 3.90, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 7, draw=71, winner=draw, time=57/5406
108: reward=1.00 vs 3.90, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 6, draw=72, winner=draw, time=16/5422
109: reward=1.00 vs 3.90, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 6, draw=73, winner=draw, time=30/5453
110: reward=1.00 vs 1.00, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 6, draw=74, winner=draw, time=27/5480
111: reward=1.00 vs 1.00, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 6, draw=75, winner=draw, time=38/5518
112: reward=1.00 vs 1.00, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 6, draw=76, winner=draw, time=45/5563
113: reward=1.00 vs 1.00, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 6, draw=77, winner=draw, time=17/5580
114: reward=1.00 vs 1.00, reward_evade=1.00 vs 4.00, win=17 vs 19, recent_win=8 vs 6, draw=78, winner=draw, time=53/5634
115: reward=0.80 vs 97.50, reward_evade=1.00 vs 2.00, win=17 vs 20, recent_win=8 vs 7, draw=78, winner=blue, time=69/5702
116: reward=2.90 vs 93.32, reward_evade=3.00 vs 2.00, win=17 vs 21, recent_win=8 vs 8, draw=78, winner=blue, time=125/5827
117: reward=2.90 vs 93.32, reward_evade=3.00 vs 2.00, win=17 vs 21, recent_win=8 vs 8, draw=79, winner=draw, time=57/5884
118: reward=3.90 vs 93.10, reward_evade=4.00 vs 1.00, win=17 vs 22, recent_win=8 vs 9, draw=79, winner=blue, time=110/5995
119: reward=3.90 vs 1.00, reward_evade=4.00 vs 1.00, win=17 vs 22, recent_win=8 vs 9, draw=80, winner=draw, time=64/6059
120: reward=3.90 vs 99.51, reward_evade=4.00 vs 1.00, win=17 vs 23, recent_win=7 vs 10, draw=80, winner=blue, time=18/6077
121: reward=1.00 vs -0.10, reward_evade=1.00 vs 1.00, win=17 vs 23, recent_win=7 vs 10, draw=81, winner=draw, time=89/6166
122: reward=1.00 vs -0.10, reward_evade=1.00 vs 1.00, win=17 vs 23, recent_win=7 vs 10, draw=82, winner=draw, time=42/6209
123: reward=1.00 vs -0.10, reward_evade=1.00 vs 1.00, win=17 vs 23, recent_win=7 vs 9, draw=83, winner=draw, time=51/6260
124: reward=1.00 vs -0.10, reward_evade=1.00 vs 1.00, win=17 vs 23, recent_win=6 vs 9, draw=84, winner=draw, time=17/6277
125: reward=1.00 vs 98.99, reward_evade=1.00 vs 1.00, win=17 vs 24, recent_win=6 vs 10, draw=84, winner=blue, time=37/6314
126: reward=1.00 vs 98.99, reward_evade=1.00 vs 1.00, win=17 vs 24, recent_win=6 vs 9, draw=85, winner=draw, time=39/6353
127: reward=91.73 vs 3.80, reward_evade=3.00 vs 4.00, win=18 vs 24, recent_win=7 vs 9, draw=85, winner=red, time=161/6514
128: reward=4.70 vs 91.49, reward_evade=5.00 vs 4.00, win=18 vs 25, recent_win=7 vs 10, draw=85, winner=blue, time=181/6695
129: reward=96.71 vs 91.49, reward_evade=2.00 vs 4.00, win=19 vs 25, recent_win=7 vs 10, draw=85, winner=red, time=81/6776
130: reward=4.00 vs 94.07, reward_evade=4.00 vs 4.00, win=19 vs 26, recent_win=7 vs 11, draw=85, winner=blue, time=84/6860
131: reward=91.54 vs 3.80, reward_evade=2.00 vs 4.00, win=20 vs 26, recent_win=8 vs 11, draw=85, winner=red, time=150/7010
132: reward=91.54 vs 3.80, reward_evade=2.00 vs 4.00, win=20 vs 26, recent_win=8 vs 11, draw=86, winner=draw, time=60/7070
133: reward=91.54 vs 3.80, reward_evade=2.00 vs 4.00, win=20 vs 26, recent_win=7 vs 11, draw=87, winner=draw, time=55/7125
134: reward=91.54 vs 1.00, reward_evade=2.00 vs 4.00, win=20 vs 26, recent_win=7 vs 11, draw=88, winner=draw, time=37/7163
135: reward=91.54 vs 1.00, reward_evade=2.00 vs 4.00, win=20 vs 26, recent_win=7 vs 11, draw=89, winner=draw, time=34/7197
136: reward=91.54 vs 1.00, reward_evade=2.00 vs 4.00, win=20 vs 26, recent_win=7 vs 10, draw=90, winner=draw, time=22/7219
137: reward=1.60 vs 3.90, reward_evade=1.00 vs 4.00, win=20 vs 26, recent_win=7 vs 9, draw=91, winner=draw, time=124/7343
138: reward=1.60 vs 98.05, reward_evade=1.00 vs 4.00, win=20 vs 27, recent_win=6 vs 10, draw=91, winner=blue, time=35/7378
139: reward=3.70 vs 3.50, reward_evade=4.00 vs 3.00, win=20 vs 27, recent_win=6 vs 10, draw=92, winner=draw, time=158/7535
140: reward=3.70 vs 3.50, reward_evade=4.00 vs 3.00, win=20 vs 27, recent_win=5 vs 10, draw=93, winner=draw, time=26/7562
141: reward=3.70 vs 3.50, reward_evade=4.00 vs 3.00, win=20 vs 27, recent_win=5 vs 10, draw=94, winner=draw, time=53/7615
142: reward=3.70 vs 97.91, reward_evade=4.00 vs 1.00, win=20 vs 28, recent_win=5 vs 10, draw=94, winner=blue, time=51/7666
143: reward=3.70 vs 97.91, reward_evade=4.00 vs 1.00, win=20 vs 28, recent_win=5 vs 10, draw=95, winner=draw, time=28/7694
144: reward=3.90 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=5 vs 11, draw=95, winner=blue, time=136/7830
145: reward=3.90 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=5 vs 11, draw=96, winner=draw, time=48/7878
146: reward=3.90 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=5 vs 11, draw=97, winner=draw, time=47/7925
147: reward=3.90 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=5 vs 11, draw=98, winner=draw, time=31/7957
148: reward=3.90 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=5 vs 10, draw=99, winner=draw, time=20/7977
149: reward=3.90 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=4 vs 10, draw=100, winner=draw, time=40/8017
150: reward=3.90 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=4 vs 10, draw=101, winner=draw, time=53/8070
151: reward=3.90 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=4 vs 10, draw=102, winner=draw, time=42/8112
152: reward=3.90 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=4 vs 10, draw=103, winner=draw, time=33/8146
153: reward=1.00 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=4 vs 10, draw=104, winner=draw, time=24/8170
154: reward=1.00 vs 91.38, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=4 vs 10, draw=105, winner=draw, time=39/8209
155: reward=1.00 vs 1.00, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=3 vs 10, draw=106, winner=draw, time=32/8241
156: reward=1.00 vs 1.00, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=3 vs 10, draw=107, winner=draw, time=31/8272
157: reward=1.00 vs 1.00, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=3 vs 10, draw=108, winner=draw, time=21/8294
158: reward=1.00 vs 1.00, reward_evade=4.00 vs 1.00, win=20 vs 29, recent_win=3 vs 10, draw=109, winner=draw, time=8/8302
159: reward=93.22 vs 3.80, reward_evade=2.00 vs 4.00, win=21 vs 29, recent_win=4 vs 10, draw=109, winner=red, time=125/8427
160: reward=93.22 vs 98.60, reward_evade=2.00 vs 1.00, win=21 vs 30, recent_win=4 vs 11, draw=109, winner=blue, time=42/8469
161: reward=93.22 vs 1.00, reward_evade=2.00 vs 1.00, win=21 vs 30, recent_win=4 vs 11, draw=110, winner=draw, time=31/8500
162: reward=93.22 vs 1.00, reward_evade=2.00 vs 1.00, win=21 vs 30, recent_win=4 vs 11, draw=111, winner=draw, time=89/8590
163: reward=-0.20 vs 2.00, reward_evade=2.00 vs 2.00, win=21 vs 30, recent_win=4 vs 11, draw=112, winner=draw, time=84/8674
164: reward=92.87 vs 2.90, reward_evade=2.00 vs 3.00, win=22 vs 30, recent_win=5 vs 11, draw=112, winner=red, time=131/8805
165: reward=92.87 vs 2.90, reward_evade=2.00 vs 3.00, win=22 vs 30, recent_win=5 vs 10, draw=113, winner=draw, time=57/8862
166: reward=92.87 vs 1.00, reward_evade=2.00 vs 3.00, win=22 vs 30, recent_win=5 vs 9, draw=114, winner=draw, time=54/8916
167: reward=1.00 vs 1.00, reward_evade=2.00 vs 3.00, win=22 vs 30, recent_win=5 vs 9, draw=115, winner=draw, time=35/8952
