1: reward=0.00 vs 80.45, recent_win=0 vs 1, winner=blue, win=0 vs 1, draw=0, time=298/298
2: reward=0.00 vs 76.43, recent_win=0 vs 2, winner=blue, win=0 vs 2, draw=0, time=383/680
3: reward=0.00 vs 72.71, recent_win=0 vs 3, winner=blue, win=0 vs 3, draw=0, time=474/1154
4: reward=0.00 vs 73.75, recent_win=0 vs 4, winner=blue, win=0 vs 4, draw=0, time=447/1600
5: reward=0.00 vs 69.71, recent_win=0 vs 5, winner=blue, win=0 vs 5, draw=0, time=559/2159
6: reward=78.58 vs 0.00, recent_win=1 vs 5, winner=red, win=1 vs 5, draw=0, time=336/2495
7: reward=0.00 vs 75.69, recent_win=1 vs 6, winner=blue, win=1 vs 6, draw=0, time=400/2894
8: reward=0.00 vs 79.60, recent_win=1 vs 7, winner=blue, win=1 vs 7, draw=0, time=315/3209
9: reward=0.00 vs 81.11, recent_win=1 vs 8, winner=blue, win=1 vs 8, draw=0, time=285/3493
10: reward=0.00 vs 80.60, recent_win=1 vs 9, winner=blue, win=1 vs 9, draw=0, time=295/3788
11: reward=0.00 vs 71.49, recent_win=1 vs 10, winner=blue, win=1 vs 10, draw=0, time=507/4295
12: reward=0.00 vs 70.75, recent_win=1 vs 11, winner=blue, win=1 vs 11, draw=0, time=528/4822
13: reward=0.00 vs 79.06, recent_win=1 vs 12, winner=blue, win=1 vs 12, draw=0, time=326/5148
14: reward=0.00 vs 65.92, recent_win=1 vs 13, winner=blue, win=1 vs 13, draw=0, time=687/5834
15: reward=0.00 vs 78.72, recent_win=1 vs 14, winner=blue, win=1 vs 14, draw=0, time=333/6167
16: reward=0.00 vs 75.95, recent_win=1 vs 15, winner=blue, win=1 vs 15, draw=0, time=394/6561
17: reward=0.00 vs 76.92, recent_win=1 vs 16, winner=blue, win=1 vs 16, draw=0, time=372/6932
18: reward=0.00 vs 74.23, recent_win=1 vs 17, winner=blue, win=1 vs 17, draw=0, time=435/7367
19: reward=0.00 vs 80.60, recent_win=1 vs 18, winner=blue, win=1 vs 18, draw=0, time=295/7661
20: reward=0.00 vs 87.68, recent_win=1 vs 19, winner=blue, win=1 vs 19, draw=0, time=170/7831
21: reward=73.83 vs 0.00, recent_win=2 vs 19, winner=red, win=2 vs 19, draw=0, time=445/8276
22: reward=53.03 vs 0.00, recent_win=3 vs 19, winner=red, win=3 vs 19, draw=0, time=1682/9958
23: reward=0.00 vs 76.56, recent_win=3 vs 20, winner=blue, win=3 vs 20, draw=0, time=380/10338
24: reward=0.00 vs 91.44, recent_win=3 vs 21, winner=blue, win=3 vs 21, draw=0, time=113/10451
25: reward=0.00 vs 72.41, recent_win=3 vs 22, winner=blue, win=3 vs 22, draw=0, time=482/10932
26: reward=0.00 vs 60.62, recent_win=3 vs 23, winner=blue, win=3 vs 23, draw=0, time=930/11862
27: reward=0.00 vs 64.22, recent_win=3 vs 24, winner=blue, win=3 vs 24, draw=0, time=755/12616
28: reward=0.00 vs 78.15, recent_win=3 vs 25, winner=blue, win=3 vs 25, draw=0, time=345/12961
29: reward=0.00 vs 71.21, recent_win=3 vs 26, winner=blue, win=3 vs 26, draw=0, time=515/13476
30: reward=0.00 vs 80.65, recent_win=3 vs 27, winner=blue, win=3 vs 27, draw=0, time=294/13769
31: reward=0.00 vs 77.46, recent_win=3 vs 28, winner=blue, win=3 vs 28, draw=0, time=360/14129
32: reward=0.00 vs 85.01, recent_win=3 vs 29, winner=blue, win=3 vs 29, draw=0, time=214/14343
33: reward=0.00 vs 74.23, recent_win=3 vs 30, winner=blue, win=3 vs 30, draw=0, time=435/14777
34: reward=0.00 vs 63.41, recent_win=3 vs 31, winner=blue, win=3 vs 31, draw=0, time=790/15567
35: reward=0.00 vs 76.78, recent_win=3 vs 32, winner=blue, win=3 vs 32, draw=0, time=375/15941
36: reward=0.00 vs 77.69, recent_win=3 vs 33, winner=blue, win=3 vs 33, draw=0, time=355/16296
37: reward=0.00 vs 77.69, recent_win=3 vs 34, winner=blue, win=3 vs 34, draw=0, time=355/16651
38: reward=0.00 vs 71.89, recent_win=3 vs 35, winner=blue, win=3 vs 35, draw=0, time=496/17146
39: reward=0.00 vs 81.64, recent_win=3 vs 36, winner=blue, win=3 vs 36, draw=0, time=275/17421
40: reward=65.87 vs 0.00, recent_win=4 vs 36, winner=red, win=4 vs 36, draw=0, time=689/18109
41: reward=0.00 vs 68.47, recent_win=4 vs 37, winner=blue, win=4 vs 37, draw=0, time=598/18707
42: reward=0.00 vs 78.48, recent_win=4 vs 38, winner=blue, win=4 vs 38, draw=0, time=338/19045
43: reward=0.00 vs 77.14, recent_win=4 vs 39, winner=blue, win=4 vs 39, draw=0, time=367/19411
44: reward=0.00 vs 75.69, recent_win=4 vs 40, winner=blue, win=4 vs 40, draw=0, time=400/19811
45: reward=0.00 vs 80.09, recent_win=4 vs 41, winner=blue, win=4 vs 41, draw=0, time=305/20115
46: reward=0.00 vs 80.30, recent_win=4 vs 42, winner=blue, win=4 vs 42, draw=0, time=301/20416
47: reward=0.00 vs 83.50, recent_win=4 vs 43, winner=blue, win=4 vs 43, draw=0, time=240/20656
48: reward=0.00 vs 72.29, recent_win=4 vs 44, winner=blue, win=4 vs 44, draw=0, time=485/21141
49: reward=0.00 vs 72.29, recent_win=4 vs 45, winner=blue, win=4 vs 45, draw=0, time=485/21625
50: reward=0.00 vs 80.60, recent_win=4 vs 46, winner=blue, win=4 vs 46, draw=0, time=295/21920
51: reward=0.00 vs 65.61, recent_win=4 vs 46, winner=blue, win=4 vs 47, draw=0, time=699/22619
52: reward=0.00 vs 80.60, recent_win=4 vs 46, winner=blue, win=4 vs 48, draw=0, time=295/22913
53: reward=0.00 vs 77.23, recent_win=4 vs 46, winner=blue, win=4 vs 49, draw=0, time=365/23278
54: reward=73.99 vs 0.00, recent_win=5 vs 45, winner=red, win=5 vs 49, draw=0, time=441/23718
