1: reward=83.75 vs 0.00, recent_win=1 vs 0, winner=red, win=1 vs 0, draw=0, time=236/236
2: reward=0.00 vs 78.87, recent_win=1 vs 1, winner=blue, win=1 vs 1, draw=0, time=330/565
3: reward=0.00 vs 82.06, recent_win=1 vs 2, winner=blue, win=1 vs 2, draw=0, time=267/832
4: reward=83.63 vs 0.00, recent_win=2 vs 2, winner=red, win=2 vs 2, draw=0, time=238/1070
5: reward=82.78 vs 0.00, recent_win=3 vs 2, winner=red, win=3 vs 2, draw=0, time=253/1323
6: reward=84.06 vs 0.00, recent_win=4 vs 2, winner=red, win=4 vs 2, draw=0, time=230/1554
7: reward=0.00 vs 0.00, recent_win=4 vs 2, winner=draw, win=4 vs 2, draw=1, time=253/1807
8: reward=83.75 vs 0.00, recent_win=5 vs 2, winner=red, win=5 vs 2, draw=1, time=236/2043
9: reward=82.72 vs 0.00, recent_win=6 vs 2, winner=red, win=6 vs 2, draw=1, time=254/2297
10: reward=0.00 vs 66.03, recent_win=6 vs 3, winner=blue, win=6 vs 3, draw=1, time=683/2980
11: reward=83.63 vs 0.00, recent_win=7 vs 3, winner=red, win=7 vs 3, draw=1, time=238/3218
12: reward=0.00 vs 78.82, recent_win=7 vs 4, winner=blue, win=7 vs 4, draw=1, time=331/3549
13: reward=83.81 vs 0.00, recent_win=8 vs 4, winner=red, win=8 vs 4, draw=1, time=235/3783
14: reward=82.78 vs 0.00, recent_win=9 vs 4, winner=red, win=9 vs 4, draw=1, time=253/4037
15: reward=0.00 vs 80.15, recent_win=9 vs 5, winner=blue, win=9 vs 5, draw=1, time=304/4340
16: reward=82.78 vs 0.00, recent_win=10 vs 5, winner=red, win=10 vs 5, draw=1, time=253/4594
17: reward=0.00 vs 79.70, recent_win=10 vs 6, winner=blue, win=10 vs 6, draw=1, time=313/4906
18: reward=0.00 vs 78.48, recent_win=10 vs 7, winner=blue, win=10 vs 7, draw=1, time=338/5244
19: reward=84.57 vs 0.00, recent_win=11 vs 7, winner=red, win=11 vs 7, draw=1, time=221/5465
20: reward=0.00 vs 81.96, recent_win=11 vs 8, winner=blue, win=11 vs 8, draw=1, time=269/5734
21: reward=0.00 vs 81.80, recent_win=11 vs 9, winner=blue, win=11 vs 9, draw=1, time=272/6006
22: reward=83.94 vs 0.00, recent_win=12 vs 9, winner=red, win=12 vs 9, draw=1, time=232/6238
23: reward=0.00 vs 0.00, recent_win=12 vs 9, winner=draw, win=12 vs 9, draw=2, time=302/6540
24: reward=82.72 vs 0.00, recent_win=13 vs 9, winner=red, win=13 vs 9, draw=2, time=254/6794
25: reward=82.55 vs 0.00, recent_win=14 vs 9, winner=red, win=14 vs 9, draw=2, time=258/7052
26: reward=83.57 vs 0.00, recent_win=15 vs 9, winner=red, win=15 vs 9, draw=2, time=239/7291
27: reward=0.00 vs 80.81, recent_win=15 vs 10, winner=blue, win=15 vs 10, draw=2, time=291/7581
28: reward=0.00 vs 79.60, recent_win=15 vs 11, winner=blue, win=15 vs 11, draw=2, time=315/7896
29: reward=84.50 vs 0.00, recent_win=16 vs 11, winner=red, win=16 vs 11, draw=2, time=223/8119
30: reward=82.38 vs 0.00, recent_win=17 vs 11, winner=red, win=17 vs 11, draw=2, time=261/8379
31: reward=0.00 vs 78.87, recent_win=17 vs 12, winner=blue, win=17 vs 12, draw=2, time=330/8709
32: reward=82.60 vs 0.00, recent_win=18 vs 12, winner=red, win=18 vs 12, draw=2, time=257/8965
33: reward=84.38 vs 0.00, recent_win=19 vs 12, winner=red, win=19 vs 12, draw=2, time=225/9190
34: reward=0.00 vs 81.64, recent_win=19 vs 13, winner=blue, win=19 vs 13, draw=2, time=275/9465
35: reward=0.00 vs 82.90, recent_win=19 vs 14, winner=blue, win=19 vs 14, draw=2, time=251/9716
36: reward=0.00 vs 75.01, recent_win=19 vs 15, winner=blue, win=19 vs 15, draw=2, time=416/10132
37: reward=79.01 vs 0.00, recent_win=20 vs 15, winner=red, win=20 vs 15, draw=2, time=327/10458
38: reward=84.38 vs 0.00, recent_win=21 vs 15, winner=red, win=21 vs 15, draw=2, time=225/10683
39: reward=0.00 vs 79.70, recent_win=21 vs 16, winner=blue, win=21 vs 16, draw=2, time=313/10996
40: reward=0.00 vs 82.72, recent_win=21 vs 17, winner=blue, win=21 vs 17, draw=2, time=254/11250
41: reward=0.00 vs 81.85, recent_win=21 vs 18, winner=blue, win=21 vs 18, draw=2, time=271/11521
42: reward=84.63 vs 0.00, recent_win=22 vs 18, winner=red, win=22 vs 18, draw=2, time=220/11741
43: reward=0.00 vs 78.15, recent_win=22 vs 19, winner=blue, win=22 vs 19, draw=2, time=345/12086
44: reward=84.12 vs 0.00, recent_win=23 vs 19, winner=red, win=23 vs 19, draw=2, time=229/12315
45: reward=0.00 vs 70.58, recent_win=23 vs 20, winner=blue, win=23 vs 20, draw=2, time=533/12848
46: reward=0.00 vs 0.00, recent_win=23 vs 20, winner=draw, win=23 vs 20, draw=3, time=253/13101
47: reward=0.00 vs 77.92, recent_win=23 vs 21, winner=blue, win=23 vs 21, draw=3, time=350/13451
48: reward=83.57 vs 0.00, recent_win=24 vs 21, winner=red, win=24 vs 21, draw=3, time=239/13690
49: reward=79.40 vs 0.00, recent_win=25 vs 21, winner=red, win=25 vs 21, draw=3, time=319/14008
50: reward=0.00 vs 72.04, recent_win=25 vs 22, winner=blue, win=25 vs 22, draw=3, time=492/14500
51: reward=83.02 vs 0.00, recent_win=25 vs 22, winner=red, win=26 vs 22, draw=3, time=249/14749
52: reward=84.57 vs 0.00, recent_win=26 vs 21, winner=red, win=27 vs 22, draw=3, time=221/14970
53: reward=0.00 vs 82.60, recent_win=26 vs 21, winner=blue, win=27 vs 23, draw=3, time=257/15227
