1: reward=0.40 vs 97.61, reward_evade=1.00 vs 7.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=137/137
2: reward=0.60 vs 97.55, reward_evade=1.00 vs 5.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=108/245
3: reward=1.40 vs 97.43, reward_evade=2.00 vs 8.00, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=153/398
4: reward=0.90 vs 1.00, reward_evade=2.00 vs 1.00, win=0 vs 3, recent_win=0 vs 3, draw=1, winner=draw, time=68/466
5: reward=2.40 vs 97.65, reward_evade=3.00 vs 7.00, win=0 vs 4, recent_win=0 vs 4, draw=1, winner=blue, time=135/600
6: reward=0.80 vs 2.00, reward_evade=3.00 vs 2.00, win=0 vs 4, recent_win=0 vs 4, draw=2, winner=draw, time=72/672
7: reward=1.30 vs 96.14, reward_evade=2.00 vs 7.00, win=0 vs 5, recent_win=0 vs 5, draw=2, winner=blue, time=158/830
8: reward=0.80 vs 2.00, reward_evade=2.00 vs 2.00, win=0 vs 5, recent_win=0 vs 5, draw=3, winner=draw, time=69/899
9: reward=-0.60 vs 7.00, reward_evade=2.00 vs 6.00, win=0 vs 5, recent_win=0 vs 5, draw=4, winner=draw, time=143/1042
10: reward=-0.30 vs 3.00, reward_evade=2.00 vs 3.00, win=0 vs 5, recent_win=0 vs 5, draw=5, winner=draw, time=84/1126
11: reward=0.60 vs 97.87, reward_evade=1.00 vs 6.00, win=0 vs 6, recent_win=0 vs 6, draw=5, winner=blue, time=118/1244
12: reward=0.40 vs 96.88, reward_evade=1.00 vs 7.00, win=0 vs 7, recent_win=0 vs 7, draw=5, winner=blue, time=148/1392
13: reward=0.70 vs 97.78, reward_evade=1.00 vs 5.00, win=0 vs 8, recent_win=0 vs 8, draw=5, winner=blue, time=105/1497
14: reward=0.40 vs 96.39, reward_evade=1.00 vs 6.00, win=0 vs 9, recent_win=0 vs 9, draw=5, winner=blue, time=140/1637
15: reward=0.40 vs 6.90, reward_evade=1.00 vs 6.00, win=0 vs 9, recent_win=0 vs 9, draw=6, winner=draw, time=144/1781
16: reward=0.50 vs 97.83, reward_evade=1.00 vs 7.00, win=0 vs 10, recent_win=0 vs 10, draw=6, winner=blue, time=133/1915
17: reward=0.50 vs 97.12, reward_evade=1.00 vs 6.00, win=0 vs 11, recent_win=0 vs 11, draw=6, winner=blue, time=129/2044
18: reward=5.00 vs 96.93, reward_evade=6.00 vs 12.00, win=0 vs 12, recent_win=0 vs 12, draw=6, winner=blue, time=220/2264
19: reward=1.80 vs 2.00, reward_evade=1.00 vs 2.00, win=0 vs 12, recent_win=0 vs 12, draw=7, winner=draw, time=84/2348
20: reward=5.00 vs 96.48, reward_evade=6.00 vs 11.00, win=0 vs 13, recent_win=0 vs 13, draw=7, winner=blue, time=213/2561
21: reward=1.40 vs 97.78, reward_evade=2.00 vs 8.00, win=0 vs 14, recent_win=0 vs 14, draw=7, winner=blue, time=148/2709
22: reward=94.41 vs 2.00, reward_evade=2.00 vs 2.00, win=1 vs 14, recent_win=1 vs 14, draw=7, winner=red, time=81/2790
23: reward=0.40 vs 6.90, reward_evade=1.00 vs 6.00, win=1 vs 14, recent_win=1 vs 14, draw=8, winner=draw, time=141/2931
24: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=1 vs 14, recent_win=1 vs 14, draw=9, winner=draw, time=72/3003
25: reward=-0.30 vs 97.50, reward_evade=1.00 vs 4.00, win=1 vs 15, recent_win=1 vs 15, draw=9, winner=blue, time=96/3099
26: reward=0.40 vs 6.90, reward_evade=1.00 vs 6.00, win=1 vs 15, recent_win=1 vs 15, draw=10, winner=draw, time=128/3227
27: reward=0.70 vs 3.00, reward_evade=1.00 vs 3.00, win=1 vs 15, recent_win=1 vs 15, draw=11, winner=draw, time=98/3325
28: reward=-0.30 vs 4.00, reward_evade=1.00 vs 3.00, win=1 vs 15, recent_win=1 vs 15, draw=12, winner=draw, time=83/3408
29: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=1 vs 15, recent_win=1 vs 15, draw=13, winner=draw, time=71/3479
30: reward=-0.50 vs 97.97, reward_evade=1.00 vs 6.00, win=1 vs 16, recent_win=1 vs 16, draw=13, winner=blue, time=118/3597
31: reward=-0.50 vs 6.00, reward_evade=1.00 vs 5.00, win=1 vs 16, recent_win=1 vs 16, draw=14, winner=draw, time=132/3729
32: reward=0.40 vs 97.53, reward_evade=1.00 vs 7.00, win=1 vs 17, recent_win=1 vs 17, draw=14, winner=blue, time=138/3867
33: reward=1.50 vs 97.79, reward_evade=2.00 vs 6.00, win=1 vs 18, recent_win=1 vs 18, draw=14, winner=blue, time=119/3986
34: reward=-0.30 vs 4.00, reward_evade=2.00 vs 3.00, win=1 vs 18, recent_win=1 vs 18, draw=15, winner=draw, time=85/4071
35: reward=0.60 vs 4.90, reward_evade=1.00 vs 4.00, win=1 vs 18, recent_win=1 vs 18, draw=16, winner=draw, time=93/4164
36: reward=-0.40 vs 97.72, reward_evade=1.00 vs 6.00, win=1 vs 19, recent_win=1 vs 19, draw=16, winner=blue, time=120/4285
37: reward=2.30 vs 96.79, reward_evade=3.00 vs 8.00, win=1 vs 20, recent_win=1 vs 20, draw=16, winner=blue, time=163/4448
38: reward=1.40 vs 97.78, reward_evade=2.00 vs 8.00, win=1 vs 21, recent_win=1 vs 21, draw=16, winner=blue, time=148/4596
39: reward=1.50 vs 97.19, reward_evade=2.00 vs 6.00, win=1 vs 22, recent_win=1 vs 22, draw=16, winner=blue, time=128/4724
40: reward=-0.40 vs 97.42, reward_evade=2.00 vs 5.00, win=1 vs 23, recent_win=1 vs 23, draw=16, winner=blue, time=111/4835
41: reward=0.90 vs 1.00, reward_evade=2.00 vs 1.00, win=1 vs 23, recent_win=1 vs 23, draw=17, winner=draw, time=69/4904
42: reward=0.80 vs 1.00, reward_evade=2.00 vs 1.00, win=1 vs 23, recent_win=1 vs 23, draw=18, winner=draw, time=69/4972
43: reward=0.80 vs 2.00, reward_evade=2.00 vs 2.00, win=1 vs 23, recent_win=1 vs 23, draw=19, winner=draw, time=74/5046
44: reward=2.40 vs 97.58, reward_evade=3.00 vs 7.00, win=1 vs 24, recent_win=1 vs 24, draw=19, winner=blue, time=136/5182
45: reward=-0.40 vs 5.00, reward_evade=3.00 vs 4.00, win=1 vs 24, recent_win=1 vs 24, draw=20, winner=draw, time=137/5319
46: reward=4.10 vs 96.32, reward_evade=5.00 vs 10.00, win=1 vs 25, recent_win=1 vs 25, draw=20, winner=blue, time=198/5517
47: reward=-0.40 vs 5.00, reward_evade=5.00 vs 4.00, win=1 vs 25, recent_win=1 vs 25, draw=21, winner=draw, time=95/5612
48: reward=-0.30 vs 98.05, reward_evade=5.00 vs 4.00, win=1 vs 26, recent_win=1 vs 26, draw=21, winner=blue, time=88/5701
49: reward=-0.30 vs 3.00, reward_evade=5.00 vs 3.00, win=1 vs 26, recent_win=1 vs 26, draw=22, winner=draw, time=77/5778
50: reward=-0.30 vs 97.74, reward_evade=5.00 vs 4.00, win=1 vs 27, recent_win=1 vs 27, draw=22, winner=blue, time=93/5871
51: reward=-0.30 vs 4.00, reward_evade=5.00 vs 3.00, win=1 vs 27, recent_win=1 vs 26, draw=23, winner=draw, time=85/5956
52: reward=0.60 vs 97.55, reward_evade=1.00 vs 5.00, win=1 vs 28, recent_win=1 vs 26, draw=23, winner=blue, time=108/6064
53: reward=1.70 vs 2.90, reward_evade=1.00 vs 3.00, win=1 vs 28, recent_win=1 vs 25, draw=24, winner=draw, time=84/6148
54: reward=0.50 vs 97.05, reward_evade=1.00 vs 6.00, win=1 vs 29, recent_win=1 vs 26, draw=24, winner=blue, time=130/6278
55: reward=0.60 vs 96.87, reward_evade=1.00 vs 5.00, win=1 vs 30, recent_win=1 vs 26, draw=24, winner=blue, time=118/6396
56: reward=0.40 vs 97.46, reward_evade=1.00 vs 7.00, win=1 vs 31, recent_win=1 vs 27, draw=24, winner=blue, time=139/6535
57: reward=0.80 vs 2.00, reward_evade=1.00 vs 2.00, win=1 vs 31, recent_win=1 vs 26, draw=25, winner=draw, time=70/6605
58: reward=1.50 vs 97.87, reward_evade=2.00 vs 6.00, win=1 vs 32, recent_win=1 vs 27, draw=25, winner=blue, time=118/6723
59: reward=1.70 vs 3.00, reward_evade=1.00 vs 3.00, win=1 vs 32, recent_win=1 vs 27, draw=26, winner=draw, time=100/6824
