1: reward=-2.40 vs 100.24, reward_evade=0.00 vs 26.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=460/460
2: reward=-2.60 vs 105.50, reward_evade=1.00 vs 38.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=662/1121
3: reward=81.15 vs 14.00, reward_evade=1.00 vs 14.00, win=1 vs 2, recent_win=1 vs 2, draw=0, winner=red, time=296/1417
4: reward=-1.80 vs 95.05, reward_evade=1.00 vs 19.00, win=1 vs 3, recent_win=1 vs 3, draw=0, winner=blue, time=415/1831
5: reward=-3.70 vs 125.96, reward_evade=3.00 vs 68.00, win=1 vs 4, recent_win=1 vs 4, draw=0, winner=blue, time=1158/2989
6: reward=-7.30 vs 132.16, reward_evade=3.00 vs 75.00, win=1 vs 5, recent_win=1 vs 5, draw=0, winner=blue, time=1257/4246
7: reward=-3.30 vs 104.65, reward_evade=3.00 vs 35.00, win=1 vs 6, recent_win=1 vs 6, draw=0, winner=blue, time=592/4838
8: reward=2.20 vs 152.88, reward_evade=12.00 vs 100.00, win=1 vs 7, recent_win=1 vs 7, draw=0, winner=blue, time=1673/6510
9: reward=54.86 vs 65.70, reward_evade=4.00 vs 66.00, win=2 vs 7, recent_win=2 vs 7, draw=0, winner=red, time=1218/7728
10: reward=-4.30 vs 44.00, reward_evade=4.00 vs 43.00, win=2 vs 7, recent_win=2 vs 7, draw=1, winner=draw, time=756/8484
11: reward=72.87 vs 23.80, reward_evade=2.00 vs 24.00, win=3 vs 7, recent_win=3 vs 7, draw=1, winner=red, time=483/8967
12: reward=-0.50 vs 95.14, reward_evade=1.00 vs 16.00, win=3 vs 8, recent_win=3 vs 8, draw=1, winner=blue, time=341/9307
13: reward=57.58 vs 51.00, reward_evade=1.00 vs 51.00, win=4 vs 8, recent_win=4 vs 8, draw=1, winner=red, time=921/10228
14: reward=-2.50 vs 104.82, reward_evade=1.00 vs 36.00, win=4 vs 9, recent_win=4 vs 9, draw=1, winner=blue, time=616/10844
15: reward=-1.70 vs 98.40, reward_evade=1.00 vs 18.00, win=4 vs 10, recent_win=4 vs 10, draw=1, winner=blue, time=319/11162
16: reward=-2.50 vs 109.77, reward_evade=2.00 vs 46.00, win=4 vs 11, recent_win=4 vs 11, draw=1, winner=blue, time=810/11972
17: reward=-0.40 vs 130.43, reward_evade=7.00 vs 74.00, win=4 vs 12, recent_win=4 vs 12, draw=1, winner=blue, time=1259/13231
18: reward=0.90 vs 113.09, reward_evade=6.00 vs 52.00, win=4 vs 13, recent_win=4 vs 13, draw=1, winner=blue, time=926/14156
19: reward=-0.50 vs 15.90, reward_evade=1.00 vs 15.00, win=4 vs 13, recent_win=4 vs 13, draw=2, winner=draw, time=387/14543
20: reward=-1.20 vs 103.28, reward_evade=2.00 vs 33.00, win=4 vs 14, recent_win=4 vs 14, draw=2, winner=blue, time=563/15106
