1: reward=4.00 vs 0.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=193/193
2: reward=1.00 vs 0.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=158/351
3: reward=1.00 vs 0.00, win=0 vs 2, recent_win=0 vs 2, draw=1, winner=draw, time=76/427
4: reward=1.00 vs 0.00, win=0 vs 3, recent_win=0 vs 3, draw=1, winner=blue, time=146/572
5: reward=1.00 vs 0.00, win=0 vs 3, recent_win=0 vs 3, draw=2, winner=draw, time=99/672
6: reward=1.00 vs 0.00, win=0 vs 3, recent_win=0 vs 3, draw=3, winner=draw, time=124/795
7: reward=4.00 vs 0.00, win=0 vs 4, recent_win=0 vs 4, draw=3, winner=blue, time=146/941
8: reward=2.00 vs 0.00, win=0 vs 4, recent_win=0 vs 4, draw=4, winner=draw, time=153/1094
9: reward=2.00 vs 0.00, win=0 vs 4, recent_win=0 vs 4, draw=5, winner=draw, time=104/1198
10: reward=1.00 vs 0.00, win=0 vs 5, recent_win=0 vs 5, draw=5, winner=blue, time=142/1340
11: reward=5.00 vs 0.00, win=0 vs 6, recent_win=0 vs 6, draw=5, winner=blue, time=158/1498
12: reward=1.00 vs 0.00, win=0 vs 7, recent_win=0 vs 7, draw=5, winner=blue, time=124/1622
13: reward=1.00 vs 0.00, win=0 vs 8, recent_win=0 vs 8, draw=5, winner=blue, time=121/1743
14: reward=1.00 vs 0.00, win=0 vs 9, recent_win=0 vs 9, draw=5, winner=blue, time=138/1881
15: reward=1.00 vs 0.00, win=0 vs 9, recent_win=0 vs 9, draw=6, winner=draw, time=140/2021
16: reward=1.00 vs 0.00, win=0 vs 10, recent_win=0 vs 10, draw=6, winner=blue, time=113/2134
17: reward=4.00 vs 0.00, win=0 vs 11, recent_win=0 vs 11, draw=6, winner=blue, time=131/2265
18: reward=2.00 vs 0.00, win=0 vs 12, recent_win=0 vs 12, draw=6, winner=blue, time=186/2451
19: reward=3.00 vs 0.00, win=0 vs 13, recent_win=0 vs 13, draw=6, winner=blue, time=138/2589
20: reward=2.00 vs 0.00, win=1 vs 13, recent_win=1 vs 13, draw=6, winner=red, time=138/2727
21: reward=2.00 vs 0.00, win=1 vs 13, recent_win=1 vs 13, draw=7, winner=draw, time=74/2801
22: reward=2.00 vs 0.00, win=1 vs 14, recent_win=1 vs 14, draw=7, winner=blue, time=97/2898
23: reward=1.00 vs 0.00, win=1 vs 15, recent_win=1 vs 15, draw=7, winner=blue, time=152/3051
24: reward=3.00 vs 0.00, win=1 vs 16, recent_win=1 vs 16, draw=7, winner=blue, time=143/3194
25: reward=4.00 vs 0.00, win=1 vs 17, recent_win=1 vs 17, draw=7, winner=blue, time=133/3328
26: reward=4.00 vs 0.00, win=1 vs 18, recent_win=1 vs 18, draw=7, winner=blue, time=121/3449
27: reward=7.00 vs 0.00, win=1 vs 18, recent_win=1 vs 18, draw=8, winner=draw, time=252/3701
28: reward=7.00 vs 0.00, win=1 vs 18, recent_win=1 vs 18, draw=9, winner=draw, time=148/3849
29: reward=1.00 vs 0.00, win=1 vs 18, recent_win=1 vs 18, draw=10, winner=draw, time=108/3957
30: reward=1.00 vs 0.00, win=1 vs 18, recent_win=1 vs 18, draw=11, winner=draw, time=82/4039
