1: reward=1.83 vs 90.62, reward_evade=1.83 vs 0.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=125/125
2: reward=1.00 vs 91.22, reward_evade=1.00 vs 0.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=116/241
3: reward=2.08 vs 89.01, reward_evade=2.08 vs 0.00, win=0 vs 3, recent_win=0 vs 3, draw=0, winner=blue, time=149/389
4: reward=2.08 vs 92.99, reward_evade=2.08 vs 0.00, win=0 vs 4, recent_win=0 vs 4, draw=0, winner=blue, time=91/480
5: reward=2.08 vs 89.88, reward_evade=2.08 vs 0.00, win=0 vs 5, recent_win=0 vs 5, draw=0, winner=blue, time=136/616
6: reward=1.00 vs 91.60, reward_evade=1.00 vs 0.00, win=0 vs 6, recent_win=0 vs 6, draw=0, winner=blue, time=110/726
7: reward=1.00 vs 90.99, reward_evade=1.00 vs 0.00, win=0 vs 7, recent_win=0 vs 7, draw=0, winner=blue, time=119/845
8: reward=1.50 vs 88.68, reward_evade=1.50 vs 1.00, win=0 vs 8, recent_win=0 vs 8, draw=0, winner=blue, time=170/1015
9: reward=1.83 vs 91.22, reward_evade=1.83 vs 1.00, win=0 vs 9, recent_win=0 vs 9, draw=0, winner=blue, time=116/1131
10: reward=1.83 vs 93.68, reward_evade=1.83 vs 1.00, win=0 vs 10, recent_win=0 vs 10, draw=0, winner=blue, time=95/1226
11: reward=1.83 vs 94.23, reward_evade=1.83 vs 1.00, win=0 vs 11, recent_win=0 vs 11, draw=0, winner=blue, time=87/1313
12: reward=1.50 vs 90.47, reward_evade=1.50 vs 1.00, win=0 vs 12, recent_win=0 vs 12, draw=0, winner=blue, time=127/1440
13: reward=2.28 vs 88.23, reward_evade=2.28 vs 1.00, win=0 vs 13, recent_win=0 vs 13, draw=0, winner=blue, time=161/1601
14: reward=1.00 vs 91.92, reward_evade=1.00 vs 1.00, win=0 vs 14, recent_win=0 vs 14, draw=0, winner=blue, time=120/1722
15: reward=1.00 vs 90.95, reward_evade=1.00 vs 1.00, win=0 vs 15, recent_win=0 vs 15, draw=0, winner=blue, time=135/1856
16: reward=1.00 vs 90.15, reward_evade=1.00 vs 1.00, win=0 vs 16, recent_win=0 vs 16, draw=0, winner=blue, time=147/2003
17: reward=1.00 vs 89.80, reward_evade=1.00 vs 1.00, win=0 vs 17, recent_win=0 vs 17, draw=0, winner=blue, time=152/2155
18: reward=1.00 vs 90.84, reward_evade=1.00 vs 1.00, win=0 vs 18, recent_win=0 vs 18, draw=0, winner=blue, time=121/2276
19: reward=1.50 vs 87.95, reward_evade=1.50 vs 1.00, win=0 vs 19, recent_win=0 vs 19, draw=0, winner=blue, time=165/2442
20: reward=2.08 vs 88.23, reward_evade=2.08 vs 1.00, win=0 vs 20, recent_win=0 vs 20, draw=0, winner=blue, time=161/2603
21: reward=1.00 vs 93.21, reward_evade=1.00 vs 1.00, win=0 vs 21, recent_win=0 vs 21, draw=0, winner=blue, time=102/2704
22: reward=1.00 vs 90.84, reward_evade=1.00 vs 1.00, win=0 vs 22, recent_win=0 vs 22, draw=0, winner=blue, time=121/2826
23: reward=1.00 vs 90.23, reward_evade=1.00 vs 1.00, win=0 vs 23, recent_win=0 vs 23, draw=0, winner=blue, time=146/2971
24: reward=1.00 vs 93.68, reward_evade=1.00 vs 1.00, win=0 vs 24, recent_win=0 vs 24, draw=0, winner=blue, time=95/3066
25: reward=1.00 vs 90.08, reward_evade=1.00 vs 1.00, win=0 vs 25, recent_win=0 vs 25, draw=0, winner=blue, time=148/3214
26: reward=2.45 vs 85.33, reward_evade=2.45 vs 1.00, win=0 vs 26, recent_win=0 vs 26, draw=0, winner=blue, time=208/3423
27: reward=1.50 vs 91.98, reward_evade=1.50 vs 1.00, win=0 vs 27, recent_win=0 vs 27, draw=0, winner=blue, time=105/3527
28: reward=1.50 vs 93.21, reward_evade=1.50 vs 1.00, win=0 vs 28, recent_win=0 vs 28, draw=0, winner=blue, time=102/3629
29: reward=2.28 vs 87.54, reward_evade=2.28 vs 1.00, win=0 vs 29, recent_win=0 vs 29, draw=0, winner=blue, time=172/3801
30: reward=2.28 vs 93.68, reward_evade=2.28 vs 1.00, win=0 vs 30, recent_win=0 vs 30, draw=0, winner=blue, time=95/3896
31: reward=1.50 vs 91.98, reward_evade=1.50 vs 1.00, win=0 vs 31, recent_win=0 vs 31, draw=0, winner=blue, time=105/4001
32: reward=2.08 vs 87.81, reward_evade=2.08 vs 1.00, win=0 vs 32, recent_win=0 vs 32, draw=0, winner=blue, time=168/4169
33: reward=2.08 vs 88.80, reward_evade=2.08 vs 1.00, win=0 vs 33, recent_win=0 vs 33, draw=0, winner=blue, time=152/4321
34: reward=1.00 vs 93.29, reward_evade=1.00 vs 1.00, win=0 vs 34, recent_win=0 vs 34, draw=0, winner=blue, time=100/4421
35: reward=1.50 vs 88.37, reward_evade=1.50 vs 1.00, win=0 vs 35, recent_win=0 vs 35, draw=0, winner=blue, time=159/4580
36: reward=2.45 vs 86.12, reward_evade=2.45 vs 1.00, win=0 vs 36, recent_win=0 vs 36, draw=0, winner=blue, time=195/4775
37: reward=1.00 vs 90.10, reward_evade=1.00 vs 1.00, win=0 vs 37, recent_win=0 vs 37, draw=0, winner=blue, time=132/4908
38: reward=1.00 vs 90.73, reward_evade=1.00 vs 1.00, win=0 vs 38, recent_win=0 vs 38, draw=0, winner=blue, time=138/5045
39: reward=1.00 vs 90.37, reward_evade=1.00 vs 1.00, win=0 vs 39, recent_win=0 vs 39, draw=0, winner=blue, time=143/5189
40: reward=1.00 vs 93.76, reward_evade=1.00 vs 1.00, win=0 vs 40, recent_win=0 vs 40, draw=0, winner=blue, time=94/5283
41: reward=2.59 vs 84.50, reward_evade=2.59 vs 1.00, win=0 vs 41, recent_win=0 vs 41, draw=0, winner=blue, time=223/5505
42: reward=2.59 vs 88.87, reward_evade=2.59 vs 1.00, win=0 vs 42, recent_win=0 vs 42, draw=0, winner=blue, time=151/5656
43: reward=2.59 vs 90.52, reward_evade=2.59 vs 1.00, win=0 vs 43, recent_win=0 vs 43, draw=0, winner=blue, time=141/5798
44: reward=1.00 vs 90.54, reward_evade=1.00 vs 1.00, win=0 vs 44, recent_win=0 vs 44, draw=0, winner=blue, time=126/5923
45: reward=1.00 vs 92.60, reward_evade=1.00 vs 1.00, win=0 vs 45, recent_win=0 vs 45, draw=0, winner=blue, time=110/6034
46: reward=1.00 vs 91.17, reward_evade=1.00 vs 1.00, win=0 vs 46, recent_win=0 vs 46, draw=0, winner=blue, time=131/6165
47: reward=1.00 vs 94.47, reward_evade=1.00 vs 1.00, win=0 vs 47, recent_win=0 vs 47, draw=0, winner=blue, time=84/6249
48: reward=1.83 vs 88.75, reward_evade=1.83 vs 1.00, win=0 vs 48, recent_win=0 vs 48, draw=0, winner=blue, time=169/6418
49: reward=1.00 vs 90.47, reward_evade=1.00 vs 1.00, win=0 vs 49, recent_win=0 vs 49, draw=0, winner=blue, time=127/6545
50: reward=1.00 vs 93.37, reward_evade=1.00 vs 1.00, win=0 vs 50, recent_win=0 vs 50, draw=0, winner=blue, time=99/6644
51: reward=1.00 vs 90.69, reward_evade=1.00 vs 1.00, win=0 vs 51, recent_win=0 vs 50, draw=0, winner=blue, time=124/6768
52: reward=1.83 vs 89.30, reward_evade=1.83 vs 1.00, win=0 vs 52, recent_win=0 vs 50, draw=0, winner=blue, time=144/6912
53: reward=1.50 vs 89.30, reward_evade=1.50 vs 1.00, win=0 vs 53, recent_win=0 vs 50, draw=0, winner=blue, time=144/7057
54: reward=1.83 vs 88.44, reward_evade=1.83 vs 1.00, win=0 vs 54, recent_win=0 vs 50, draw=0, winner=blue, time=158/7214
55: reward=1.00 vs 88.75, reward_evade=1.00 vs 1.00, win=0 vs 55, recent_win=0 vs 50, draw=0, winner=blue, time=169/7383
56: reward=1.00 vs 93.29, reward_evade=1.00 vs 1.00, win=0 vs 56, recent_win=0 vs 50, draw=0, winner=blue, time=100/7484
57: reward=1.00 vs 94.55, reward_evade=1.00 vs 1.00, win=0 vs 57, recent_win=0 vs 50, draw=0, winner=blue, time=83/7567
58: reward=1.00 vs 90.44, reward_evade=1.00 vs 1.00, win=0 vs 58, recent_win=0 vs 50, draw=0, winner=blue, time=142/7709
59: reward=1.00 vs 93.60, reward_evade=1.00 vs 1.00, win=0 vs 59, recent_win=0 vs 50, draw=0, winner=blue, time=96/7805
60: reward=1.83 vs 88.09, reward_evade=1.83 vs 1.00, win=0 vs 60, recent_win=0 vs 50, draw=0, winner=blue, time=163/7968
61: reward=1.83 vs 93.68, reward_evade=1.83 vs 1.00, win=0 vs 61, recent_win=0 vs 50, draw=0, winner=blue, time=95/8063
62: reward=1.83 vs 94.31, reward_evade=1.83 vs 1.00, win=0 vs 62, recent_win=0 vs 50, draw=0, winner=blue, time=86/8149
63: reward=1.83 vs 90.52, reward_evade=1.83 vs 1.00, win=0 vs 63, recent_win=0 vs 50, draw=0, winner=blue, time=141/8291
64: reward=1.00 vs 91.84, reward_evade=1.00 vs 1.00, win=0 vs 64, recent_win=0 vs 50, draw=0, winner=blue, time=121/8412
65: reward=1.00 vs 90.44, reward_evade=1.00 vs 1.00, win=0 vs 65, recent_win=0 vs 50, draw=0, winner=blue, time=142/8554
66: reward=1.00 vs 92.67, reward_evade=1.00 vs 1.00, win=0 vs 66, recent_win=0 vs 50, draw=0, winner=blue, time=109/8664
67: reward=1.00 vs 92.21, reward_evade=1.00 vs 1.00, win=0 vs 67, recent_win=0 vs 50, draw=0, winner=blue, time=102/8765
68: reward=1.00 vs 90.37, reward_evade=1.00 vs 1.00, win=0 vs 68, recent_win=0 vs 50, draw=0, winner=blue, time=143/8909
69: reward=1.00 vs 89.87, reward_evade=1.00 vs 1.00, win=0 vs 69, recent_win=0 vs 50, draw=0, winner=blue, time=151/9060
70: reward=1.00 vs 89.08, reward_evade=1.00 vs 1.00, win=0 vs 70, recent_win=0 vs 50, draw=0, winner=blue, time=148/9207
71: reward=1.50 vs 89.52, reward_evade=1.50 vs 1.00, win=0 vs 71, recent_win=0 vs 50, draw=0, winner=blue, time=141/9349
72: reward=1.50 vs 91.25, reward_evade=1.50 vs 1.00, win=0 vs 72, recent_win=0 vs 50, draw=0, winner=blue, time=130/9479
73: reward=1.50 vs 93.29, reward_evade=1.50 vs 1.00, win=0 vs 73, recent_win=0 vs 50, draw=0, winner=blue, time=100/9579
74: reward=1.50 vs 92.83, reward_evade=1.50 vs 1.00, win=0 vs 74, recent_win=0 vs 50, draw=0, winner=blue, time=107/9686
75: reward=1.00 vs 90.62, reward_evade=1.00 vs 1.00, win=0 vs 75, recent_win=0 vs 50, draw=0, winner=blue, time=125/9811
76: reward=2.08 vs 90.25, reward_evade=2.08 vs 1.00, win=0 vs 76, recent_win=0 vs 50, draw=0, winner=blue, time=130/9941
77: reward=1.83 vs 88.73, reward_evade=1.83 vs 1.00, win=0 vs 77, recent_win=0 vs 50, draw=0, winner=blue, time=153/10095
78: reward=1.83 vs 90.01, reward_evade=1.83 vs 1.00, win=0 vs 78, recent_win=0 vs 50, draw=0, winner=blue, time=149/10244
79: reward=1.83 vs 90.15, reward_evade=1.83 vs 1.00, win=0 vs 79, recent_win=0 vs 50, draw=0, winner=blue, time=147/10390
80: reward=2.28 vs 86.12, reward_evade=2.28 vs 1.00, win=0 vs 80, recent_win=0 vs 50, draw=0, winner=blue, time=195/10585
81: reward=1.00 vs 90.54, reward_evade=1.00 vs 1.00, win=0 vs 81, recent_win=0 vs 50, draw=0, winner=blue, time=126/10711
82: reward=2.28 vs 87.72, reward_evade=2.28 vs 1.00, win=0 vs 82, recent_win=0 vs 50, draw=0, winner=blue, time=185/10896
83: reward=2.28 vs 89.73, reward_evade=2.28 vs 1.00, win=0 vs 83, recent_win=0 vs 50, draw=0, winner=blue, time=153/11050
84: reward=1.83 vs 89.30, reward_evade=1.83 vs 1.00, win=0 vs 84, recent_win=0 vs 50, draw=0, winner=blue, time=160/11210
85: reward=1.00 vs 92.06, reward_evade=1.00 vs 1.00, win=0 vs 85, recent_win=0 vs 50, draw=0, winner=blue, time=104/11313
86: reward=1.00 vs 90.25, reward_evade=1.00 vs 1.00, win=0 vs 86, recent_win=0 vs 50, draw=0, winner=blue, time=130/11444
87: reward=1.83 vs 91.60, reward_evade=1.83 vs 1.00, win=0 vs 87, recent_win=0 vs 50, draw=0, winner=blue, time=110/11554
88: reward=1.83 vs 94.71, reward_evade=1.83 vs 1.00, win=0 vs 88, recent_win=0 vs 50, draw=0, winner=blue, time=81/11635
89: reward=2.08 vs 89.51, reward_evade=2.08 vs 1.00, win=0 vs 89, recent_win=0 vs 50, draw=0, winner=blue, time=157/11791
90: reward=2.08 vs 90.66, reward_evade=2.08 vs 1.00, win=0 vs 90, recent_win=0 vs 50, draw=0, winner=blue, time=139/11930
91: reward=2.08 vs 93.84, reward_evade=2.08 vs 1.00, win=0 vs 91, recent_win=0 vs 50, draw=0, winner=blue, time=93/12023
92: reward=2.08 vs 91.17, reward_evade=2.08 vs 1.00, win=0 vs 92, recent_win=0 vs 50, draw=0, winner=blue, time=131/12154
