1: reward=2.00 vs 0.80, reward_evade=2.00 vs 0.00, win=0 vs 0, recent_win=0 vs 0, draw=1, winner=draw, time=117/117
2: reward=4.00 vs 89.18, reward_evade=4.00 vs 0.00, win=0 vs 1, recent_win=0 vs 1, draw=1, winner=blue, time=155/272
3: reward=2.00 vs 0.80, reward_evade=2.00 vs 0.00, win=0 vs 1, recent_win=0 vs 1, draw=2, winner=draw, time=107/380
4: reward=2.00 vs 93.09, reward_evade=2.00 vs 0.00, win=0 vs 2, recent_win=0 vs 2, draw=2, winner=blue, time=100/480
5: reward=1.00 vs 90.97, reward_evade=1.00 vs 0.00, win=0 vs 3, recent_win=0 vs 3, draw=2, winner=blue, time=131/611
6: reward=2.00 vs 89.67, reward_evade=2.00 vs 0.00, win=0 vs 4, recent_win=0 vs 4, draw=2, winner=blue, time=151/762
7: reward=2.00 vs 92.02, reward_evade=2.00 vs 0.00, win=0 vs 5, recent_win=0 vs 5, draw=2, winner=blue, time=116/878
8: reward=5.00 vs 88.35, reward_evade=5.00 vs 0.00, win=0 vs 6, recent_win=0 vs 6, draw=2, winner=blue, time=165/1044
9: reward=5.00 vs 91.79, reward_evade=5.00 vs 0.00, win=0 vs 7, recent_win=0 vs 7, draw=2, winner=blue, time=119/1163
10: reward=1.00 vs 0.90, reward_evade=1.00 vs 0.00, win=0 vs 7, recent_win=0 vs 7, draw=3, winner=draw, time=151/1314
11: reward=1.00 vs 0.90, reward_evade=1.00 vs 0.00, win=0 vs 7, recent_win=0 vs 7, draw=4, winner=draw, time=84/1398
12: reward=3.00 vs 91.99, reward_evade=3.00 vs 0.00, win=0 vs 8, recent_win=0 vs 8, draw=4, winner=blue, time=115/1513
13: reward=1.00 vs 0.90, reward_evade=1.00 vs 0.00, win=0 vs 8, recent_win=0 vs 8, draw=5, winner=draw, time=162/1675
14: reward=7.00 vs 85.06, reward_evade=7.00 vs 0.00, win=0 vs 9, recent_win=0 vs 9, draw=5, winner=blue, time=218/1893
15: reward=1.00 vs 90.90, reward_evade=1.00 vs 0.00, win=0 vs 10, recent_win=0 vs 10, draw=5, winner=blue, time=132/2026
16: reward=2.00 vs 90.14, reward_evade=2.00 vs 0.00, win=0 vs 11, recent_win=0 vs 11, draw=5, winner=blue, time=142/2168
17: reward=2.00 vs 91.32, reward_evade=2.00 vs 0.00, win=0 vs 12, recent_win=0 vs 12, draw=5, winner=blue, time=125/2293
18: reward=1.00 vs 91.32, reward_evade=2.00 vs 0.00, win=0 vs 12, recent_win=0 vs 12, draw=6, winner=draw, time=84/2377
19: reward=1.00 vs 91.42, reward_evade=1.00 vs 0.00, win=0 vs 13, recent_win=0 vs 13, draw=6, winner=blue, time=125/2501
20: reward=1.00 vs 0.90, reward_evade=1.00 vs 0.00, win=0 vs 13, recent_win=0 vs 13, draw=7, winner=draw, time=138/2639
21: reward=1.00 vs 91.59, reward_evade=1.00 vs 0.00, win=0 vs 14, recent_win=0 vs 14, draw=7, winner=blue, time=124/2763
22: reward=1.00 vs 1.00, reward_evade=1.00 vs 0.00, win=0 vs 14, recent_win=0 vs 14, draw=8, winner=draw, time=75/2838
23: reward=1.00 vs 1.00, reward_evade=1.00 vs 0.00, win=0 vs 14, recent_win=0 vs 14, draw=9, winner=draw, time=104/2942
24: reward=3.00 vs 91.51, reward_evade=3.00 vs 1.00, win=0 vs 15, recent_win=0 vs 15, draw=9, winner=blue, time=137/3079
25: reward=3.00 vs 91.69, reward_evade=3.00 vs 1.00, win=0 vs 16, recent_win=0 vs 16, draw=9, winner=blue, time=119/3198
26: reward=1.00 vs 92.17, reward_evade=1.00 vs 1.00, win=0 vs 17, recent_win=0 vs 17, draw=9, winner=blue, time=114/3311
27: reward=1.00 vs 92.17, reward_evade=1.00 vs 1.00, win=0 vs 17, recent_win=0 vs 17, draw=10, winner=draw, time=83/3394
28: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 17, recent_win=0 vs 17, draw=11, winner=draw, time=132/3527
29: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 17, recent_win=0 vs 17, draw=12, winner=draw, time=136/3662
30: reward=6.00 vs 85.22, reward_evade=6.00 vs 1.00, win=0 vs 18, recent_win=0 vs 18, draw=12, winner=blue, time=217/3880
31: reward=1.00 vs 85.22, reward_evade=6.00 vs 1.00, win=0 vs 18, recent_win=0 vs 18, draw=13, winner=draw, time=69/3948
32: reward=1.00 vs 0.90, reward_evade=1.00 vs 1.00, win=0 vs 18, recent_win=0 vs 18, draw=14, winner=draw, time=131/4079
33: reward=1.00 vs 1.00, reward_evade=1.00 vs 1.00, win=0 vs 18, recent_win=0 vs 18, draw=15, winner=draw, time=91/4170
34: reward=1.00 vs 92.17, reward_evade=1.00 vs 1.00, win=0 vs 19, recent_win=0 vs 19, draw=15, winner=blue, time=114/4284
