1: reward=96.23 vs 0.00, reward_evade=2.00 vs 0.00, win=1 vs 0, recent_win=1 vs 0, draw=0, winner=red, time=87/87
2: reward=95.99 vs 0.00, reward_evade=2.00 vs 0.00, win=2 vs 0, recent_win=2 vs 0, draw=0, winner=red, time=91/178
3: reward=96.47 vs 0.00, reward_evade=2.00 vs 0.00, win=3 vs 0, recent_win=3 vs 0, draw=0, winner=red, time=84/262
4: reward=96.07 vs 0.00, reward_evade=2.00 vs 0.00, win=4 vs 0, recent_win=4 vs 0, draw=0, winner=red, time=89/351
5: reward=96.63 vs 0.00, reward_evade=2.00 vs 0.00, win=5 vs 0, recent_win=5 vs 0, draw=0, winner=red, time=82/433
6: reward=95.44 vs 0.00, reward_evade=2.00 vs 0.00, win=6 vs 0, recent_win=6 vs 0, draw=0, winner=red, time=98/531
7: reward=95.68 vs 0.00, reward_evade=2.00 vs 0.00, win=7 vs 0, recent_win=7 vs 0, draw=0, winner=red, time=95/626
8: reward=95.37 vs 0.00, reward_evade=2.00 vs 0.00, win=8 vs 0, recent_win=8 vs 0, draw=0, winner=red, time=99/726
9: reward=94.83 vs 0.00, reward_evade=2.00 vs 0.00, win=9 vs 0, recent_win=9 vs 0, draw=0, winner=red, time=107/833
10: reward=2.00 vs 0.00, reward_evade=1.00 vs 0.00, win=9 vs 0, recent_win=9 vs 0, draw=1, winner=draw, time=86/919
11: reward=95.84 vs 0.00, reward_evade=2.00 vs 0.00, win=10 vs 0, recent_win=10 vs 0, draw=1, winner=red, time=93/1012
12: reward=95.15 vs 0.00, reward_evade=1.00 vs 0.00, win=11 vs 0, recent_win=11 vs 0, draw=1, winner=red, time=88/1100
13: reward=95.37 vs 0.00, reward_evade=2.00 vs 0.00, win=12 vs 0, recent_win=12 vs 0, draw=1, winner=red, time=99/1200
14: reward=94.98 vs 0.00, reward_evade=2.00 vs 0.00, win=13 vs 0, recent_win=13 vs 0, draw=1, winner=red, time=105/1305
15: reward=95.52 vs 0.00, reward_evade=2.00 vs 0.00, win=14 vs 0, recent_win=14 vs 0, draw=1, winner=red, time=97/1402
16: reward=95.99 vs 0.00, reward_evade=2.00 vs 0.00, win=15 vs 0, recent_win=15 vs 0, draw=1, winner=red, time=91/1492
17: reward=96.23 vs 0.00, reward_evade=2.00 vs 0.00, win=16 vs 0, recent_win=16 vs 0, draw=1, winner=red, time=87/1580
18: reward=95.79 vs 0.00, reward_evade=1.00 vs 0.00, win=17 vs 0, recent_win=17 vs 0, draw=1, winner=red, time=80/1659
19: reward=96.19 vs 0.00, reward_evade=1.00 vs 0.00, win=18 vs 0, recent_win=18 vs 0, draw=1, winner=red, time=74/1733
20: reward=95.99 vs 0.00, reward_evade=2.00 vs 0.00, win=19 vs 0, recent_win=19 vs 0, draw=1, winner=red, time=91/1824
21: reward=96.07 vs 0.00, reward_evade=2.00 vs 0.00, win=20 vs 0, recent_win=20 vs 0, draw=1, winner=red, time=89/1914
22: reward=95.29 vs 0.00, reward_evade=2.00 vs 0.00, win=21 vs 0, recent_win=21 vs 0, draw=1, winner=red, time=100/2014
23: reward=2.00 vs 0.00, reward_evade=1.00 vs 0.00, win=21 vs 0, recent_win=21 vs 0, draw=2, winner=draw, time=92/2106
24: reward=95.99 vs 0.00, reward_evade=2.00 vs 0.00, win=22 vs 0, recent_win=22 vs 0, draw=2, winner=red, time=91/2196
25: reward=95.52 vs 0.00, reward_evade=2.00 vs 0.00, win=23 vs 0, recent_win=23 vs 0, draw=2, winner=red, time=97/2294
26: reward=95.76 vs 0.00, reward_evade=2.00 vs 0.00, win=24 vs 0, recent_win=24 vs 0, draw=2, winner=red, time=94/2387
27: reward=95.37 vs 0.00, reward_evade=2.00 vs 0.00, win=25 vs 0, recent_win=25 vs 0, draw=2, winner=red, time=99/2487
28: reward=2.00 vs 0.00, reward_evade=1.00 vs 0.00, win=25 vs 0, recent_win=25 vs 0, draw=3, winner=draw, time=94/2581
29: reward=95.84 vs 0.00, reward_evade=2.00 vs 0.00, win=26 vs 0, recent_win=26 vs 0, draw=3, winner=red, time=93/2674
30: reward=95.52 vs 0.00, reward_evade=2.00 vs 0.00, win=27 vs 0, recent_win=27 vs 0, draw=3, winner=red, time=97/2771
31: reward=96.27 vs 0.00, reward_evade=1.00 vs 0.00, win=28 vs 0, recent_win=28 vs 0, draw=3, winner=red, time=73/2844
32: reward=96.39 vs 0.00, reward_evade=2.00 vs 0.00, win=29 vs 0, recent_win=29 vs 0, draw=3, winner=red, time=85/2929
33: reward=96.39 vs 0.00, reward_evade=2.00 vs 0.00, win=30 vs 0, recent_win=30 vs 0, draw=3, winner=red, time=85/3014
34: reward=95.84 vs 0.00, reward_evade=2.00 vs 0.00, win=31 vs 0, recent_win=31 vs 0, draw=3, winner=red, time=93/3107
35: reward=96.55 vs 0.00, reward_evade=2.00 vs 0.00, win=32 vs 0, recent_win=32 vs 0, draw=3, winner=red, time=83/3190
36: reward=96.23 vs 0.00, reward_evade=2.00 vs 0.00, win=33 vs 0, recent_win=33 vs 0, draw=3, winner=red, time=87/3277
37: reward=95.91 vs 0.00, reward_evade=2.00 vs 0.00, win=34 vs 0, recent_win=34 vs 0, draw=3, winner=red, time=92/3369
38: reward=96.39 vs 0.00, reward_evade=2.00 vs 0.00, win=35 vs 0, recent_win=35 vs 0, draw=3, winner=red, time=85/3454
39: reward=96.23 vs 0.00, reward_evade=2.00 vs 0.00, win=36 vs 0, recent_win=36 vs 0, draw=3, winner=red, time=87/3541
40: reward=95.68 vs 0.00, reward_evade=2.00 vs 0.00, win=37 vs 0, recent_win=37 vs 0, draw=3, winner=red, time=95/3636
