1: reward=0.00 vs 1.00, win=0 vs 0, recent_win=0 vs 0, draw=1, winner=draw, time=80/80
2: reward=0.00 vs 1.00, win=0 vs 0, recent_win=0 vs 0, draw=2, winner=draw, time=135/214
3: reward=0.00 vs 1.00, win=0 vs 0, recent_win=0 vs 0, draw=3, winner=draw, time=131/345
4: reward=0.00 vs 1.00, win=0 vs 0, recent_win=0 vs 0, draw=4, winner=draw, time=95/440
5: reward=0.00 vs 1.00, win=0 vs 1, recent_win=0 vs 1, draw=4, winner=blue, time=124/564
6: reward=0.00 vs 1.00, win=0 vs 2, recent_win=0 vs 2, draw=4, winner=blue, time=117/681
7: reward=1.00 vs 1.00, win=0 vs 2, recent_win=0 vs 2, draw=5, winner=draw, time=75/756
8: reward=1.00 vs 0.90, win=0 vs 3, recent_win=0 vs 3, draw=5, winner=blue, time=150/906
9: reward=5.00 vs -0.50, win=0 vs 4, recent_win=0 vs 4, draw=5, winner=blue, time=190/1096
10: reward=1.00 vs 0.90, win=0 vs 4, recent_win=0 vs 4, draw=6, winner=draw, time=118/1214
11: reward=4.90 vs 0.50, win=0 vs 5, recent_win=0 vs 5, draw=6, winner=blue, time=208/1422
12: reward=4.90 vs 1.00, win=0 vs 5, recent_win=0 vs 5, draw=7, winner=draw, time=82/1504
13: reward=1.00 vs 0.90, win=0 vs 6, recent_win=0 vs 6, draw=7, winner=blue, time=132/1636
14: reward=2.00 vs 0.80, win=0 vs 6, recent_win=0 vs 6, draw=8, winner=draw, time=252/1889
15: reward=2.00 vs 1.00, win=0 vs 6, recent_win=0 vs 6, draw=9, winner=draw, time=109/1998
16: reward=2.90 vs 0.70, win=0 vs 7, recent_win=0 vs 7, draw=9, winner=blue, time=142/2140
17: reward=2.90 vs 1.00, win=0 vs 7, recent_win=0 vs 7, draw=10, winner=draw, time=132/2273
18: reward=1.00 vs 0.90, win=0 vs 7, recent_win=0 vs 7, draw=11, winner=draw, time=106/2379
19: reward=2.00 vs 0.80, win=0 vs 7, recent_win=0 vs 7, draw=12, winner=draw, time=142/2521
20: reward=1.00 vs 0.90, win=0 vs 8, recent_win=0 vs 8, draw=12, winner=blue, time=192/2713
21: reward=2.00 vs 0.80, win=0 vs 9, recent_win=0 vs 9, draw=12, winner=blue, time=161/2874
22: reward=1.00 vs 0.80, win=0 vs 9, recent_win=0 vs 9, draw=13, winner=draw, time=81/2955
23: reward=2.00 vs 0.80, win=0 vs 9, recent_win=0 vs 9, draw=14, winner=draw, time=113/3067
24: reward=1.00 vs 0.90, win=0 vs 10, recent_win=0 vs 10, draw=14, winner=blue, time=116/3183
25: reward=1.00 vs 1.00, win=0 vs 10, recent_win=0 vs 10, draw=15, winner=draw, time=107/3290
26: reward=2.00 vs 0.80, win=0 vs 11, recent_win=0 vs 11, draw=15, winner=blue, time=128/3418
27: reward=2.00 vs 1.00, win=0 vs 11, recent_win=0 vs 11, draw=16, winner=draw, time=87/3505
28: reward=2.00 vs 1.00, win=0 vs 11, recent_win=0 vs 11, draw=17, winner=draw, time=82/3587
29: reward=4.00 vs -0.40, win=0 vs 12, recent_win=0 vs 12, draw=17, winner=blue, time=305/3892
30: reward=1.00 vs 0.90, win=0 vs 13, recent_win=0 vs 13, draw=17, winner=blue, time=142/4034
31: reward=1.00 vs 1.00, win=0 vs 13, recent_win=0 vs 13, draw=18, winner=draw, time=212/4246
32: reward=1.00 vs 1.00, win=0 vs 13, recent_win=0 vs 13, draw=19, winner=draw, time=143/4389
33: reward=1.00 vs 1.00, win=0 vs 14, recent_win=0 vs 14, draw=19, winner=blue, time=116/4505
34: reward=3.00 vs -0.30, win=0 vs 15, recent_win=0 vs 15, draw=19, winner=blue, time=151/4656
35: reward=3.00 vs 1.00, win=0 vs 16, recent_win=0 vs 16, draw=19, winner=blue, time=88/4745
36: reward=3.00 vs 0.70, win=0 vs 16, recent_win=0 vs 16, draw=20, winner=draw, time=149/4893
37: reward=3.00 vs 1.00, win=0 vs 17, recent_win=0 vs 17, draw=20, winner=blue, time=135/5028
38: reward=1.00 vs 0.90, win=0 vs 17, recent_win=0 vs 17, draw=21, winner=draw, time=137/5165
39: reward=1.00 vs 1.90, win=0 vs 18, recent_win=0 vs 18, draw=21, winner=blue, time=121/5286
40: reward=1.00 vs 1.90, win=0 vs 18, recent_win=0 vs 18, draw=22, winner=draw, time=78/5365
41: reward=1.00 vs 0.90, win=0 vs 19, recent_win=0 vs 19, draw=22, winner=blue, time=117/5482
42: reward=2.00 vs 0.80, win=0 vs 19, recent_win=0 vs 19, draw=23, winner=draw, time=149/5631
43: reward=2.00 vs 0.80, win=0 vs 19, recent_win=0 vs 19, draw=24, winner=draw, time=146/5776
44: reward=2.00 vs 1.00, win=0 vs 19, recent_win=0 vs 19, draw=25, winner=draw, time=85/5861
45: reward=2.00 vs 0.80, win=0 vs 20, recent_win=0 vs 20, draw=25, winner=blue, time=136/5997
46: reward=5.00 vs -0.50, win=0 vs 21, recent_win=0 vs 21, draw=25, winner=blue, time=286/6283
47: reward=4.00 vs -0.40, win=0 vs 22, recent_win=0 vs 22, draw=25, winner=blue, time=128/6411
48: reward=2.00 vs 0.80, win=0 vs 22, recent_win=0 vs 22, draw=26, winner=draw, time=117/6528
49: reward=2.00 vs 0.80, win=0 vs 23, recent_win=0 vs 23, draw=26, winner=blue, time=139/6667
50: reward=1.00 vs 0.90, win=0 vs 24, recent_win=0 vs 24, draw=26, winner=blue, time=122/6789
51: reward=5.00 vs -0.50, win=0 vs 25, recent_win=0 vs 25, draw=26, winner=blue, time=201/6990
52: reward=2.00 vs 0.80, win=0 vs 26, recent_win=0 vs 26, draw=26, winner=blue, time=157/7146
53: reward=2.00 vs 0.80, win=0 vs 27, recent_win=0 vs 27, draw=26, winner=blue, time=143/7290
54: reward=3.00 vs 0.70, win=0 vs 27, recent_win=0 vs 27, draw=27, winner=draw, time=161/7451
55: reward=2.00 vs 0.80, win=0 vs 28, recent_win=0 vs 27, draw=27, winner=blue, time=152/7603
56: reward=1.00 vs 0.80, win=0 vs 28, recent_win=0 vs 26, draw=28, winner=draw, time=81/7684
57: reward=1.00 vs 0.90, win=0 vs 28, recent_win=0 vs 26, draw=29, winner=draw, time=107/7791
58: reward=2.00 vs 0.80, win=0 vs 28, recent_win=0 vs 25, draw=30, winner=draw, time=108/7899
59: reward=3.00 vs -0.30, win=0 vs 29, recent_win=0 vs 25, draw=30, winner=blue, time=139/8038
60: reward=3.00 vs 1.00, win=0 vs 29, recent_win=0 vs 25, draw=31, winner=draw, time=117/8155
61: reward=3.00 vs 1.00, win=0 vs 29, recent_win=0 vs 24, draw=32, winner=draw, time=95/8250
62: reward=1.00 vs 0.90, win=0 vs 30, recent_win=0 vs 25, draw=32, winner=blue, time=125/8375
63: reward=1.00 vs 1.00, win=0 vs 31, recent_win=0 vs 25, draw=32, winner=blue, time=269/8643
64: reward=4.00 vs -0.40, win=0 vs 32, recent_win=0 vs 26, draw=32, winner=blue, time=149/8792
65: reward=4.00 vs 1.00, win=0 vs 32, recent_win=0 vs 26, draw=33, winner=draw, time=135/8927
66: reward=3.00 vs 0.70, win=0 vs 32, recent_win=0 vs 25, draw=34, winner=draw, time=152/9079
67: reward=4.00 vs -0.40, win=0 vs 33, recent_win=0 vs 26, draw=34, winner=blue, time=150/9229
68: reward=1.00 vs 0.90, win=0 vs 34, recent_win=0 vs 27, draw=34, winner=blue, time=127/9356
