1: reward=0.00 vs 1.00, reward_evade=0.00 vs 0.00, win=0 vs 0, recent_win=0 vs 0, draw=1, winner=draw, time=103/103
2: reward=6.00 vs 89.35, reward_evade=0.00 vs 0.00, win=0 vs 1, recent_win=0 vs 1, draw=1, winner=blue, time=165/268
3: reward=97.55 vs -0.20, reward_evade=0.00 vs 0.00, win=1 vs 1, recent_win=1 vs 1, draw=1, winner=red, time=83/351
4: reward=97.55 vs -0.20, reward_evade=0.00 vs 0.00, win=1 vs 1, recent_win=1 vs 1, draw=2, winner=draw, time=96/447
5: reward=97.55 vs -0.20, reward_evade=0.00 vs 0.00, win=1 vs 1, recent_win=1 vs 1, draw=3, winner=draw, time=100/548
6: reward=97.55 vs 1.00, reward_evade=0.00 vs 0.00, win=1 vs 1, recent_win=1 vs 1, draw=4, winner=draw, time=89/637
7: reward=97.55 vs 1.00, reward_evade=0.00 vs 0.00, win=1 vs 1, recent_win=1 vs 1, draw=5, winner=draw, time=91/728
8: reward=4.00 vs 90.16, reward_evade=0.00 vs 0.00, win=1 vs 2, recent_win=1 vs 2, draw=5, winner=blue, time=139/867
9: reward=93.15 vs -0.10, reward_evade=0.00 vs 0.00, win=2 vs 2, recent_win=2 vs 2, draw=5, winner=red, time=130/997
10: reward=92.93 vs -0.10, reward_evade=0.00 vs 0.00, win=3 vs 2, recent_win=3 vs 2, draw=5, winner=red, time=133/1130
11: reward=4.00 vs 91.89, reward_evade=0.00 vs 0.00, win=3 vs 3, recent_win=3 vs 3, draw=5, winner=blue, time=115/1245
12: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=3 vs 3, recent_win=3 vs 3, draw=6, winner=draw, time=104/1349
13: reward=5.00 vs 89.87, reward_evade=0.00 vs 0.00, win=3 vs 4, recent_win=3 vs 4, draw=6, winner=blue, time=159/1508
14: reward=5.00 vs 1.00, reward_evade=0.00 vs 0.00, win=3 vs 4, recent_win=3 vs 4, draw=7, winner=draw, time=105/1613
