1: reward=4.00 vs 90.16, reward_evade=0.00 vs 0.00, win=0 vs 1, recent_win=0 vs 1, draw=0, winner=blue, time=139/139
2: reward=4.00 vs 92.20, reward_evade=0.00 vs 0.00, win=0 vs 2, recent_win=0 vs 2, draw=0, winner=blue, time=110/249
3: reward=4.00 vs 1.00, reward_evade=0.00 vs 0.00, win=0 vs 2, recent_win=0 vs 2, draw=1, winner=draw, time=122/372
4: reward=5.00 vs 90.01, reward_evade=0.00 vs 0.00, win=0 vs 3, recent_win=0 vs 3, draw=1, winner=blue, time=157/528
5: reward=5.00 vs 90.01, reward_evade=0.00 vs 0.00, win=0 vs 3, recent_win=0 vs 3, draw=2, winner=draw, time=91/619
6: reward=1.00 vs 0.90, reward_evade=0.00 vs 0.00, win=0 vs 3, recent_win=0 vs 3, draw=3, winner=draw, time=126/745
7: reward=1.00 vs 1.00, reward_evade=0.00 vs 0.00, win=0 vs 3, recent_win=0 vs 3, draw=4, winner=draw, time=114/859
8: reward=4.00 vs 89.58, reward_evade=0.00 vs 0.00, win=0 vs 4, recent_win=0 vs 4, draw=4, winner=blue, time=148/1006
9: reward=93.22 vs -0.10, reward_evade=0.00 vs 0.00, win=1 vs 4, recent_win=1 vs 4, draw=4, winner=red, time=129/1135
10: reward=93.22 vs 1.00, reward_evade=0.00 vs 0.00, win=1 vs 4, recent_win=1 vs 4, draw=5, winner=draw, time=92/1227
11: reward=5.00 vs 89.87, reward_evade=0.00 vs 0.00, win=1 vs 5, recent_win=1 vs 5, draw=5, winner=blue, time=159/1386
12: reward=93.22 vs -0.10, reward_evade=0.00 vs 0.00, win=2 vs 5, recent_win=2 vs 5, draw=5, winner=red, time=129/1515
13: reward=93.10 vs -0.10, reward_evade=0.00 vs 0.00, win=3 vs 5, recent_win=3 vs 5, draw=5, winner=red, time=132/1647
14: reward=96.85 vs -0.10, reward_evade=0.00 vs 0.00, win=4 vs 5, recent_win=4 vs 5, draw=5, winner=red, time=77/1725
15: reward=92.93 vs -0.10, reward_evade=0.00 vs 0.00, win=5 vs 5, recent_win=5 vs 5, draw=5, winner=red, time=133/1858
16: reward=93.37 vs -0.10, reward_evade=0.00 vs 0.00, win=6 vs 5, recent_win=6 vs 5, draw=5, winner=red, time=127/1985
17: reward=4.00 vs 89.94, reward_evade=0.00 vs 0.00, win=6 vs 6, recent_win=6 vs 6, draw=5, winner=blue, time=142/2128
18: reward=92.05 vs -0.10, reward_evade=0.00 vs 0.00, win=7 vs 6, recent_win=7 vs 6, draw=5, winner=red, time=147/2274
19: reward=5.00 vs 88.77, reward_evade=0.00 vs 0.00, win=7 vs 7, recent_win=7 vs 7, draw=5, winner=blue, time=159/2433
20: reward=5.00 vs 88.77, reward_evade=0.00 vs 0.00, win=7 vs 7, recent_win=7 vs 7, draw=6, winner=draw, time=91/2524
21: reward=5.00 vs 89.73, reward_evade=0.00 vs 0.00, win=7 vs 8, recent_win=7 vs 8, draw=6, winner=blue, time=161/2685
22: reward=92.71 vs -0.10, reward_evade=0.00 vs 0.00, win=8 vs 8, recent_win=8 vs 8, draw=6, winner=red, time=137/2821
23: reward=5.00 vs 88.63, reward_evade=0.00 vs 0.00, win=8 vs 9, recent_win=8 vs 9, draw=6, winner=blue, time=161/2982
24: reward=5.00 vs 1.00, reward_evade=0.00 vs 0.00, win=8 vs 9, recent_win=8 vs 9, draw=7, winner=draw, time=54/3037
25: reward=5.00 vs 1.00, reward_evade=0.00 vs 0.00, win=8 vs 9, recent_win=8 vs 9, draw=8, winner=draw, time=57/3094
26: reward=5.00 vs 1.00, reward_evade=0.00 vs 0.00, win=8 vs 9, recent_win=8 vs 9, draw=9, winner=draw, time=109/3203
27: reward=94.44 vs -0.10, reward_evade=0.00 vs 0.00, win=9 vs 9, recent_win=9 vs 9, draw=9, winner=red, time=113/3316
